id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
14,_start,84,992,63825,0,0,4581084,992,64635,0,0,999999999999,999999999999,999999999999
12,__wasm_call_ctors,3,512,4645814,0,1,1487788,512,68480,0,1,999999999999,999999999999,999999999999
28,__main_void,214,1400,6134282,0,1,4965734,1400,69015,0,1,999999999999,999999999999,999999999999
30,__wasi_args_sizes_get,18,824,11100756,0,1,1933129,824,70050,0,1,999999999999,999999999999,999999999999
21,malloc,12,808,13037550,0,7,1793278,808,73780,0,7,999999999999,999999999999,999999999999
22,dlmalloc,5377,8240,14831528,0,9,80648730,8240,74255,0,9,999999999999,999999999999,999999999999
26,calloc,108,984,95485499,0,2,3594567,984,84770,0,2,999999999999,999999999999,999999999999
101,memset,393,1200,99081191,0,4,9203697,1200,88585,0,4,999999999999,999999999999,999999999999
29,__wasi_args_get,18,816,108286179,0,1,1785548,816,90675,0,1,999999999999,999999999999,999999999999
20,main,598,2208,110073362,0,1,11215231,2208,98305,0,1,999999999999,999999999999,999999999999
43,toupper,21,528,121289734,0,66,1806368,528,99155,0,66,999999999999,999999999999,999999999999
70,fopen,103,1112,123098117,0,2,3302026,1112,139475,0,2,999999999999,999999999999,999999999999
98,memchr,371,800,126400874,0,4,7737995,800,140030,0,4,999999999999,999999999999,999999999999
51,__fmodeflags,103,1032,134139949,0,2,2985360,1032,141295,0,2,999999999999,999999999999,999999999999
102,strchr,31,864,137126069,0,8,2123644,864,142040,0,8,999999999999,999999999999,999999999999
103,__strchrnul,358,1144,139250393,0,8,7167304,1144,142385,0,8,999999999999,999999999999,999999999999
58,__wasilibc_open_nomode,163,1024,146419057,0,2,3078305,1024,146285,0,2,999999999999,999999999999,999999999999
54,__wasilibc_find_relpath,95,904,149498118,0,2,2443995,904,147070,0,2,999999999999,999999999999,999999999999
55,__wasilibc_find_abspath,344,1408,151942978,0,2,9077227,1408,147810,0,2,999999999999,999999999999,999999999999
52,__wasilibc_populate_preopens,226,1296,161021005,0,4,5310440,1296,148425,0,4,999999999999,999999999999,999999999999
34,__wasi_fd_prestat_get,18,824,166332580,0,3,1914583,824,149205,0,3,999999999999,999999999999,999999999999
35,__wasi_fd_prestat_dir_name,20,824,168251114,0,2,1909689,824,153060,0,2,999999999999,999999999999,999999999999
53,internal_register_preopened_fd_unlocked,280,1320,170162353,0,2,5860961,1320,156245,0,2,999999999999,999999999999,999999999999
100,memcpy,1008,1888,176025239,5000000,402827,15520385,1888,161780,655000000,402827,999999999999,999999999999,999999999999
