id,name,size.bytecode,size.static
12,__wasm_call_ctors,3,512
13,undefined_weak:__wasilibc_find_relpath_alloc,4,504
14,_start,84,992
15,set_key,1718,2152
16,encrypt,4982,5040
17,decrypt,4996,5024
18,encfile,1390,3496
19,decfile,922,3224
20,main,598,2208
21,malloc,12,808
22,dlmalloc,5377,8240
23,prepend_alloc,1091,1680
24,free,12,808
25,dlfree,1713,2216
26,calloc,108,984
27,_Exit,13,792
28,__main_void,214,1400
29,__wasi_args_get,18,816
30,__wasi_args_sizes_get,18,824
31,__wasi_fd_close,16,824
32,__wasi_fd_fdstat_get,18,824
33,__wasi_fd_fdstat_set_flags,18,824
34,__wasi_fd_prestat_get,18,824
35,__wasi_fd_prestat_dir_name,20,824
36,__wasi_fd_read,22,824
37,__wasi_fd_seek,22,824
38,__wasi_fd_write,22,824
39,__wasi_path_open,38,992
40,__wasi_proc_exit,12,792
41,abort,5,504
42,sbrk,79,888
43,toupper,21,528
44,dummy,3,512
45,__wasm_call_dtors,15,864
46,dummy,4,512
47,fclose,152,1288
48,feof,15,536
49,fflush,361,1648
50,fgetpos,35,872
51,__fmodeflags,103,1032
52,__wasilibc_populate_preopens,226,1296
53,internal_register_preopened_fd_unlocked,280,1320
54,__wasilibc_find_relpath,95,904
55,__wasilibc_find_abspath,344,1408
56,__wasilibc_nocwd_openat_nomode,282,1240
57,close,41,936
58,__wasilibc_open_nomode,163,1024
59,fcntl,275,1504
60,__isatty,103,968
61,__lseek,101,976
62,__stdio_seek,18,840
63,writev,115,984
64,__stdio_write,316,1368
65,readv,114,984
66,read,114,984
67,__stdio_read,253,1224
68,__stdio_close,15,840
69,__fdopen,390,1712
70,fopen,103,1112
71,__stdio_exit,389,1712
72,__toread,135,1056
73,fread,198,1288
74,fseek,179,1176
75,__ftello,134,1008
76,__towrite,94,624
77,__fwritex,238,1344
78,fwrite,289,1368
79,__ofl_lock,9,520
80,__ofl_unlock,3,512
81,__ofl_add,53,944
82,printf,60,912
83,fputs,38,944
84,__overflow,165,1192
85,puts,109,984
86,__stdout_write,60,1008
87,dummy,5,512
88,__lctrans,13,808
89,strerror,87,904
90,wcrtomb,311,856
91,wctomb,26,848
92,frexp,145,1200
93,vfprintf,398,1568
94,printf_core,8995,18856
95,pop_arg,565,1808
96,pad,159,1168
97,long_double_not_supported,30,856
98,memchr,371,800
99,memcmp,75,584
100,memcpy,1008,1888
101,memset,393,1200
102,strchr,31,864
103,__strchrnul,358,1144
104,strdup,48,960
105,strlen,205,656
106,strnlen,25,880
