id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
14,_start,70,984,63200,0,0,4296498,984,65580,0,0,999999999999,999999999999,999999999999
12,__wasm_call_ctors,5,808,4360748,0,1,1833124,808,69180,0,1,999999999999,999999999999,999999999999
49,__wasilibc_populate_preopens,183,1296,6194432,0,1,5536071,1296,69510,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_prestat_get,18,824,11731473,0,3,1952793,824,71160,0,3,999999999999,999999999999,999999999999
19,malloc,12,808,13689006,0,6,1803934,808,75810,0,6,999999999999,999999999999,999999999999
20,dlmalloc,6541,9304,15493770,0,8,99075921,9304,76260,0,8,999999999999,999999999999,999999999999
32,__wasi_fd_prestat_dir_name,20,824,114578651,0,2,2006384,824,98600,0,2,999999999999,999999999999,999999999999
46,internal_register_preopened_fd,280,1320,116587915,0,2,5785151,1320,99730,0,2,999999999999,999999999999,999999999999
23,calloc,108,984,122374076,0,2,3346186,984,100810,0,2,999999999999,999999999999,999999999999
91,memset,393,1200,125721372,0,4,9170128,1200,104010,0,4,999999999999,999999999999,999999999999
90,memcpy,1000,1824,134892860,0,816,14615098,1824,107060,0,816,999999999999,999999999999,999999999999
21,free,12,808,149509208,0,5,1687413,808,109310,0,5,999999999999,999999999999,999999999999
22,dlfree,1698,2224,151197202,0,5,23347736,2224,109680,0,5,999999999999,999999999999,999999999999
94,strdup,48,960,174546367,0,2,2518085,960,110970,0,2,999999999999,999999999999,999999999999
95,strlen,178,648,177065012,0,5,4688849,648,111280,0,5,999999999999,999999999999,999999999999
25,__main_void,214,1400,181760621,0,1,4638909,1400,130940,0,1,999999999999,999999999999,999999999999
27,__wasi_args_sizes_get,18,824,186400610,0,1,1802954,824,131670,0,1,999999999999,999999999999,999999999999
26,__wasi_args_get,18,816,188205983,0,1,1892694,816,137830,0,1,999999999999,999999999999,999999999999
18,main,203,1320,190099817,0,1,5556370,1320,138740,0,1,999999999999,999999999999,999999999999
64,fopen,103,1112,195657177,0,1,3429937,1112,139580,0,1,999999999999,999999999999,999999999999
88,memchr,371,800,199087924,0,2,7879015,800,140110,0,2,999999999999,999999999999,999999999999
45,__fmodeflags,103,1032,206968099,0,1,3095276,1032,141870,0,1,999999999999,999999999999,999999999999
92,strchr,31,864,210064015,0,4,2156514,864,142670,0,4,999999999999,999999999999,999999999999
93,__strchrnul,354,1144,212221529,0,4,7151614,1144,142970,0,4,999999999999,999999999999,999999999999
52,__wasilibc_open_nomode,163,1024,219374423,0,1,3074806,1024,146160,0,1,999999999999,999999999999,999999999999
47,__wasilibc_find_relpath,95,904,222450269,0,1,2420995,904,147300,0,1,999999999999,999999999999,999999999999
48,__wasilibc_find_abspath,313,1408,224872024,0,1,8945927,1408,151790,0,1,999999999999,999999999999,999999999999
89,memcmp,75,584,233819441,0,1,3492197,584,155740,0,1,999999999999,999999999999,999999999999
50,__wasilibc_nocwd_openat_nomode,282,1240,237312788,0,1,5196880,1240,159320,0,1,999999999999,999999999999,999999999999
29,__wasi_fd_fdstat_get,18,824,242510628,0,2,1916043,824,160800,0,2,999999999999,999999999999,999999999999
36,__wasi_path_open,38,992,244431661,0,1,2554275,992,164370,0,1,999999999999,999999999999,999999999999
63,__fdopen,390,1712,247029707,0,1,7165303,1712,187810,0,1,999999999999,999999999999,999999999999
70,__ofl_add,56,952,254197970,0,1,2714315,952,194510,0,1,999999999999,999999999999,999999999999
68,__ofl_lock,9,520,256913755,10000000,3,1565983,520,194950,10000000,3,999999999999,999999999999,999999999999
69,__ofl_unlock,3,512,258480658,0,2,1435553,512,195690,0,2,999999999999,999999999999,999999999999
16,sha_stream,589,2032,259917371,0,1,12315094,2032,196390,0,1,999999999999,999999999999,999999999999
67,fread,197,1288,272233565,0,398,6287193,1288,197370,0,398,999999999999,999999999999,999999999999
66,__toread,135,1056,278522078,0,399,4005667,1056,198900,0,399,999999999999,999999999999,999999999999
61,__stdio_read,253,1224,282528895,0,398,5227210,1224,200270,0,398,999999999999,999999999999,999999999999
59,readv,114,984,287761655,0,398,3063526,984,203550,0,398,999999999999,999999999999,999999999999
33,__wasi_fd_read,22,824,290825951,0,398,1946724,824,204350,0,398,999999999999,999999999999,999999999999
15,sha_transform,657,4632,292795965,0,50744,61444319,4632,217500,2080000000,50744,999999999999,999999999999,999999999999
17,sha_print,92,928,364270473,0,1,2804005,928,2100655953,0,1,999999999999,999999999999,999999999999
71,printf,60,912,367075538,0,1,2171775,912,2100657383,0,1,999999999999,999999999999,999999999999
83,vfprintf,398,1568,369248183,0,1,6895133,1568,2100658993,0,1,999999999999,999999999999,999999999999
84,printf_core,9070,18952,376144325,0,2,210148226,18952,2100660683,0,2,999999999999,999999999999,999999999999
73,__towrite,94,624,586295681,0,1,3338456,624,2100671793,0,1,999999999999,999999999999,999999999999
74,__fwritex,234,1368,589635717,0,20,7104404,1368,2100675523,0,20,999999999999,999999999999,999999999999
85,pop_arg,565,1808,596741871,0,5,5826951,1808,2100681503,0,5,999999999999,999999999999,999999999999
72,__stdout_write,60,1008,602572082,0,1,2967406,1008,2100755843,0,1,999999999999,999999999999,999999999999
54,__isatty,103,968,605540708,0,1,2990936,968,2100767073,0,1,999999999999,999999999999,999999999999
58,__stdio_write,316,1368,608537974,0,1,7075094,1368,2100771993,0,1,999999999999,999999999999,999999999999
57,writev,115,984,615614158,0,1,2953057,984,2100773493,0,1,999999999999,999999999999,999999999999
35,__wasi_fd_write,22,824,618568444,0,1,1775733,824,2100774893,0,1,999999999999,999999999999,999999999999
43,fclose,154,1288,620378587,0,1,4454329,1288,2100804323,0,1,999999999999,999999999999,999999999999
44,fflush,361,1648,624834086,0,1,8133955,1648,2100804983,0,1,999999999999,999999999999,999999999999
62,__stdio_close,15,840,632969571,0,1,1929404,840,2100807033,0,1,999999999999,999999999999,999999999999
51,close,35,864,634899945,0,1,2130524,864,2100807803,0,1,999999999999,999999999999,999999999999
28,__wasi_fd_close,16,824,637031399,0,1,1760014,824,2100808693,0,1,999999999999,999999999999,999999999999
42,dummy,4,512,638807873,0,1,1346962,512,2100821013,0,1,999999999999,999999999999,999999999999
41,__wasm_call_dtors,15,864,640157985,0,1,1778154,864,2100827123,0,1,999999999999,999999999999,999999999999
40,dummy,3,512,641936918,0,1,1307282,512,2100827553,0,1,999999999999,999999999999,999999999999
65,__stdio_exit,389,1712,643245131,0,1,8202176,1712,2100827853,0,1,999999999999,999999999999,999999999999
