id,name,size.bytecode,size.static
12,__wasm_call_ctors,5,808
13,undefined_weak:__wasilibc_find_relpath_alloc,4,504
14,_start,70,984
15,sha_transform,657,4632
16,sha_stream,589,2032
17,sha_print,92,928
18,main,203,1320
19,malloc,12,808
20,dlmalloc,6541,9304
21,free,12,808
22,dlfree,1698,2224
23,calloc,108,984
24,_Exit,13,792
25,__main_void,214,1400
26,__wasi_args_get,18,816
27,__wasi_args_sizes_get,18,824
28,__wasi_fd_close,16,824
29,__wasi_fd_fdstat_get,18,824
30,__wasi_fd_fdstat_set_flags,18,824
31,__wasi_fd_prestat_get,18,824
32,__wasi_fd_prestat_dir_name,20,824
33,__wasi_fd_read,22,824
34,__wasi_fd_seek,22,824
35,__wasi_fd_write,22,824
36,__wasi_path_open,38,992
37,__wasi_proc_exit,12,792
38,abort,5,504
39,sbrk,79,888
40,dummy,3,512
41,__wasm_call_dtors,15,864
42,dummy,4,512
43,fclose,154,1288
44,fflush,361,1648
45,__fmodeflags,103,1032
46,internal_register_preopened_fd,280,1320
47,__wasilibc_find_relpath,95,904
48,__wasilibc_find_abspath,313,1408
49,__wasilibc_populate_preopens,183,1296
50,__wasilibc_nocwd_openat_nomode,282,1240
51,close,35,864
52,__wasilibc_open_nomode,163,1024
53,fcntl,275,1504
54,__isatty,103,968
55,__lseek,101,976
56,__stdio_seek,18,840
57,writev,115,984
58,__stdio_write,316,1368
59,readv,114,984
60,read,114,984
61,__stdio_read,253,1224
62,__stdio_close,15,840
63,__fdopen,390,1712
64,fopen,103,1112
65,__stdio_exit,389,1712
66,__toread,135,1056
67,fread,197,1288
68,__ofl_lock,9,520
69,__ofl_unlock,3,512
70,__ofl_add,56,952
71,printf,60,912
72,__stdout_write,60,1008
73,__towrite,94,624
74,__fwritex,234,1368
75,fwrite,278,1384
76,dummy,5,512
77,__lctrans,13,808
78,strerror,87,904
79,wcrtomb,311,856
80,wctomb,26,848
81,frexp,144,1200
82,fputs,38,944
83,vfprintf,398,1568
84,printf_core,9070,18952
85,pop_arg,565,1808
86,pad,159,1168
87,long_double_not_supported,30,856
88,memchr,371,800
89,memcmp,75,584
90,memcpy,1000,1824
91,memset,393,1200
92,strchr,31,864
93,__strchrnul,354,1144
94,strdup,48,960
95,strlen,178,648
96,strnlen,25,880
