id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
6,_start,70,960,57850,0,0,4306069,960,59150,0,0,999999999999,999999999999,999999999999
5,__wasm_call_ctors,3,512,4364899,0,1,1471913,512,62290,0,1,999999999999,999999999999,999999999999
7,__original_main,770,2128,5837492,0,1,15971290,2128,62900,0,1,999999999999,999999999999,999999999999
46,strlen,179,648,21809552,0,2664,4758289,648,66360,60000000,2664,999999999999,999999999999,999999999999
47,strncmp,145,624,26568821,0,1057,4546239,624,85550,0,1057,999999999999,999999999999,999999999999
16,printf,60,912,31118550,0,2345,2315685,912,98980,0,2345,999999999999,999999999999,999999999999
39,vfprintf,398,1568,33434815,0,2345,6955583,1568,99760,0,2345,999999999999,999999999999,999999999999
40,printf_core,9070,18952,40391508,0,4690,211738957,18952,101110,10000000,4690,999999999999,999999999999,999999999999
19,__towrite,94,624,252133305,0,1,3356566,624,110070,0,1,999999999999,999999999999,999999999999
30,__fwritex,234,1368,255491341,0,22381,7080154,1368,113780,0,22381,999999999999,999999999999,999999999999
44,memcpy,1000,1824,262572395,0,22292,14868078,1824,115420,20000000,22292,999999999999,999999999999,999999999999
41,pop_arg,565,1808,277441963,0,5009,5835932,1808,121540,0,5009,999999999999,999999999999,999999999999
49,strnlen,25,880,283279215,0,5009,2096874,880,123460,0,5009,999999999999,999999999999,999999999999
48,memchr,371,800,285376709,0,5009,7773604,800,123910,10000000,5009,999999999999,999999999999,999999999999
21,putchar,89,888,293156514,0,1332,2573125,888,206040,0,1332,999999999999,999999999999,999999999999
20,__overflow,165,1192,295730268,0,1,4257129,1192,206630,0,1,999999999999,999999999999,999999999999
27,__stdout_write,60,1008,299988167,0,1,2949416,1008,207980,0,1,999999999999,999999999999,999999999999
26,__isatty,103,968,302938513,0,1,2980235,968,208450,0,1,999999999999,999999999999,999999999999
9,__wasi_fd_fdstat_get,18,816,305919478,0,1,1782174,816,209030,0,1,999999999999,999999999999,999999999999
25,__stdio_write,316,1368,307706972,0,91,7187804,1368,212750,0,91,999999999999,999999999999,999999999999
24,writev,115,976,314895666,0,91,3032055,976,214120,0,91,999999999999,999999999999,999999999999
11,__wasi_fd_write,22,824,317928351,0,91,1915174,824,214870,0,91,999999999999,999999999999,999999999999
15,__wasm_call_dtors,15,864,321672399,0,1,1925783,864,101761625,0,1,999999999999,999999999999,999999999999
14,__funcs_on_exit,182,1040,323599142,0,1,4259518,1040,101762455,0,1,999999999999,999999999999,999999999999
18,__stdio_exit,388,1712,327859690,0,1,8272666,1712,101763345,0,1,999999999999,999999999999,999999999999
17,__ofl_lock,10,520,336133166,0,1,1590203,520,101764485,0,1,999999999999,999999999999,999999999999
