id,name,size.bytecode,size.static
5,__wasm_call_ctors,3,512
6,_start,70,960
7,__original_main,770,2128
8,__wasi_fd_close,16,808
9,__wasi_fd_fdstat_get,18,816
10,__wasi_fd_seek,22,824
11,__wasi_fd_write,22,824
12,__wasi_proc_exit,12,792
13,abort,6,504
14,__funcs_on_exit,182,1040
15,__wasm_call_dtors,15,864
16,printf,60,912
17,__ofl_lock,10,520
18,__stdio_exit,388,1712
19,__towrite,94,624
20,__overflow,165,1192
21,putchar,89,888
22,close,34,864
23,__stdio_close,14,840
24,writev,115,976
25,__stdio_write,316,1368
26,__isatty,103,968
27,__stdout_write,60,1008
28,__lseek,101,968
29,__stdio_seek,19,840
30,__fwritex,234,1368
31,fwrite,278,1384
32,dummy,5,512
33,__lctrans,13,808
34,strerror,87,904
35,wcrtomb,311,856
36,wctomb,26,848
37,frexp,144,1200
38,fputs,38,944
39,vfprintf,398,1568
40,printf_core,9070,18952
41,pop_arg,565,1808
42,pad,159,1168
43,long_double_not_supported,30,848
44,memcpy,1000,1824
45,memset,394,1200
46,strlen,179,648
47,strncmp,145,624
48,memchr,371,800
49,strnlen,25,880
