id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
15,_start,85,992,60040,0,0,4535389,992,57940,0,0,999999999999,999999999999,999999999999
13,__wasm_call_ctors,5,808,4596389,0,1,1810373,808,61440,0,1,999999999999,999999999999,999999999999
24,_GLOBAL__sub_I_bt.cpp,277,1480,6407322,0,1,3479677,1480,61900,0,1,999999999999,999999999999,999999999999
31,malloc,12,808,9887569,0,17,1781993,808,62660,0,17,999999999999,999999999999,999999999999
32,dlmalloc,5377,8232,11670162,0,19,80374215,8232,63060,0,19,999999999999,999999999999,999999999999
56,sbrk,79,888,92052917,0,10,3022796,888,84981,0,10,999999999999,999999999999,999999999999
41,__main_void,214,1400,95122713,0,1,4579749,1400,172441,0,1,999999999999,999999999999,999999999999
43,__wasi_args_sizes_get,18,824,99703152,0,1,1797254,824,173371,0,1,999999999999,999999999999,999999999999
36,calloc,109,984,101502576,0,2,3340377,984,176511,0,2,999999999999,999999999999,999999999999
130,memset,393,1200,104843962,20000000,4198,9182028,1200,179241,4690000000,4198,999999999999,999999999999,999999999999
42,__wasi_args_get,18,816,114027210,0,1,1779383,816,180561,0,1,999999999999,999999999999,999999999999
16,main,24704,46944,115807943,0,1,278928348,46944,181601,0,1,999999999999,999999999999,999999999999
87,fopen,102,1112,394737962,0,2,3754207,1112,200071,0,2,999999999999,999999999999,999999999999
127,memchr,371,800,398493309,0,14,7860805,800,200601,0,14,999999999999,999999999999,999999999999
68,__fmodeflags,103,1032,406355293,0,2,2969126,1032,202191,0,2,999999999999,999999999999,999999999999
131,strchr,31,864,409325150,0,4,2018453,864,202861,0,4,999999999999,999999999999,999999999999
132,__strchrnul,358,1144,411344183,0,4,7024103,1144,203231,0,4,999999999999,999999999999,999999999999
75,__wasilibc_open_nomode,163,1024,418369807,0,2,2915905,1024,206111,0,2,999999999999,999999999999,999999999999
71,__wasilibc_find_relpath,95,904,421286552,0,2,2277055,904,206971,0,2,999999999999,999999999999,999999999999
72,__wasilibc_find_abspath,344,1408,423564357,0,2,8978157,1408,207721,0,2,999999999999,999999999999,999999999999
69,__wasilibc_populate_preopens,226,1296,432543344,0,2,5176641,1296,208511,0,2,999999999999,999999999999,999999999999
48,__wasi_fd_prestat_get,18,824,437720865,0,2,1780383,824,209431,0,2,999999999999,999999999999,999999999999
49,__wasi_fd_prestat_dir_name,20,824,439505588,0,1,1768833,824,213211,0,1,999999999999,999999999999,999999999999
70,internal_register_preopened_fd_unlocked,280,1320,441276321,0,1,5721371,1320,214121,0,1,999999999999,999999999999,999999999999
129,memcpy,1008,1888,446999152,0,552,15127649,1888,219281,0,552,999999999999,999999999999,999999999999
34,free,12,808,462128501,0,2,1697983,808,220781,0,2,999999999999,999999999999,999999999999
35,dlfree,1713,2216,463827864,0,2,23304796,2216,221161,0,2,999999999999,999999999999,999999999999
133,strdup,48,960,487133790,0,1,2508534,960,222241,0,1,999999999999,999999999999,999999999999
134,strlen,205,656,489643104,0,21,5050140,656,222621,0,21,999999999999,999999999999,999999999999
73,__wasilibc_nocwd_openat_nomode,282,1240,494698164,0,2,5079710,1240,233351,0,2,999999999999,999999999999,999999999999
46,__wasi_fd_fdstat_get,18,824,499778534,0,3,1776434,824,234571,0,3,999999999999,999999999999,999999999999
53,__wasi_path_open,38,992,501560237,0,2,2424134,992,237851,0,2,999999999999,999999999999,999999999999
99,puts,109,984,504020202,0,16,2862115,984,258631,0,16,999999999999,999999999999,999999999999
98,fputs,37,944,506883787,0,16,2140913,944,259131,0,16,999999999999,999999999999,999999999999
97,fwrite,289,1368,509025691,0,16,7632696,1368,262381,0,16,999999999999,999999999999,999999999999
93,__towrite,94,624,516659357,0,1,2881765,624,263081,0,1,999999999999,999999999999,999999999999
94,__overflow,165,1192,519542652,0,1,4256768,1192,274951,0,1,999999999999,999999999999,999999999999
101,__stdout_write,60,1008,523800460,0,1,2937526,1008,275921,0,1,999999999999,999999999999,999999999999
77,__isatty,103,968,526738666,0,1,2973176,968,276421,0,1,999999999999,999999999999,999999999999
81,__stdio_write,316,1368,529715762,0,4,7057493,1368,279051,0,4,999999999999,999999999999,999999999999
80,writev,115,984,536774185,0,4,2904846,984,280031,0,4,999999999999,999999999999,999999999999
52,__wasi_fd_write,22,824,539680181,0,4,1770274,824,280781,0,4,999999999999,999999999999,999999999999
