id,name,size.bytecode,size.static
13,__wasm_call_ctors,5,808
14,undefined_weak:__wasilibc_find_relpath_alloc,4,504
15,_start,85,992
16,main,24704,46944
17,initialize(),11847,16840
18,adi(),17045,30016
19,compute_rhs(),12759,19624
20,"lhsinit(double (*) [3][5][5], int)",1693,3184
21,"binvcrhs(double (*) [5], double (*) [5], double*)",3958,6104
22,"matmul_sub(double (*) [5], double (*) [5], double (*) [5])",2050,3776
23,"binvrhs(double (*) [5], double*)",1605,2680
24,_GLOBAL__sub_I_bt.cpp,277,1480
25,"c_print_results(char*, char, int, int, int, int, double, double, char*, int, char*, char*, char*, char*, char*, char*, char*, char*, char*, char*)",1001,3072
26,timer_clear(int),20,536
27,timer_start(int),64,920
28,timer_stop(int),87,944
29,timer_read(int),18,536
30,wtime_(double*),117,1176
31,malloc,12,808
32,dlmalloc,5377,8232
33,prepend_alloc,1091,1680
34,free,12,808
35,dlfree,1713,2216
36,calloc,109,984
37,realloc,1140,2192
38,dispose_chunk,1638,2120
39,gettimeofday,113,1016
40,_Exit,13,792
41,__main_void,214,1400
42,__wasi_args_get,18,816
43,__wasi_args_sizes_get,18,824
44,__wasi_clock_time_get,20,824
45,__wasi_fd_close,16,824
46,__wasi_fd_fdstat_get,18,824
47,__wasi_fd_fdstat_set_flags,18,824
48,__wasi_fd_prestat_get,18,824
49,__wasi_fd_prestat_dir_name,20,824
50,__wasi_fd_read,22,824
51,__wasi_fd_seek,22,824
52,__wasi_fd_write,22,824
53,__wasi_path_open,38,992
54,__wasi_proc_exit,12,792
55,abort,5,504
56,sbrk,79,888
57,dummy,3,512
58,__wasm_call_dtors,15,864
59,ldexp,14,808
60,scalbn,175,984
61,dummy,4,512
62,fclose,153,1288
63,fflush,362,1648
64,__stdio_exit,389,1712
65,__toread,134,1056
66,__uflow,85,1032
67,fgetc,47,864
68,__fmodeflags,103,1032
69,__wasilibc_populate_preopens,226,1296
70,internal_register_preopened_fd_unlocked,280,1320
71,__wasilibc_find_relpath,95,904
72,__wasilibc_find_abspath,344,1408
73,__wasilibc_nocwd_openat_nomode,282,1240
74,close,41,936
75,__wasilibc_open_nomode,163,1024
76,fcntl,275,1504
77,__isatty,103,968
78,__lseek,101,976
79,__stdio_seek,18,840
80,writev,115,984
81,__stdio_write,316,1368
82,readv,114,984
83,read,114,984
84,__stdio_read,253,1224
85,__stdio_close,15,840
86,__fdopen,390,1712
87,fopen,102,1112
88,fscanf,56,904
89,__ofl_lock,9,520
90,__ofl_unlock,3,512
91,__ofl_add,53,944
92,printf,60,912
93,__towrite,94,624
94,__overflow,165,1192
95,putchar,90,888
96,__fwritex,238,1344
97,fwrite,289,1368
98,fputs,37,944
99,puts,109,984
100,sprintf,56,904
101,__stdout_write,60,1008
102,dummy,5,512
103,__lctrans,13,808
104,strerror,87,904
105,wcrtomb,311,856
106,wctomb,26,848
107,frexp,145,1200
108,vfprintf,398,1568
109,printf_core,8995,18856
110,pop_arg,565,1808
111,pad,159,1168
112,long_double_not_supported,29,856
113,__shlim,73,608
114,__shgetc,228,1136
115,__intscan,1623,3464
116,fmod,540,912
117,__floatscan,4813,8760
118,hexfloat,1405,3600
119,scanexp,597,1712
120,mbrtowc,368,752
121,mbsinit,20,544
122,vfscanf,3082,9912
123,long_double_not_supported,30,856
124,vsnprintf,180,1152
125,sn_write,183,1176
126,vsprintf,22,840
127,memchr,371,800
128,memcmp,75,584
129,memcpy,1008,1888
130,memset,393,1200
131,strchr,31,864
132,__strchrnul,358,1144
133,strdup,48,960
134,strlen,205,656
135,strnlen,27,880
136,__multi3,116,640
