id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
15,_start,84,992,56700,0,0,4534566,992,59530,0,0,999999999999,999999999999,999999999999
13,__wasm_call_ctors,5,808,4592316,0,1,1812623,808,63230,0,1,999999999999,999999999999,999999999999
18,_GLOBAL__sub_I_cg.cpp,235,1384,6405459,0,1,3276065,1384,63660,0,1,999999999999,999999999999,999999999999
26,malloc,12,808,9682183,0,15,1801903,808,64310,0,15,999999999999,999999999999,999999999999
27,dlmalloc,5377,8240,11484566,0,17,80575044,8240,64700,0,17,999999999999,999999999999,999999999999
49,sbrk,79,888,92065530,0,11,3031335,888,77570,0,11,999999999999,999999999999,999999999999
34,__main_void,214,1400,95141215,0,1,4625016,1400,159660,0,1,999999999999,999999999999,999999999999
36,__wasi_args_sizes_get,18,824,99766941,0,1,1816183,824,160920,0,1,999999999999,999999999999,999999999999
31,calloc,108,984,101585064,0,2,3335425,984,164320,0,2,999999999999,999999999999,999999999999
109,memset,393,1200,104921339,220000000,72,9238083,1200,167150,64800000000,71,999999999999,999999999999,999999999999
35,__wasi_args_get,18,816,114160452,0,1,1796263,816,168761,0,1,999999999999,999999999999,999999999999
16,main,4586,9352,115958065,0,1,85218331,9352,169770,0,1,999999999999,999999999999,999999999999
21,timer_clear(int),20,536,201178145,0,3,1888633,536,172770,0,3,999999999999,999999999999,999999999999
77,fopen,102,1112,203067928,0,1,3351855,1112,174110,0,1,999999999999,999999999999,999999999999
106,memchr,371,800,206420593,0,13,7757331,800,174790,0,13,999999999999,999999999999,999999999999
58,__fmodeflags,103,1032,214178784,0,1,2983134,1032,176150,0,1,999999999999,999999999999,999999999999
110,strchr,31,864,217162708,0,2,2004423,864,176750,0,2,999999999999,999999999999,999999999999
111,__strchrnul,358,1144,219167851,0,2,7088340,1144,177201,0,2,999999999999,999999999999,999999999999
65,__wasilibc_open_nomode,163,1024,226257531,0,1,3025714,1024,180530,0,1,999999999999,999999999999,999999999999
61,__wasilibc_find_relpath,95,904,229283955,0,1,2435304,904,181430,0,1,999999999999,999999999999,999999999999
62,__wasilibc_find_abspath,344,1408,231724429,0,1,9081873,1408,183921,0,1,999999999999,999999999999,999999999999
59,__wasilibc_populate_preopens,226,1296,240807091,0,1,5353388,1296,184610,0,1,999999999999,999999999999,999999999999
41,__wasi_fd_prestat_get,18,824,246161269,0,2,1927653,824,185450,0,2,999999999999,999999999999,999999999999
