id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
15,_start,84,992,68250,0,0,4590097,992,60570,0,0,999999999999,999999999999,999999999999
13,__wasm_call_ctors,5,808,4659327,0,1,1827912,808,64270,0,1,999999999999,999999999999,999999999999
17,_GLOBAL__sub_I_ep.cpp,24,864,6487759,0,1,1953913,864,66850,0,1,999999999999,999999999999,999999999999
26,malloc,12,808,8442232,0,4,1851433,808,67590,0,4,999999999999,999999999999,999999999999
27,dlmalloc,5377,8240,10294115,0,6,80400575,8240,67990,0,6,999999999999,999999999999,999999999999
49,sbrk,79,888,90700980,0,1,3044625,888,82360,0,1,999999999999,999999999999,999999999999
34,__main_void,214,1400,93751145,0,1,4642887,1400,90950,0,1,999999999999,999999999999,999999999999
36,__wasi_args_sizes_get,18,824,98394702,0,1,1774502,824,91900,0,1,999999999999,999999999999,999999999999
31,calloc,108,984,100173854,0,2,3353135,984,97590,0,2,999999999999,999999999999,999999999999
111,memset,393,1200,103527839,0,42,9222263,1200,100510,0,40,999999999999,999999999999,999999999999
35,__wasi_args_get,18,816,112751212,0,1,1792052,816,102050,0,1,999999999999,999999999999,999999999999
16,main,2433,7136,114544724,0,1,27025839,7136,103320,0,1,999999999999,999999999999,999999999999
79,fopen,102,1112,141571763,0,1,3439345,1112,104670,0,1,999999999999,999999999999,999999999999
108,memchr,371,800,145011738,0,15,7841972,800,105150,0,15,999999999999,999999999999,999999999999
60,__fmodeflags,103,1032,152854980,0,1,3105214,1032,106520,0,1,999999999999,999999999999,999999999999
112,strchr,31,864,155961174,0,2,2146613,864,107110,0,2,999999999999,999999999999,999999999999
113,__strchrnul,358,1144,158108397,0,2,7197680,1144,111000,0,2,999999999999,999999999999,999999999999
67,__wasilibc_open_nomode,163,1024,165307297,0,1,3083995,1024,114010,0,1,999999999999,999999999999,999999999999
63,__wasilibc_find_relpath,95,904,168391992,0,1,2437253,904,114890,0,1,999999999999,999999999999,999999999999
64,__wasilibc_find_abspath,344,1408,170829945,0,1,9086863,1408,115760,0,1,999999999999,999999999999,999999999999
61,__wasilibc_populate_preopens,226,1296,179917688,0,1,5321448,1296,116630,0,1,999999999999,999999999999,999999999999
41,__wasi_fd_prestat_get,18,824,185240136,0,2,1925142,824,117430,0,2,999999999999,999999999999,999999999999
42,__wasi_fd_prestat_dir_name,20,824,187169119,0,1,1913523,824,121140,0,1,999999999999,999999999999,999999999999
62,internal_register_preopened_fd_unlocked,280,1320,189084302,0,1,5890158,1320,122040,0,1,999999999999,999999999999,999999999999
110,memcpy,1008,1888,194975950,0,249,15351252,1888,127300,0,249,999999999999,999999999999,999999999999
29,free,12,808,210328421,0,2,1743293,808,128870,0,2,999999999999,999999999999,999999999999
30,dlfree,1713,2216,212072464,0,2,23925885,2216,129240,0,2,999999999999,999999999999,999999999999
114,strdup,48,960,236000019,0,1,2516163,960,130310,0,1,999999999999,999999999999,999999999999
115,strlen,205,656,238517212,0,17,5005417,656,130680,0,17,999999999999,999999999999,999999999999
65,__wasilibc_nocwd_openat_nomode,282,1240,243527780,0,1,5195498,1240,143370,0,1,999999999999,999999999999,999999999999
39,__wasi_fd_fdstat_get,18,824,248723977,0,2,1949163,824,144590,0,2,999999999999,999999999999,999999999999
46,__wasi_path_open,38,992,250677220,0,1,2579373,992,147840,0,1,999999999999,999999999999,999999999999
92,sprintf,56,904,253290673,0,2,2340624,904,167520,0,2,999999999999,999999999999,999999999999
107,vsprintf,22,840,255633037,0,2,2015963,840,168170,0,2,999999999999,999999999999,999999999999
105,vsnprintf,180,1152,257649730,0,2,4066116,1152,168670,0,2,999999999999,999999999999,999999999999
100,vfprintf,398,1568,261716956,0,33,7060280,1568,170480,0,33,999999999999,999999999999,999999999999
101,printf_core,8995,18856,268778136,0,66,207504678,18856,171600,0,66,999999999999,999999999999,999999999999
85,__towrite,94,624,476285893,0,3,3324395,624,178630,0,3,999999999999,999999999999,999999999999
88,__fwritex,238,1344,479611978,0,232,7003060,1344,181750,0,232,999999999999,999999999999,999999999999
102,pop_arg,565,1808,486617028,0,43,5811138,1808,186290,0,43,999999999999,999999999999,999999999999
99,frexp,145,1200,492430006,0,17,3200625,1200,189360,0,17,999999999999,999999999999,999999999999
103,pad,159,1168,495633361,0,17,5294438,1168,207250,0,17,999999999999,999999999999,999999999999
106,sn_write,183,1176,500929009,0,2,4247656,1176,209150,0,2,999999999999,999999999999,999999999999
91,puts,109,984,505179135,0,14,2826244,984,213090,0,14,999999999999,999999999999,999999999999
90,fputs,37,944,508006349,0,14,2183813,944,213610,0,14,999999999999,999999999999,999999999999
89,fwrite,289,1368,510191622,0,14,7626041,1368,218140,0,14,999999999999,999999999999,999999999999
93,__stdout_write,60,1008,517818963,0,1,2939124,1008,220340,0,1,999999999999,999999999999,999999999999
69,__isatty,103,968,520759037,0,1,2980654,968,220830,0,1,999999999999,999999999999,999999999999
73,__stdio_write,316,1368,523745751,0,3,7047951,1368,223640,0,3,999999999999,999999999999,999999999999
72,writev,115,984,530794562,0,3,2957054,984,224710,0,3,999999999999,999999999999,999999999999
45,__wasi_fd_write,22,824,533752436,0,3,1944962,824,225440,0,3,999999999999,999999999999,999999999999
83,printf,61,912,535732779,0,31,2303583,912,247130,0,31,999999999999,999999999999,999999999999
116,strnlen,25,880,538039612,0,14,2197613,880,273850,0,14,999999999999,999999999999,999999999999
20,"vranlc(int, double*, double, double*)",362,1800,540239415,8630000000,4098,4790217,1800,284710,386830000000,4098,999999999999,999999999999,999999999999
19,"randlc(double*, double)",327,1584,545030782,0,65556,3124774,1584,285901,90000000,65556,999999999999,999999999999,999999999999
21,timer_clear(int),20,536,548595257,0,3,1808153,536,8389712,0,3,999999999999,999999999999,999999999999
22,timer_start(int),64,920,550404520,0,1,2346093,920,8391622,0,1,999999999999,999999999999,999999999999
25,wtime_(double*),117,1176,552751683,0,2,3002705,1176,8392292,0,2,999999999999,999999999999,999999999999
32,gettimeofday,113,1016,555755598,0,2,3212004,1016,8393242,0,2,999999999999,999999999999,999999999999
37,__wasi_clock_time_get,20,824,558968952,0,2,1928393,824,8394362,0,2,999999999999,999999999999,999999999999
55,log,621,1768,563031588,7290000000,210832767,6131919,1768,104489670,461520000000,210832767,999999999999,999999999999,999999999999
23,timer_stop(int),87,944,16627260342,0,1,3376835,944,856505101821,0,1,999999999999,999999999999,999999999999
24,timer_read(int),18,536,16630642197,0,1,1857963,536,856505114111,0,1,999999999999,999999999999,999999999999
18,"c_print_results(char*, char, int, int, int, int, double, double, char*, int, char*, char*, char*, char*, char*, char*, char*, char*, char*, char*)",1002,3072,16632520220,0,1,12002057,3072,856505733892,0,1,999999999999,999999999999,999999999999
52,ldexp,13,808,16644527907,0,1,1839433,808,856505795062,0,1,999999999999,999999999999,999999999999
56,scalbn,175,984,16646369980,0,1,3056754,984,856505795682,0,1,999999999999,999999999999,999999999999
87,putchar,90,888,16649476754,0,2,2687884,888,856506544003,0,2,999999999999,999999999999,999999999999
51,__wasm_call_dtors,15,864,16652167858,0,1,1875883,864,856506561883,0,1,999999999999,999999999999,999999999999
50,dummy,3,512,16654044711,0,1,1458762,512,856506562333,0,1,999999999999,999999999999,999999999999
84,__stdio_exit,388,1712,16655504533,0,1,8283182,1712,856506562833,0,1,999999999999,999999999999,999999999999
80,__ofl_lock,9,520,16663789005,0,1,1622962,520,856506563503,0,1,999999999999,999999999999,999999999999
