id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
15,_start,84,992,60270,0,0,4548426,992,58290,0,0,999999999999,999999999999,999999999999
13,__wasm_call_ctors,5,808,4609806,0,1,1812602,808,62110,0,1,999999999999,999999999999,999999999999
22,_GLOBAL__sub_I_ft.cpp,84,1016,6422938,0,1,2337404,1016,62570,0,1,999999999999,999999999999,999999999999
31,malloc,12,808,8761031,0,7,1814803,808,63200,0,7,999999999999,999999999999,999999999999
32,dlmalloc,5377,8232,10576334,0,9,80720900,8232,63590,0,9,999999999999,999999999999,999999999999
54,sbrk,79,888,91302944,0,3,3059525,888,76620,0,3,999999999999,999999999999,999999999999
39,__main_void,214,1400,94379969,0,1,4630116,1400,106890,0,1,999999999999,999999999999,999999999999
41,__wasi_args_sizes_get,18,824,99010725,0,1,1800122,824,108160,0,1,999999999999,999999999999,999999999999
36,calloc,108,984,100813007,0,2,3407395,984,111400,0,2,999999999999,999999999999,999999999999
125,memset,393,1200,104221362,0,47,9247223,1200,114090,0,46,999999999999,999999999999,999999999999
40,__wasi_args_get,18,816,113469515,0,1,1815223,816,115560,0,1,999999999999,999999999999,999999999999
16,main,3580,9784,115286108,0,1,59198930,9784,116760,0,1,999999999999,999999999999,999999999999
26,timer_clear(int),20,536,174486408,0,16,1804463,536,119510,0,16,999999999999,999999999999,999999999999
93,fopen,102,1112,176292051,0,1,3351395,1112,121500,0,1,999999999999,999999999999,999999999999
122,memchr,371,800,179644286,0,13,7784820,800,121980,0,13,999999999999,999999999999,999999999999
74,__fmodeflags,103,1032,187430276,0,1,2987924,1032,123550,0,1,999999999999,999999999999,999999999999
126,strchr,31,864,190418940,0,2,2065593,864,124180,0,2,999999999999,999999999999,999999999999
127,__strchrnul,358,1144,192485313,0,2,7235660,1144,124630,0,2,999999999999,999999999999,999999999999
81,__wasilibc_open_nomode,163,1024,199722143,0,1,3113594,1024,128540,0,1,999999999999,999999999999,999999999999
77,__wasilibc_find_relpath,95,904,202836417,0,1,2442273,904,129340,0,1,999999999999,999999999999,999999999999
78,__wasilibc_find_abspath,344,1408,205282691,0,1,9154043,1408,131950,0,1,999999999999,999999999999,999999999999
75,__wasilibc_populate_preopens,226,1296,214437703,0,1,5350687,1296,132690,0,1,999999999999,999999999999,999999999999
46,__wasi_fd_prestat_get,18,824,219789290,0,2,1935813,824,133510,0,2,999999999999,999999999999,999999999999
47,__wasi_fd_prestat_dir_name,20,824,221729513,0,1,1968683,824,136930,0,1,999999999999,999999999999,999999999999
76,internal_register_preopened_fd_unlocked,280,1320,223699836,0,1,5874688,1320,137850,0,1,999999999999,999999999999,999999999999
124,memcpy,1008,1888,229576084,50000000,297,15618931,1888,144670,13830000000,297,999999999999,999999999999,999999999999
34,free,12,808,245196485,0,2,1763453,808,146590,0,2,999999999999,999999999999,999999999999
35,dlfree,1713,2216,246960778,0,2,24213303,2216,146970,0,2,999999999999,999999999999,999999999999
128,strdup,48,960,271175751,0,1,2533263,960,148010,0,1,999999999999,999999999999,999999999999
129,strlen,205,656,273709614,0,16,5117337,656,148350,0,16,999999999999,999999999999,999999999999
79,__wasilibc_nocwd_openat_nomode,282,1240,278831711,0,1,5168888,1240,159010,0,1,999999999999,999999999999,999999999999
44,__wasi_fd_fdstat_get,18,824,284001429,0,2,1938672,824,160170,0,2,999999999999,999999999999,999999999999
51,__wasi_path_open,38,992,285944771,0,1,2595234,992,163480,0,1,999999999999,999999999999,999999999999
105,puts,109,984,288575705,0,13,2986484,984,183170,0,13,999999999999,999999999999,999999999999
104,fputs,37,944,291563199,0,13,2325463,944,183620,0,13,999999999999,999999999999,999999999999
103,fwrite,289,1368,293889952,0,13,7940151,1368,187570,0,13,999999999999,999999999999,999999999999
99,__towrite,94,624,301830963,0,1,3078984,624,188190,0,1,999999999999,999999999999,999999999999
107,__stdout_write,60,1008,304910877,0,1,3096124,1008,190000,0,1,999999999999,999999999999,999999999999
83,__isatty,103,968,308007641,0,1,3158215,968,190500,0,1,999999999999,999999999999,999999999999
