id,name,size.bytecode,size.static
13,__wasm_call_ctors,5,808
14,undefined_weak:__wasilibc_find_relpath_alloc,4,504
15,_start,84,992
16,main,3580,9784
17,"compute_initial_conditions(void*, int, int, int)",381,1592
18,fft_init(int),1624,4464
19,"cffts1(int, int, int, int, void*, void*, dcomplex (*) [1], dcomplex (*) [1])",2718,4912
20,"cffts2(int, int, int, int, void*, void*, dcomplex (*) [1], dcomplex (*) [1])",2779,4984
21,"cffts3(int, int, int, int, void*, void*, dcomplex (*) [1], dcomplex (*) [1])",2807,4984
22,_GLOBAL__sub_I_ft.cpp,84,1016
23,"randlc(double*, double)",327,1584
24,"vranlc(int, double*, double, double*)",363,1800
25,"c_print_results(char*, char, int, int, int, int, double, double, char*, int, char*, char*, char*, char*, char*, char*, char*, char*, char*, char*)",1001,3072
26,timer_clear(int),20,536
27,timer_start(int),64,920
28,timer_stop(int),87,944
29,timer_read(int),18,536
30,wtime_(double*),117,1176
31,malloc,12,808
32,dlmalloc,5377,8232
33,prepend_alloc,1091,1680
34,free,12,808
35,dlfree,1713,2216
36,calloc,108,984
37,gettimeofday,113,1016
38,_Exit,13,792
39,__main_void,214,1400
40,__wasi_args_get,18,816
41,__wasi_args_sizes_get,18,824
42,__wasi_clock_time_get,20,824
43,__wasi_fd_close,16,824
44,__wasi_fd_fdstat_get,18,824
45,__wasi_fd_fdstat_set_flags,18,824
46,__wasi_fd_prestat_get,18,824
47,__wasi_fd_prestat_dir_name,20,824
48,__wasi_fd_read,22,824
49,__wasi_fd_seek,22,824
50,__wasi_fd_write,22,824
51,__wasi_path_open,38,992
52,__wasi_proc_exit,12,792
53,abort,5,504
54,sbrk,79,888
55,dummy,3,512
56,__wasm_call_dtors,15,864
57,exit,25,896
58,__cos,148,1312
59,__rem_pio2_large,4284,7200
60,__rem_pio2,1284,4152
61,__sin,156,1328
62,cos,243,1576
63,__math_xflow,14,760
64,__math_uflow,20,832
65,__math_oflow,21,832
66,exp,361,1440
67,specialcase,160,1080
68,ldexp,14,808
69,scalbn,176,984
70,sin,234,1512
71,dummy,4,512
72,fclose,153,1288
73,fflush,361,1648
74,__fmodeflags,103,1032
75,__wasilibc_populate_preopens,226,1296
76,internal_register_preopened_fd_unlocked,280,1320
77,__wasilibc_find_relpath,95,904
78,__wasilibc_find_abspath,344,1408
79,__wasilibc_nocwd_openat_nomode,282,1240
80,close,41,936
81,__wasilibc_open_nomode,163,1024
82,fcntl,275,1504
83,__isatty,103,968
84,__lseek,101,976
85,__stdio_seek,18,840
86,writev,115,984
87,__stdio_write,316,1368
88,readv,114,984
89,read,114,984
90,__stdio_read,253,1224
91,__stdio_close,15,840
92,__fdopen,390,1712
93,fopen,102,1112
94,__ofl_lock,9,520
95,__ofl_unlock,3,512
96,__ofl_add,53,944
97,printf,61,912
98,__stdio_exit,388,1712
99,__towrite,94,624
100,__overflow,165,1192
101,putchar,90,888
102,__fwritex,238,1344
103,fwrite,289,1368
104,fputs,37,944
105,puts,109,984
106,sprintf,56,904
107,__stdout_write,60,1008
108,dummy,5,512
109,__lctrans,13,808
110,strerror,87,904
111,wcrtomb,311,856
112,wctomb,26,848
113,frexp,145,1200
114,vfprintf,398,1568
115,printf_core,8995,18856
116,pop_arg,565,1808
117,pad,159,1168
118,long_double_not_supported,30,856
119,vsnprintf,180,1152
120,sn_write,183,1176
121,vsprintf,22,840
122,memchr,371,800
123,memcmp,75,584
124,memcpy,1008,1888
125,memset,393,1200
126,strchr,31,864
127,__strchrnul,358,1144
128,strdup,48,960
129,strlen,205,656
130,strnlen,25,880
