id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
15,_start,84,992,61361,0,0,4603716,992,61520,0,0,999999999999,999999999999,999999999999
13,__wasm_call_ctors,5,808,4666047,0,1,1802213,808,65360,0,1,999999999999,999999999999,999999999999
18,_GLOBAL__sub_I_is.cpp,99,1064,6468870,0,1,2472134,1064,65700,0,1,999999999999,999999999999,999999999999
26,malloc,12,808,8941553,0,10,1832113,808,66370,0,10,999999999999,999999999999,999999999999
27,dlmalloc,5377,8240,10774366,0,12,80851765,8240,66720,0,12,999999999999,999999999999,999999999999
49,sbrk,79,888,91631971,0,3,3009734,888,80250,0,3,999999999999,999999999999,999999999999
34,__main_void,214,1400,94659865,0,1,4615726,1400,114200,0,1,999999999999,999999999999,999999999999
36,__wasi_args_sizes_get,18,824,99276231,0,1,1790113,824,115170,0,1,999999999999,999999999999,999999999999
31,calloc,108,984,101068554,0,2,3345645,984,118430,0,2,999999999999,999999999999,999999999999
111,memset,393,1200,104415149,250000000,11286,9224773,1200,121430,65460000000,11286,999999999999,999999999999,999999999999
35,__wasi_args_get,18,816,113641202,0,1,1794263,816,122860,0,1,999999999999,999999999999,999999999999
16,main,2502,6912,115436885,0,1,31487764,6912,123970,0,1,999999999999,999999999999,999999999999
77,fopen,102,1112,146925549,0,1,3405265,1112,124730,0,1,999999999999,999999999999,999999999999
108,memchr,371,800,150331464,0,13,7811001,800,125210,0,13,999999999999,999999999999,999999999999
58,__fmodeflags,103,1032,158143695,0,1,3105675,1032,126530,0,1,999999999999,999999999999,999999999999
112,strchr,31,864,161250310,0,2,2159333,864,127160,0,2,999999999999,999999999999,999999999999
113,__strchrnul,358,1144,163410522,0,2,7199141,1144,127490,0,2,999999999999,999999999999,999999999999
65,__wasilibc_open_nomode,163,1024,170611163,0,1,3098714,1024,132530,0,1,999999999999,999999999999,999999999999
61,__wasilibc_find_relpath,95,904,173710747,0,1,2435223,904,133410,0,1,999999999999,999999999999,999999999999
62,__wasilibc_find_abspath,344,1408,176146660,0,1,9086003,1408,134110,0,1,999999999999,999999999999,999999999999
59,__wasilibc_populate_preopens,226,1296,185233854,0,1,5306997,1296,134740,0,1,999999999999,999999999999,999999999999
41,__wasi_fd_prestat_get,18,824,190541681,0,2,1951023,824,135560,0,2,999999999999,999999999999,999999999999
42,__wasi_fd_prestat_dir_name,20,824,192496864,0,1,1918362,824,139310,0,1,999999999999,999999999999,999999999999
60,internal_register_preopened_fd_unlocked,280,1320,194416856,0,1,5895209,1320,140160,0,1,999999999999,999999999999,999999999999
110,memcpy,1008,1888,200313665,0,175,15438892,1888,145370,0,175,999999999999,999999999999,999999999999
29,free,12,808,215753867,0,2,1750442,808,146900,0,2,999999999999,999999999999,999999999999
30,dlfree,1713,2216,217505229,0,2,23985424,2216,147290,0,2,999999999999,999999999999,999999999999
114,strdup,48,960,241492253,0,1,2510214,960,148350,0,1,999999999999,999999999999,999999999999
115,strlen,205,656,244003537,0,16,4986047,656,148700,0,16,999999999999,999999999999,999999999999
63,__wasilibc_nocwd_openat_nomode,282,1240,248994024,0,1,5171557,1240,161420,0,1,999999999999,999999999999,999999999999
39,__wasi_fd_fdstat_get,18,824,254166831,0,2,1931653,824,162630,0,2,999999999999,999999999999,999999999999
46,__wasi_path_open,38,992,256102654,0,1,2543894,992,166040,0,1,999999999999,999999999999,999999999999
21,timer_clear(int),20,536,258684228,0,1,1814942,536,185740,0,1,999999999999,999999999999,999999999999
94,puts,109,984,260500531,0,13,3034273,984,186660,0,13,999999999999,999999999999,999999999999
93,fputs,37,944,263535855,0,13,2341493,944,187090,0,13,999999999999,999999999999,999999999999
87,fwrite,290,1368,265878358,0,13,8034492,1368,190980,0,13,999999999999,999999999999,999999999999
85,__towrite,94,624,273914010,0,1,3035165,624,191640,0,1,999999999999,999999999999,999999999999
96,__stdout_write,61,1008,276950094,0,1,3074494,1008,193420,0,1,999999999999,999999999999,999999999999
67,__isatty,103,968,280025418,0,1,3108094,968,193920,0,1,999999999999,999999999999,999999999999
71,__stdio_write,316,1368,283138422,0,3,7300421,1368,196520,0,3,999999999999,999999999999,999999999999
70,writev,115,984,290439613,0,3,3066034,984,197430,0,3,999999999999,999999999999,999999999999
45,__wasi_fd_write,22,824,293506807,0,3,1921193,824,198150,0,3,999999999999,999999999999,999999999999
91,printf,60,912,295459430,0,29,2301313,912,221860,0,29,999999999999,999999999999,999999999999
100,vfprintf,398,1568,297761533,0,29,7111210,1568,222370,0,29,999999999999,999999999999,999999999999
101,printf_core,8995,18856,304873883,0,58,207636595,18856,223410,0,58,999999999999,999999999999,999999999999
86,__fwritex,238,1344,512513978,0,161,7473981,1344,233850,0,161,999999999999,999999999999,999999999999
102,pop_arg,565,1808,519990369,0,30,5865788,1808,240000,0,30,999999999999,999999999999,999999999999
92,putchar,89,888,525861077,0,3,2575954,888,287910,0,3,999999999999,999999999999,999999999999
20,"randlc(double*, double)",326,1584,528438521,680000000,33554432,3010164,1584,289040,38300000000,33554432,999999999999,999999999999,999999999999
17,rank(int),1519,2712,1227545653,0,11,23692143,2712,38691817806,0,11,999999999999,999999999999,999999999999
22,timer_start(int),64,920,1273554649,0,1,2738184,920,44142944954,0,1,999999999999,999999999999,999999999999
25,wtime_(double*),117,1176,1276294933,0,2,2999495,1176,44142946274,0,2,999999999999,999999999999,999999999999
32,gettimeofday,113,1016,1279296178,0,2,3111824,1016,44142947284,0,2,999999999999,999999999999,999999999999
37,__wasi_clock_time_get,20,824,1282409782,0,2,1806702,824,44142949264,0,2,999999999999,999999999999,999999999999
23,timer_stop(int),87,944,1495896455,0,1,3341305,944,104757046473,0,1,999999999999,999999999999,999999999999
24,timer_read(int),18,536,1499244830,20000000,1,1859612,536,104757058364,3490000000,1,999999999999,999999999999,999999999999
19,"c_print_results(char*, char, int, int, int, int, double, double, char*, int, char*, char*, char*, char*, char*, char*, char*, char*, char*, char*)",1002,3072,1519857269,0,1,12250387,3072,108273644416,0,1,999999999999,999999999999,999999999999
116,strnlen,25,880,1532112716,0,12,2153653,880,108273696326,0,12,999999999999,999999999999,999999999999
99,frexp,145,1200,1534274299,0,2,3248125,1200,108273849146,0,2,999999999999,999999999999,999999999999
103,pad,159,1168,1537525434,0,2,5501988,1168,108273881886,0,2,999999999999,999999999999,999999999999
51,__wasm_call_dtors,15,864,1543083622,0,1,1922373,864,108274354597,0,1,999999999999,999999999999,999999999999
50,dummy,3,512,1545007435,0,1,1447651,512,108274355307,0,1,999999999999,999999999999,999999999999
84,__stdio_exit,388,1712,1546456226,0,1,8300912,1712,108274355657,0,1,999999999999,999999999999,999999999999
78,__ofl_lock,9,520,1554758349,0,1,1606992,520,108274356367,0,1,999999999999,999999999999,999999999999
