id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
15,_start,84,992,62260,0,0,4575647,992,67900,0,0,999999999999,999999999999,999999999999
13,__wasm_call_ctors,5,808,4638957,0,1,1806853,808,71470,0,1,999999999999,999999999999,999999999999
32,_GLOBAL__sub_I_lu.cpp,178,1248,6446360,0,1,2918204,1248,71790,0,1,999999999999,999999999999,999999999999
39,malloc,12,808,9365273,0,12,1796713,808,72370,0,12,999999999999,999999999999,999999999999
40,dlmalloc,5377,8240,11162656,0,14,80462475,8240,72840,0,14,999999999999,999999999999,999999999999
64,sbrk,79,888,91634541,0,9,3016384,888,94430,0,9,999999999999,999999999999,999999999999
49,__main_void,214,1400,94686266,0,1,4618786,1400,161320,0,1,999999999999,999999999999,999999999999
51,__wasi_args_sizes_get,18,824,99305792,0,1,1804742,824,162140,0,1,999999999999,999999999999,999999999999
44,calloc,109,984,101112704,0,2,3348975,984,165630,0,2,999999999999,999999999999,999999999999
139,memset,393,1200,104462569,10000000,1200,9195033,1200,168310,630000000,1200,999999999999,999999999999,999999999999
50,__wasi_args_get,18,816,113658702,0,1,1795413,816,169780,0,1,999999999999,999999999999,999999999999
16,main,1503,5024,115455885,0,1,13300609,5024,171060,0,1,999999999999,999999999999,999999999999
96,fopen,102,1112,128757434,0,2,3372075,1112,174010,0,2,999999999999,999999999999,999999999999
136,memchr,371,800,132130419,0,14,7855011,800,174500,0,14,999999999999,999999999999,999999999999
77,__fmodeflags,103,1032,139986480,0,2,3142755,1032,175870,0,2,999999999999,999999999999,999999999999
140,strchr,31,864,143130305,0,4,2156543,864,176630,0,4,999999999999,999999999999,999999999999
141,__strchrnul,358,1144,145287448,0,4,7204120,1144,176950,0,4,999999999999,999999999999,999999999999
84,__wasilibc_open_nomode,163,1024,152493768,0,2,3079185,1024,179930,0,2,999999999999,999999999999,999999999999
80,__wasilibc_find_relpath,95,904,155573753,0,2,2426374,904,180920,0,2,999999999999,999999999999,999999999999
81,__wasilibc_find_abspath,344,1408,158000796,0,2,9124273,1408,181790,0,2,999999999999,999999999999,999999999999
78,__wasilibc_populate_preopens,226,1296,167126229,0,2,5313748,1296,182420,0,2,999999999999,999999999999,999999999999
56,__wasi_fd_prestat_get,18,824,172441017,0,2,1923982,824,183190,0,2,999999999999,999999999999,999999999999
57,__wasi_fd_prestat_dir_name,20,824,174369019,0,1,1921153,824,188800,0,1,999999999999,999999999999,999999999999
79,internal_register_preopened_fd_unlocked,280,1320,176291872,0,1,5833718,1320,189750,0,1,999999999999,999999999999,999999999999
138,memcpy,1008,1888,182127391,0,606,15567472,1888,195090,210000000,606,999999999999,999999999999,999999999999
42,free,12,808,197696482,0,2,1754503,808,196700,0,2,999999999999,999999999999,999999999999
43,dlfree,1713,2216,199452065,0,2,23953664,2216,197080,0,2,999999999999,999999999999,999999999999
142,strdup,48,960,223406939,0,1,2595564,960,198120,0,1,999999999999,999999999999,999999999999
143,strlen,205,656,226003313,0,21,5119537,656,198440,0,21,999999999999,999999999999,999999999999
82,__wasilibc_nocwd_openat_nomode,282,1240,231128150,0,2,5055838,1240,209540,0,2,999999999999,999999999999,999999999999
54,__wasi_fd_fdstat_get,18,824,236185098,0,3,1917642,824,210710,0,3,999999999999,999999999999,999999999999
61,__wasi_path_open,38,992,238107000,0,2,2567594,992,213940,0,2,999999999999,999999999999,999999999999
17,read_input(),1068,3024,240709344,0,1,12243397,3024,233640,0,1,999999999999,999999999999,999999999999
108,puts,109,984,252973351,0,16,2972375,984,252820,0,16,999999999999,999999999999,999999999999
107,fputs,37,944,255946596,0,16,2253713,944,253300,0,16,999999999999,999999999999,999999999999
106,fwrite,289,1368,258201379,0,16,7800131,1368,257140,0,16,999999999999,999999999999,999999999999
102,__towrite,94,624,266002630,0,1,3037554,624,257940,0,1,999999999999,999999999999,999999999999
110,__stdout_write,60,1008,269041264,0,1,3058734,1008,259850,0,1,999999999999,999999999999,999999999999
86,__isatty,103,968,272100609,0,1,3123944,968,260300,0,1,999999999999,999999999999,999999999999
90,__stdio_write,316,1368,275229233,0,4,7200401,1368,262680,0,4,999999999999,999999999999,999999999999
89,writev,115,984,282430584,0,4,3069554,984,263560,0,4,999999999999,999999999999,999999999999
60,__wasi_fd_write,22,824,285501288,0,4,1928662,824,264310,0,4,999999999999,999999999999,999999999999
101,printf,60,912,287460581,0,48,2304194,912,288230,0,48,999999999999,999999999999,999999999999
117,vfprintf,398,1568,289765674,0,48,7103510,1568,288780,0,48,999999999999,999999999999,999999999999
118,printf_core,8995,18856,296870344,0,96,207832397,18856,289840,0,96,999999999999,999999999999,999999999999
105,__fwritex,238,1344,504706271,0,590,7455610,1344,300850,0,590,999999999999,999999999999,999999999999
119,pop_arg,565,1808,512164281,0,84,5821929,1808,307090,0,84,999999999999,999999999999,999999999999
104,putchar,90,888,517991630,0,3,2583384,888,372240,0,3,999999999999,999999999999,999999999999
18,domain(),360,1152,520576444,0,1,4283426,1152,373190,0,1,999999999999,999999999999,999999999999
19,setcoeff(),1784,1792,524861610,0,1,7733031,1792,374640,0,1,999999999999,999999999999,999999999999
20,setbv(),4725,7528,532595771,0,2,42555700,7528,379040,10000000,2,999999999999,999999999999,999999999999
21,setiv(),2857,5552,575737562,0,2,24774606,5552,6403169,210000000,2,999999999999,999999999999,999999999999
22,erhs(),13154,21248,601211489,0,1,275874884,21248,112810101,0,1,999999999999,999999999999,999999999999
23,ssor(int),4643,8304,880662738,0,2,119203271,8304,752973105,20000000,2,999999999999,999999999999,999999999999
34,timer_clear(int),20,536,1000230669,0,44,1893882,536,757485262,0,44,999999999999,999999999999,999999999999
27,rhs(),12947,23200,1002126501,730000000,303,324843414,23200,757488392,188260000000,303,999999999999,999999999999,999999999999
35,timer_start(int),64,920,1329696199,0,2,2616104,920,1390069745,0,2,999999999999,999999999999,999999999999
38,wtime_(double*),117,1176,1332313973,0,4,2941244,1176,1390071725,0,4,999999999999,999999999999,999999999999
47,gettimeofday,113,1016,1335256407,0,4,3093724,1016,1390073235,0,4,999999999999,999999999999,999999999999
52,__wasi_clock_time_get,20,824,1338351201,0,4,1796433,824,1390075405,0,4,999999999999,999999999999,999999999999
28,jacld(int),5229,7880,1340205684,600000000,9331,71927193,7880,1403457844,170270000000,9331,999999999999,999999999999,999999999999
29,"blts(int, int, int, int, double, double (*) [33][33][5], double (*) [33][5][5], double (*) [33][5][5], double (*) [33][5][5], double (*) [33][5][5], int, int, int, int, int, int)",2240,4104,1412199927,450000000,9331,80054044,4104,1422163111,84910000000,9331,999999999999,999999999999,999999999999
30,jacu(int),5217,8024,1495992637,610000000,9331,70545391,8024,2276231641,170540000000,9331,999999999999,999999999999,999999999999
31,"buts(int, int, int, int, double, double (*) [33][33][5], void*, double (*) [33][5][5], double (*) [33][5][5], double (*) [33][5][5], double (*) [33][5][5], int, int, int, int, int, int)",2675,5296,1566605797,730000000,9331,106036892,5296,2295319789,101790000000,9331,999999999999,999999999999,999999999999
36,timer_stop(int),87,944,1679217678,0,2,2696224,944,3824379384,0,2,999999999999,999999999999,999999999999
37,timer_read(int),18,536,1681919982,0,2,1728313,536,3824391064,0,2,999999999999,999999999999,999999999999
24,error(),1910,3432,4813016285,0,1,21188110,3432,723560081442,50000000,1,999999999999,999999999999,999999999999
25,pintgr(),2524,4440,4834485696,0,1,61718618,4440,723609465225,0,1,999999999999,999999999999,999999999999
26,"verify(double*, double*, double, char*, int*)",4270,12920,4896245234,0,1,29936573,12920,723613051561,0,1,999999999999,999999999999,999999999999
116,frexp,145,1200,4926188447,0,36,3289875,1200,723613137341,10000000,36,999999999999,999999999999,999999999999
120,pad,159,1168,4929482142,0,36,5339647,1168,723613176151,0,36,999999999999,999999999999,999999999999
33,"c_print_results(char*, char, int, int, int, int, double, double, char*, int, char*, char*, char*, char*, char*, char*, char*, char*, char*, char*)",1001,3072,4934901809,0,1,11759897,3072,723614820473,0,1,999999999999,999999999999,999999999999
144,strnlen,27,880,4946664786,0,12,2132123,880,723614836463,0,12,999999999999,999999999999,999999999999
66,__wasm_call_dtors,15,864,4948829729,0,1,1753922,864,723615452764,0,1,999999999999,999999999999,999999999999
65,dummy,3,512,4950584811,0,1,1318771,512,723615453504,0,1,999999999999,999999999999,999999999999
73,__stdio_exit,389,1712,4951904604,0,1,8280681,1712,723615453874,0,1,999999999999,999999999999,999999999999
