id,name,size.bytecode,size.static
13,__wasm_call_ctors,5,808
14,undefined_weak:__wasilibc_find_relpath_alloc,4,504
15,_start,84,992
16,main,1503,5024
17,read_input(),1068,3024
18,domain(),360,1152
19,setcoeff(),1784,1792
20,setbv(),4725,7528
21,setiv(),2857,5552
22,erhs(),13154,21248
23,ssor(int),4643,8304
24,error(),1910,3432
25,pintgr(),2524,4440
26,"verify(double*, double*, double, char*, int*)",4270,12920
27,rhs(),12947,23200
28,jacld(int),5229,7880
29,"blts(int, int, int, int, double, double (*) [33][33][5], double (*) [33][5][5], double (*) [33][5][5], double (*) [33][5][5], double (*) [33][5][5], int, int, int, int, int, int)",2240,4104
30,jacu(int),5217,8024
31,"buts(int, int, int, int, double, double (*) [33][33][5], void*, double (*) [33][5][5], double (*) [33][5][5], double (*) [33][5][5], double (*) [33][5][5], int, int, int, int, int, int)",2675,5296
32,_GLOBAL__sub_I_lu.cpp,178,1248
33,"c_print_results(char*, char, int, int, int, int, double, double, char*, int, char*, char*, char*, char*, char*, char*, char*, char*, char*, char*)",1001,3072
34,timer_clear(int),20,536
35,timer_start(int),64,920
36,timer_stop(int),87,944
37,timer_read(int),18,536
38,wtime_(double*),117,1176
39,malloc,12,808
40,dlmalloc,5377,8240
41,prepend_alloc,1091,1680
42,free,12,808
43,dlfree,1713,2216
44,calloc,109,984
45,realloc,1140,2192
46,dispose_chunk,1638,2120
47,gettimeofday,113,1016
48,_Exit,13,792
49,__main_void,214,1400
50,__wasi_args_get,18,816
51,__wasi_args_sizes_get,18,824
52,__wasi_clock_time_get,20,824
53,__wasi_fd_close,16,824
54,__wasi_fd_fdstat_get,18,824
55,__wasi_fd_fdstat_set_flags,18,824
56,__wasi_fd_prestat_get,18,824
57,__wasi_fd_prestat_dir_name,20,824
58,__wasi_fd_read,22,824
59,__wasi_fd_seek,22,824
60,__wasi_fd_write,22,824
61,__wasi_path_open,38,992
62,__wasi_proc_exit,12,792
63,abort,5,504
64,sbrk,79,888
65,dummy,3,512
66,__wasm_call_dtors,15,864
67,exit,24,896
68,ldexp,14,808
69,scalbn,175,984
70,dummy,4,512
71,fclose,153,1288
72,fflush,362,1648
73,__stdio_exit,389,1712
74,__toread,134,1056
75,__uflow,85,1032
76,fgetc,47,864
77,__fmodeflags,103,1032
78,__wasilibc_populate_preopens,226,1296
79,internal_register_preopened_fd_unlocked,280,1320
80,__wasilibc_find_relpath,95,904
81,__wasilibc_find_abspath,344,1408
82,__wasilibc_nocwd_openat_nomode,282,1240
83,close,41,936
84,__wasilibc_open_nomode,163,1024
85,fcntl,275,1504
86,__isatty,103,968
87,__lseek,101,976
88,__stdio_seek,18,840
89,writev,115,984
90,__stdio_write,316,1368
91,readv,114,984
92,read,114,984
93,__stdio_read,253,1224
94,__stdio_close,15,840
95,__fdopen,390,1712
96,fopen,102,1112
97,fscanf,56,904
98,__ofl_lock,9,520
99,__ofl_unlock,3,512
100,__ofl_add,53,944
101,printf,60,912
102,__towrite,94,624
103,__overflow,165,1192
104,putchar,90,888
105,__fwritex,238,1344
106,fwrite,289,1368
107,fputs,37,944
108,puts,109,984
109,sprintf,56,904
110,__stdout_write,60,1008
111,dummy,5,512
112,__lctrans,13,808
113,strerror,87,904
114,wcrtomb,311,856
115,wctomb,26,848
116,frexp,145,1200
117,vfprintf,398,1568
118,printf_core,8995,18856
119,pop_arg,565,1808
120,pad,159,1168
121,long_double_not_supported,29,856
122,__shlim,73,608
123,__shgetc,228,1136
124,__intscan,1623,3464
125,fmod,540,912
126,__floatscan,4813,8760
127,hexfloat,1405,3600
128,scanexp,597,1712
129,mbrtowc,368,752
130,mbsinit,20,544
131,vfscanf,3082,9912
132,long_double_not_supported,30,856
133,vsnprintf,180,1152
134,sn_write,183,1176
135,vsprintf,22,840
136,memchr,371,800
137,memcmp,75,584
138,memcpy,1008,1888
139,memset,393,1200
140,strchr,31,864
141,__strchrnul,358,1144
142,strdup,48,960
143,strlen,205,656
144,strnlen,27,880
145,__multi3,116,640
