id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
15,_start,84,992,70170,0,0,4565177,992,61640,0,0,999999999999,999999999999,999999999999
13,__wasm_call_ctors,5,808,4636347,0,1,1821332,808,65480,0,1,999999999999,999999999999,999999999999
26,_GLOBAL__sub_I_mg.cpp,135,1160,6458319,0,1,2691175,1160,66030,0,1,999999999999,999999999999,999999999999
35,malloc,12,808,9150034,0,10,1784972,808,66730,0,10,999999999999,999999999999,999999999999
36,dlmalloc,5377,8240,10935486,0,12,80509958,8240,67220,0,12,999999999999,999999999999,999999999999
60,sbrk,79,888,91452524,0,3,3039484,888,88280,0,3,999999999999,999999999999,999999999999
45,__main_void,214,1400,94506399,0,1,4633997,1400,114230,0,1,999999999999,999999999999,999999999999
47,__wasi_args_sizes_get,18,824,99141086,0,1,1780683,824,115160,0,1,999999999999,999999999999,999999999999
40,calloc,109,984,100923739,0,2,3337605,984,118330,0,2,999999999999,999999999999,999999999999
135,memset,393,1200,104262144,130000000,60,9196113,1200,121110,120000000,59,999999999999,999999999999,999999999999
46,__wasi_args_get,18,816,113459177,0,1,1781963,816,122840,0,1,999999999999,999999999999,999999999999
16,main,5035,12808,115242590,0,1,66263888,12808,124020,0,1,999999999999,999999999999,999999999999
30,timer_clear(int),20,536,181508038,0,19,2011503,536,126970,0,19,999999999999,999999999999,999999999999
31,timer_start(int),64,920,183520811,0,2,2214983,920,129190,0,2,999999999999,999999999999,999999999999
34,wtime_(double*),117,1176,185736534,0,4,2924875,1176,129700,0,4,999999999999,999999999999,999999999999
43,gettimeofday,113,1016,188662089,0,4,3212835,1016,130320,0,4,999999999999,999999999999,999999999999
48,__wasi_clock_time_get,20,824,191875753,0,4,1896972,824,131100,0,4,999999999999,999999999999,999999999999
92,fopen,102,1112,193781996,0,2,3433025,1112,137790,0,2,999999999999,999999999999,999999999999
132,memchr,371,800,197215651,0,14,7898421,800,138390,0,14,999999999999,999999999999,999999999999
73,__fmodeflags,103,1032,205115072,0,2,3086445,1032,139770,0,2,999999999999,999999999999,999999999999
136,strchr,31,864,208202127,0,4,2133353,864,142290,0,4,999999999999,999999999999,999999999999
137,__strchrnul,358,1144,210336050,0,4,7180051,1144,142650,0,4,999999999999,999999999999,999999999999
80,__wasilibc_open_nomode,163,1024,217517301,0,2,3054854,1024,146270,0,2,999999999999,999999999999,999999999999
76,__wasilibc_find_relpath,95,904,220572855,0,2,2437964,904,147070,0,2,999999999999,999999999999,999999999999
77,__wasilibc_find_abspath,344,1408,223011449,0,2,9073184,1408,147790,0,2,999999999999,999999999999,999999999999
74,__wasilibc_populate_preopens,226,1296,232085512,0,2,5317488,1296,148430,0,2,999999999999,999999999999,999999999999
52,__wasi_fd_prestat_get,18,824,237403760,0,2,1918483,824,149140,0,2,999999999999,999999999999,999999999999
53,__wasi_fd_prestat_dir_name,20,824,239326833,0,1,1919983,824,152630,0,1,999999999999,999999999999,999999999999
75,internal_register_preopened_fd_unlocked,280,1320,241248496,0,1,5865859,1320,153560,0,1,999999999999,999999999999,999999999999
134,memcpy,1008,1888,247118445,0,186,15618592,1888,160770,0,186,999999999999,999999999999,999999999999
38,free,12,808,262737928,0,2,1756733,808,162420,0,2,999999999999,999999999999,999999999999
39,dlfree,1713,2216,264495360,0,2,23883796,2216,162780,0,2,999999999999,999999999999,999999999999
138,strdup,48,960,288380116,0,1,2502083,960,163890,0,1,999999999999,999999999999,999999999999
139,strlen,205,656,290884299,0,20,5122558,656,164250,0,20,999999999999,999999999999,999999999999
78,__wasilibc_nocwd_openat_nomode,282,1240,296011837,0,2,5148288,1240,174720,0,2,999999999999,999999999999,999999999999
50,__wasi_fd_fdstat_get,18,824,301160835,0,3,1909753,824,175960,0,3,999999999999,999999999999,999999999999
57,__wasi_path_open,38,992,303074988,0,2,2549603,992,179020,0,2,999999999999,999999999999,999999999999
104,puts,109,984,305668481,0,15,2968705,984,216310,0,15,999999999999,999999999999,999999999999
103,fputs,37,944,308637946,0,15,2293783,944,216940,0,15,999999999999,999999999999,999999999999
102,fwrite,289,1368,310932899,0,15,7952831,1368,219910,0,15,999999999999,999999999999,999999999999
98,__towrite,94,624,318886640,0,1,3051035,624,220610,0,1,999999999999,999999999999,999999999999
99,__overflow,165,1192,321939485,0,1,4419027,1192,229300,0,1,999999999999,999999999999,999999999999
106,__stdout_write,60,1008,326359182,0,1,3062915,1008,230300,0,1,999999999999,999999999999,999999999999
82,__isatty,103,968,329422866,0,1,3116445,968,230800,0,1,999999999999,999999999999,999999999999
86,__stdio_write,316,1368,332543881,0,3,7377201,1368,233140,0,3,999999999999,999999999999,999999999999
85,writev,115,984,339922012,0,3,3031624,984,234150,0,3,999999999999,999999999999,999999999999
56,__wasi_fd_write,22,824,342954516,0,3,1951873,824,234840,0,3,999999999999,999999999999,999999999999
17,"setup(int*, int*, int*, int)",1628,2720,344936629,0,2,27968582,2720,256400,0,2,999999999999,999999999999,999999999999
18,"zran3(void*, int, int, int, int, int, int)",7736,14696,431040377,0,2,103979383,14696,58973167,0,2,999999999999,999999999999,999999999999
28,"randlc(double*, double)",327,1584,535025760,430000000,131642,3381905,1584,58989277,48370000000,131642,999999999999,999999999999,999999999999
29,"vranlc(int, double*, double, double*)",362,1800,594168258,540000000,131072,5662128,1800,115211460,23860000000,131072,999999999999,999999999999,999999999999
21,"comm3(void*, int, int, int, int)",1305,2704,1079954815,20000000,119,34987291,2704,36378287735,4690000000,119,999999999999,999999999999,999999999999
97,printf,60,912,1115612388,0,24,2331043,912,36420608768,0,24,999999999999,999999999999,999999999999
113,vfprintf,398,1568,1117944721,0,24,6833440,1568,36420610358,0,24,999999999999,999999999999,999999999999
114,printf_core,8995,18856,1124779241,0,48,206101284,18856,36420612638,0,48,999999999999,999999999999,999999999999
101,__fwritex,238,1344,1330883835,0,170,7463501,1344,36420628998,0,170,999999999999,999999999999,999999999999
115,pop_arg,565,1808,1338349766,0,29,5847629,1808,36420637848,0,29,999999999999,999999999999,999999999999
19,"resid(void*, void*, void*, int, int, int, double*, int)",1236,3040,1344205915,710000000,42,27323531,3040,36420728838,202810000000,42,999999999999,999999999999,999999999999
20,"mg3P(double*, double*, double*, double*, double*, int, int, int, int)",2208,6104,1473514766,110000000,5,54996301,6104,52437646870,14590000000,5,999999999999,999999999999,999999999999
24,"psinv(void*, void*, int, int, int, double*, int)",1219,2984,1556791059,370000000,40,28076822,2984,55790166203,97860000000,40,999999999999,999999999999,999999999999
25,"interp(void*, int, int, int, void*, int, int, int, int)",4297,7560,1584877010,50000000,35,98536075,7560,55790205853,18880000000,35,999999999999,999999999999,999999999999
32,timer_stop(int),87,944,2403590270,0,2,3276354,944,150674113187,0,2,999999999999,999999999999,999999999999
33,timer_read(int),18,536,2406872735,0,2,1744782,536,150674125957,0,2,999999999999,999999999999,999999999999
112,frexp,145,1200,2408621517,0,5,3248695,1200,150674171657,0,5,999999999999,999999999999,999999999999
116,pad,159,1168,2411873542,0,5,5404698,1168,150674208047,0,5,999999999999,999999999999,999999999999
27,"c_print_results(char*, char, int, int, int, int, double, double, char*, int, char*, char*, char*, char*, char*, char*, char*, char*, char*, char*)",1002,3072,3350911899,0,1,12715769,3072,415088674502,0,1,999999999999,999999999999,999999999999
140,strnlen,27,880,3363632608,0,12,2133923,880,415088691882,0,12,999999999999,999999999999,999999999999
100,putchar,90,888,3365813811,0,2,2556414,888,415089328782,0,2,999999999999,999999999999,999999999999
62,__wasm_call_dtors,15,864,3368374705,0,1,1743823,864,415089346393,0,1,999999999999,999999999999,999999999999
61,dummy,3,512,3370119547,0,1,1330393,512,415089346862,0,1,999999999999,999999999999,999999999999
69,__stdio_exit,389,1712,3371450889,0,1,8181713,1712,415089347242,0,1,999999999999,999999999999,999999999999
94,__ofl_lock,9,520,3379633472,0,1,1464462,520,415089348033,0,1,999999999999,999999999999,999999999999
