id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
15,_start,84,992,69720,0,0,4544556,992,63080,0,0,999999999999,999999999999,999999999999
13,__wasm_call_ctors,5,808,4615336,0,1,1817733,808,66810,0,1,999999999999,999999999999,999999999999
34,_GLOBAL__sub_I_sp.cpp,297,1520,6433589,0,1,3589824,1520,67270,0,1,999999999999,999999999999,999999999999
41,malloc,12,808,10023974,0,18,1811802,808,67860,0,18,999999999999,999999999999,999999999999
42,dlmalloc,5377,8240,11836536,0,20,80302293,8240,68220,0,20,999999999999,999999999999,999999999999
66,sbrk,79,888,92147469,0,13,3012464,888,87110,0,13,999999999999,999999999999,999999999999
51,__main_void,214,1400,95216613,0,1,4615927,1400,195721,0,1,999999999999,999999999999,999999999999
53,__wasi_args_sizes_get,18,824,99833260,0,1,1817732,824,196730,0,1,999999999999,999999999999,999999999999
46,calloc,109,984,101652942,0,2,3341144,984,200010,0,2,999999999999,999999999999,999999999999
140,memset,393,1200,104994996,20000000,4199,9252284,1200,202650,4740000000,4200,999999999999,999999999999,999999999999
52,__wasi_args_get,18,816,114248129,0,1,1782593,816,204001,0,1,999999999999,999999999999,999999999999
16,main,2399,7760,116032382,0,1,27462759,7760,205061,0,1,999999999999,999999999999,999999999999
97,fopen,102,1112,143495871,0,2,3387694,1112,205910,0,2,999999999999,999999999999,999999999999
137,memchr,371,800,146884215,0,14,7789121,800,206361,0,14,999999999999,999999999999,999999999999
78,__fmodeflags,103,1032,154674466,0,2,2973674,1032,209970,0,2,999999999999,999999999999,999999999999
141,strchr,31,864,157648940,0,4,2147754,864,210641,0,4,999999999999,999999999999,999999999999
142,__strchrnul,358,1144,159797313,0,4,7245130,1144,210930,0,4,999999999999,999999999999,999999999999
85,__wasilibc_open_nomode,163,1024,167043584,0,2,3089784,1024,213801,0,2,999999999999,999999999999,999999999999
81,__wasilibc_find_relpath,95,904,170134158,0,2,2434144,904,214550,0,2,999999999999,999999999999,999999999999
82,__wasilibc_find_abspath,344,1408,172569032,0,2,9067252,1408,215190,0,2,999999999999,999999999999,999999999999
79,__wasilibc_populate_preopens,226,1296,181637204,0,2,5338958,1296,215870,0,2,999999999999,999999999999,999999999999
58,__wasi_fd_prestat_get,18,824,186976902,0,2,1934083,824,216701,0,2,999999999999,999999999999,999999999999
59,__wasi_fd_prestat_dir_name,20,824,188915515,0,1,1922372,824,220310,0,1,999999999999,999999999999,999999999999
80,internal_register_preopened_fd_unlocked,280,1320,190839527,0,1,5869788,1320,221341,0,1,999999999999,999999999999,999999999999
139,memcpy,1008,1888,196711205,8560000000,3188638,15510351,1888,228681,2101660000000,3188638,999999999999,999999999999,999999999999
44,free,12,808,212223337,0,2,1750853,808,230210,0,2,999999999999,999999999999,999999999999
45,dlfree,1713,2216,213975040,0,2,24014203,2216,230610,0,2,999999999999,999999999999,999999999999
143,strdup,48,960,237990463,0,1,2470194,960,231801,0,1,999999999999,999999999999,999999999999
144,strlen,205,656,240461507,0,21,5013747,656,232141,0,21,999999999999,999999999999,999999999999
