id,name,size.bytecode,size.static
13,__wasm_call_ctors,5,808
14,undefined_weak:__wasilibc_find_relpath_alloc,4,504
15,_start,84,992
16,main,2399,7760
17,set_constants(),2614,3296
18,exact_rhs(),16134,27424
19,initialize(),11942,17000
20,compute_rhs(),12752,20128
21,txinvr(),746,1840
22,x_solve(),4689,7712
23,y_solve(),4612,6792
24,z_solve(),4604,6576
25,add(),377,1384
26,"verify(int, char*, int*)",3876,11984
27,error_norm(double*),1865,3440
28,rhs_norm(double*),622,1072
29,"lhsinit(int, int)",501,1144
30,ninvr(),357,1568
31,"lhsinitj(int, int)",483,1048
32,pinvr(),353,1576
33,tzetar(),635,1784
34,_GLOBAL__sub_I_sp.cpp,297,1520
35,"c_print_results(char*, char, int, int, int, int, double, double, char*, int, char*, char*, char*, char*, char*, char*, char*, char*, char*, char*)",1001,3072
36,timer_clear(int),20,536
37,timer_start(int),64,920
38,timer_stop(int),87,944
39,timer_read(int),18,536
40,wtime_(double*),117,1176
41,malloc,12,808
42,dlmalloc,5377,8240
43,prepend_alloc,1091,1680
44,free,12,808
45,dlfree,1713,2216
46,calloc,109,984
47,realloc,1140,2192
48,dispose_chunk,1638,2120
49,gettimeofday,113,1016
50,_Exit,13,792
51,__main_void,214,1400
52,__wasi_args_get,18,816
53,__wasi_args_sizes_get,18,824
54,__wasi_clock_time_get,20,824
55,__wasi_fd_close,16,824
56,__wasi_fd_fdstat_get,18,824
57,__wasi_fd_fdstat_set_flags,18,824
58,__wasi_fd_prestat_get,18,824
59,__wasi_fd_prestat_dir_name,20,824
60,__wasi_fd_read,22,824
61,__wasi_fd_seek,22,824
62,__wasi_fd_write,22,824
63,__wasi_path_open,38,992
64,__wasi_proc_exit,12,792
65,abort,5,504
66,sbrk,79,888
67,dummy,3,512
68,__wasm_call_dtors,15,864
69,ldexp,14,808
70,scalbn,175,984
71,dummy,4,512
72,fclose,153,1288
73,fflush,362,1648
74,__stdio_exit,389,1712
75,__toread,134,1056
76,__uflow,85,1032
77,fgetc,47,864
78,__fmodeflags,103,1032
79,__wasilibc_populate_preopens,226,1296
80,internal_register_preopened_fd_unlocked,280,1320
81,__wasilibc_find_relpath,95,904
82,__wasilibc_find_abspath,344,1408
83,__wasilibc_nocwd_openat_nomode,282,1240
84,close,41,936
85,__wasilibc_open_nomode,163,1024
86,fcntl,275,1504
87,__isatty,103,968
88,__lseek,101,976
89,__stdio_seek,18,840
90,writev,115,984
91,__stdio_write,316,1368
92,readv,114,984
93,read,114,984
94,__stdio_read,253,1224
95,__stdio_close,15,840
96,__fdopen,390,1712
97,fopen,102,1112
98,fscanf,56,904
99,__ofl_lock,9,520
100,__ofl_unlock,3,512
101,__ofl_add,53,944
102,printf,60,912
103,__towrite,94,624
104,__overflow,165,1192
105,putchar,90,888
106,__fwritex,238,1344
107,fwrite,289,1368
108,fputs,37,944
109,puts,109,984
110,sprintf,56,904
111,__stdout_write,60,1008
112,dummy,5,512
113,__lctrans,13,808
114,strerror,87,904
115,wcrtomb,311,856
116,wctomb,26,848
117,frexp,145,1200
118,vfprintf,398,1568
119,printf_core,8995,18856
120,pop_arg,565,1808
121,pad,159,1168
122,long_double_not_supported,29,856
123,__shlim,73,608
124,__shgetc,228,1136
125,__intscan,1623,3464
126,fmod,540,912
127,__floatscan,4813,8760
128,hexfloat,1405,3600
129,scanexp,597,1712
130,mbrtowc,368,752
131,mbsinit,20,544
132,vfscanf,3082,9912
133,long_double_not_supported,30,856
134,vsnprintf,180,1152
135,sn_write,183,1176
136,vsprintf,22,840
137,memchr,371,800
138,memcmp,75,584
139,memcpy,1008,1888
140,memset,393,1200
141,strchr,31,864
142,__strchrnul,358,1144
143,strdup,48,960
144,strlen,205,656
145,strnlen,27,880
146,__multi3,116,640
