id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,62520,0,0,4546188,984,62770,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4609678,0,1,1476592,512,67160,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6086910,0,1,4980259,1392,67520,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11067919,0,1,1940524,824,68830,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13011673,0,1,1802454,808,72780,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14814796,0,10,80555360,8232,73300,0,10,999999999999,999999999999,999999999999
20,calloc,109,984,95378306,0,2,3555796,984,90330,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,98935042,20000000,2,9192116,1200,93880,260000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108128198,0,1,1799843,816,95640,0,1,999999999999,999999999999,999999999999
14,main,1762,4112,109929791,0,1,41410802,4112,96640,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,151341993,0,7,3227336,1080,101330,0,7,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,154569869,0,7,3608776,1000,102170,0,7,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,158179295,0,7,8896186,1352,103470,0,7,999999999999,999999999999,999999999999
36,sbrk,79,888,167076861,0,8,2835125,888,107430,0,8,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,169919945,10000000,14,22358549,2120,118400,800000000,14,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,209878725,0,1,6508821,1720,808857835,0,1,999999999999,999999999999,999999999999
18,free,12,808,234160557,0,8,2420365,808,1078410284,0,8,999999999999,999999999999,999999999999
19,dlfree,1713,2216,236582541,0,8,23897281,2216,1078412584,0,8,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,260481472,0,2,3280405,1016,1078416294,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,263762588,0,2,1877034,824,1078418544,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,2550512892,0,1,3885897,1240,451620951704,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,2554403949,0,1,2309494,896,451620964334,0,1,999999999999,999999999999,999999999999
49,printf,60,912,2556714223,0,1,2311454,912,451620965864,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,2559026787,0,1,6993512,1568,451620967414,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,2566021129,0,2,209234434,18856,451620969304,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,2775258202,0,1,3340917,624,451620991314,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,2778600539,0,6,6985162,1344,451620995294,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,2785586501,0,6,15151966,1888,451620997124,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,2800740257,0,1,5840260,1808,451621002864,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,2806581977,0,1,3590097,1200,451621007914,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,2810174574,0,1,5414309,1168,451621041784,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,2815589993,0,1,2954445,1008,451621045424,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,2818545108,0,1,3006645,968,451621046314,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,2821553113,0,1,1779453,824,451621052744,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,2823338077,0,1,7103541,1368,451621059334,0,1,999999999999,999999999999,999999999999
53,writev,115,984,2830442609,0,1,2970314,984,451621060864,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,2833413703,0,1,1796323,824,451621062504,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,2835247877,0,1,1781703,864,451621131264,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,2837030310,0,1,1313432,512,451621131964,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,2838344602,0,1,8241094,1712,451621132314,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,2846586437,10000000,1,1482793,520,451621132954,20000000,1,999999999999,999999999999,999999999999
