id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,74400,0,0,4583230,984,64430,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4658601,0,1,1487913,512,68150,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6147274,0,1,4962511,1392,68570,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11110324,0,1,1935715,824,69660,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13049959,0,1,1908364,808,74000,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14958973,0,7,80817054,8232,74450,0,7,999999999999,999999999999,999999999999
20,calloc,109,984,95783957,0,2,3568958,984,92730,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99353855,10000000,2,9176659,1200,96600,300000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108531364,0,1,1782644,816,97920,0,1,999999999999,999999999999,999999999999
14,main,2011,4560,110315908,0,1,41793910,4560,98960,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,152111339,0,4,3242746,1080,102090,0,4,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,155354765,0,4,3617538,1000,102870,0,4,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,158972893,0,4,8906700,1352,103980,0,4,999999999999,999999999999,999999999999
36,sbrk,79,888,167880953,0,5,2807235,888,107650,0,5,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,170694779,0,8,22370357,2120,117110,120000000,8,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,197316096,0,1,5980193,1720,129717340,0,1,999999999999,999999999999,999999999999
18,free,12,808,221684288,0,5,2127595,808,427505841,0,5,999999999999,999999999999,999999999999
19,dlfree,1713,2216,223813213,0,5,23981012,2216,427507761,0,5,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,247795774,0,2,3173907,1016,427511941,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,250970401,0,2,1947724,824,427514001,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,7625998532,0,1,4040259,1240,706022729797,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,7630044281,0,1,2373895,896,706022742977,0,1,999999999999,999999999999,999999999999
49,printf,60,912,7632419036,0,1,2341455,912,706022744287,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,7634761381,0,1,7005085,1568,706022745597,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,7641767326,0,2,209177221,18856,706022747507,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,7850947327,0,1,3361517,624,706022759787,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,7854310074,0,6,7251436,1344,706022781227,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,7861562440,0,6,15250723,1888,706022783467,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,7876814383,0,1,5821782,1808,706022790107,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,7882637225,0,1,3231537,1200,706022795547,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,7885870902,0,1,5330502,1168,706022829607,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,7891202684,0,1,2969896,1008,706022833477,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,7894173280,0,1,2984667,968,706022834447,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,7897159587,0,1,1777234,824,706022835337,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,7898942850,0,1,7211206,1368,706022842297,0,1,999999999999,999999999999,999999999999
53,writev,115,984,7906155146,0,1,3068027,984,706022843637,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,7909223923,0,1,1909583,824,706022845077,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,7911175637,0,1,1890264,864,706023062018,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,7913066621,0,1,1461023,512,706023062598,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,7914528504,0,1,8356178,1712,706023062968,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,7922885602,10000000,1,1622734,520,706023063488,20000000,1,999999999999,999999999999,999999999999
