id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,58520,0,0,4597848,984,72120,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4657378,0,1,1476322,512,75920,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6134330,0,1,4951089,1392,76450,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11086129,0,1,1937793,824,77570,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13027252,0,1,1808663,808,81790,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14836576,0,7,80874940,8232,82470,0,7,999999999999,999999999999,999999999999
20,calloc,109,984,95722255,0,2,3609656,984,99380,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99333011,40000000,4,9212566,1200,105120,1430000000,3,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108546817,0,1,1794253,816,106890,0,1,999999999999,999999999999,999999999999
14,main,951,3168,110342840,0,1,18813573,3168,108100,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,129157663,0,4,3208325,1080,108970,0,4,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,132366928,0,4,3611696,1000,109930,0,4,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,135979474,0,4,8858615,1352,111240,0,4,999999999999,999999999999,999999999999
36,sbrk,79,888,144839709,0,3,2800906,888,115410,0,3,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,147646995,30000000,8,22310508,2120,125690,700000000,8,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,195705227,0,1,10305428,1720,709663394,0,1,999999999999,999999999999,999999999999
18,free,12,808,234435794,0,5,3542996,808,987845804,0,5,999999999999,999999999999,999999999999
19,dlfree,1713,2216,237981450,0,5,39597879,2216,987848594,0,5,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,277581589,0,2,5363600,1016,987852454,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,282946718,0,2,3096105,824,987854544,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,294969948,0,1,5135850,1240,2157110151,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,300109388,0,1,3727326,896,2157120091,0,1,999999999999,999999999999,999999999999
49,printf,60,912,303838544,0,1,3779207,912,2157121381,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,307619030,0,1,11496450,1568,2157122861,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,319117081,0,2,314266661,18856,2157125111,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,633386552,0,1,3386567,624,2157136991,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,636774649,0,6,7203442,1344,2157149491,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,643979111,0,6,15165496,1888,2157151831,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,659146687,0,1,5838060,1808,2157158371,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,664985877,0,1,3349165,1200,2157164281,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,668338303,0,1,5506279,1168,2157197751,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,673845802,0,1,3127256,1008,2157201701,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,676974218,0,1,3112825,968,2157202591,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,680088503,0,1,1936823,824,2157203761,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,682031186,0,1,7236923,1368,2157210941,0,1,999999999999,999999999999,999999999999
53,writev,115,984,689269359,0,1,3075966,984,2157212301,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,692346194,0,1,1935954,824,2157213791,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,694320848,0,1,1879343,864,2157269301,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,696201121,0,1,1475572,512,2157269871,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,697677783,0,1,8387554,1712,2157270391,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,706066228,10000000,1,1636262,520,2157271091,20000000,1,999999999999,999999999999,999999999999
