id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,62350,0,0,4592228,984,65620,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4655668,0,1,1484323,512,69260,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6140731,0,1,4960888,1392,69800,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11102279,0,1,1945263,824,70840,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13050892,0,1,1800113,808,74570,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14851785,0,8,80552300,8232,75050,0,8,999999999999,999999999999,999999999999
20,calloc,109,984,95414365,0,2,3602386,984,94230,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99017861,30000000,4,9205496,1200,97740,1370000000,3,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108224716,0,1,1800663,816,99190,0,1,999999999999,999999999999,999999999999
14,main,976,3440,110027219,0,1,17751781,3440,102520,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,127780080,0,5,3181346,1080,103460,0,5,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,130962116,0,5,3653506,1000,104280,0,5,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,134616633,0,5,8870824,1352,105330,0,5,999999999999,999999999999,999999999999
36,sbrk,79,888,143489117,0,3,2802005,888,108690,0,3,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,146297302,20000000,10,22195238,2120,118080,740000000,10,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,185454710,0,1,6444381,1720,747561799,0,1,999999999999,999999999999,999999999999
18,free,12,808,210010923,0,6,2457885,808,1018159506,0,6,999999999999,999999999999,999999999999
19,dlfree,1713,2216,212470587,0,6,23906581,2216,1018161266,0,6,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,236379178,0,2,3232505,1016,1018165436,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,239612403,0,2,1839843,824,1018167326,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,254090278,0,1,3387486,1240,2139064929,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,257480704,0,1,2259664,896,2139075649,0,1,999999999999,999999999999,999999999999
49,printf,60,912,259741408,0,1,2302054,912,2139076919,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,262044382,0,1,7001962,1568,2139078239,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,269047364,0,2,207889229,18856,2139080129,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,476939443,0,1,3352615,624,2139092559,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,480293438,0,6,7016502,1344,2139105999,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,487311080,0,6,15068096,1888,2139108469,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,502381156,0,1,5860909,1808,2139114859,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,508243566,0,1,3174926,1200,2139120979,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,511421352,0,1,5335820,1168,2139155989,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,516758541,0,1,2949925,1008,2139159700,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,519709346,0,1,3001095,968,2139160629,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,522712011,0,1,1795033,824,2139161709,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,524513165,0,1,7031462,1368,2139169520,0,1,999999999999,999999999999,999999999999
53,writev,115,984,531546127,0,1,2923345,984,2139170749,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,534470342,0,1,1824573,824,2139171880,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,536332845,0,1,1742733,864,2139233910,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,538076298,0,1,1330712,512,2139234490,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,539407850,0,1,8168545,1712,2139234920,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,547577325,10000000,1,1475642,520,2139235710,20000000,1,999999999999,999999999999,999999999999
