id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,60750,0,0,4561198,984,58910,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4622888,0,1,1478523,512,62740,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6102061,0,1,4985198,1392,63370,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11087859,0,1,1920943,824,64720,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13011942,0,1,1812143,808,68740,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14824745,0,5,80363737,8232,69360,0,5,999999999999,999999999999,999999999999
20,calloc,109,984,95196722,0,2,3582206,984,89400,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,98779808,6080000000,2003,9186156,1200,93460,1422760000000,2003,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,107966734,0,1,1799063,816,98950,0,1,999999999999,999999999999,999999999999
14,main,1629,3688,109767737,0,1,37731754,3688,100110,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,147500851,0,2,3197745,1080,101280,0,2,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,150699466,0,2,3679926,1000,102460,0,2,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,154380222,0,2,8885926,1352,103640,0,2,999999999999,999999999999,999999999999
36,sbrk,79,888,163267308,0,3,2856885,888,107840,0,3,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,166131112,0,4,22272689,2120,117990,0,4,999999999999,999999999999,999999999999
18,free,12,808,6320957349,0,3,2631645,808,1435632135272,0,3,999999999999,999999999999,999999999999
19,dlfree,1713,2216,6323591644,0,3,24145931,2216,1435632137192,0,3,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,6347740305,0,1,6080260,1720,1435632144402,0,1,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,6358326303,0,2,3415325,1016,1435895016363,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,6361742678,0,2,1946284,824,1435895019363,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,7431255917,0,1,4016547,1240,1641983428197,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,7435277224,0,1,2334404,896,1641983442227,0,1,999999999999,999999999999,999999999999
49,printf,60,912,7437612668,0,1,2346584,912,1641983443727,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,7439960502,0,1,7060102,1568,1641983445167,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,7447021604,0,2,209009326,18856,1641983447177,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,7656033520,0,1,3424715,624,1641983459637,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,7659459405,0,6,7115192,1344,1641983463847,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,7666575577,0,6,15178807,1888,1641983475277,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,7681756124,0,1,5858350,1808,1641983481987,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,7687615524,0,1,3197185,1200,1641983487447,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,7690815869,0,1,5343879,1168,1641983523157,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,7696161258,0,1,2953045,1008,1641983527067,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,7699115073,0,1,2994425,968,1641983528097,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,7702111788,0,1,1842643,824,1641983528927,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,7703959671,0,1,7251692,1368,1641983535857,0,1,999999999999,999999999999,999999999999
53,writev,115,984,7711212073,0,1,3110965,984,1641983537207,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,7714323749,0,1,1931003,824,1641983538417,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,7716292202,0,1,1883603,864,1641983588347,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,7718176535,0,1,1448133,512,1641983588897,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,7719625598,0,1,8306204,1712,1641983589277,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,7727932682,20000000,1,1607033,520,1641983590097,20000000,1,999999999999,999999999999,999999999999
