id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,57181,0,0,4578117,984,60550,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4636298,0,1,1500943,512,64320,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6137951,0,1,4965617,1392,64740,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11104338,0,1,1942033,824,65760,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13050022,0,1,1805103,808,69840,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14855855,0,7,80328104,8232,70330,0,7,999999999999,999999999999,999999999999
20,calloc,109,984,95191829,0,2,3586306,984,90831,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,98779225,10000000,2,9154485,1200,94231,270000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,107934950,0,1,1806733,816,95771,0,1,999999999999,999999999999,999999999999
14,main,1344,3472,109743253,0,1,28939589,3472,96971,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,138683892,0,4,3179735,1080,100091,0,4,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,141864517,0,4,3608476,1000,100851,0,4,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,145473963,0,4,8874015,1352,101980,0,4,999999999999,999999999999,999999999999
36,sbrk,79,888,154349668,0,3,2833354,888,105500,0,3,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,157190192,10000000,8,22241268,2120,115340,250000000,8,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,186746732,0,1,6186240,1720,260476545,0,1,999999999999,999999999999,999999999999
18,free,12,808,211039062,0,5,2465104,808,530122264,0,5,999999999999,999999999999,999999999999
19,dlfree,1713,2216,213506316,0,5,23929091,2216,530123744,0,5,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,237437296,0,2,3247186,1016,530128494,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,240685742,0,2,1850873,824,530130714,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,1541305331,0,1,3956427,1240,196270062647,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,1545266578,0,1,2264304,896,196270089827,0,1,999999999999,999999999999,999999999999
49,printf,60,912,1547531681,0,1,2298033,912,196270090987,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,1549830755,0,1,7005462,1568,196270092307,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,1556837517,0,2,208407147,18856,196270094127,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,1765247844,0,1,3330636,624,196270106337,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,1768579970,0,6,7026752,1344,196270110527,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,1775607552,0,6,15304676,1888,196270115227,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,1790914047,0,1,5860629,1808,196270121937,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,1796775907,0,1,3206646,1200,196270128197,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,1799984933,0,1,5375598,1168,196270163127,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,1805361951,0,1,2970045,1008,196270166917,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,1808332966,0,1,2995575,968,196270167767,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,1811330231,0,1,1783293,824,196270168817,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,1813119644,0,1,7074772,1368,196270176557,0,1,999999999999,999999999999,999999999999
53,writev,115,984,1820195416,0,1,2938905,984,196270177837,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,1823135031,0,1,1799353,824,196270179087,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,1824969934,0,1,1770993,864,196270247157,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,1826741727,0,1,1331342,512,196270247697,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,1828074169,0,1,8206644,1712,196270248097,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,1836281913,10000000,1,1501503,520,196270248957,10000000,1,999999999999,999999999999,999999999999
