id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,57950,0,0,4541228,984,61960,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4600228,0,1,1489633,512,66070,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6090491,0,1,4970269,1392,66550,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11061430,0,1,1926283,824,67740,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,12991353,0,1,1804953,808,71690,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14796986,0,6,80755572,8232,72180,0,6,999999999999,999999999999,999999999999
20,calloc,109,984,95561388,0,2,3562826,984,92070,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99125124,20000000,2,9189476,1200,95750,270000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108315830,0,1,1797033,816,97220,0,1,999999999999,999999999999,999999999999
14,main,1227,3304,110114633,0,1,25109364,3304,98260,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,135225297,0,3,3193606,1080,101180,0,3,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,138419573,0,3,3635866,1000,102000,0,3,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,142055959,0,3,8933126,1352,103060,0,3,999999999999,999999999999,999999999999
36,sbrk,79,888,150990265,0,3,2846045,888,106580,0,3,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,153842870,10000000,6,22403439,2120,115800,220000000,6,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,183407132,0,1,6138200,1720,224070953,0,1,999999999999,999999999999,999999999999
18,free,12,808,207786425,0,4,2454274,808,494967727,0,4,999999999999,999999999999,999999999999
19,dlfree,1713,2216,210242679,0,4,24239462,2216,494969998,0,4,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,234483881,0,2,3238676,1016,494974198,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,237723417,0,2,1866043,824,494976258,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,1525306684,0,1,3971507,1240,176398101709,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,1529283071,0,1,2274824,896,176398114329,0,1,999999999999,999999999999,999999999999
49,printf,60,912,1531558685,0,1,2311494,912,176398115739,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,1533870879,0,1,7050793,1568,176398116999,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,1540922622,0,2,208963606,18856,176398118569,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,1749888918,0,1,3311906,624,176398145299,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,1753202174,0,6,7034852,1344,176398149489,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,1760237896,0,6,15182996,1888,176398151989,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,1775422423,0,1,5895821,1808,176398158219,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,1781319533,0,1,3164366,1200,176398163769,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,1784486139,0,1,5303159,1168,176398198439,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,1789790548,0,1,2983795,1008,176398202509,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,1792775203,0,1,2954355,968,176398203509,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,1795731228,0,1,1803083,824,176398207209,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,1797540282,0,1,7039891,1368,176398215089,0,1,999999999999,999999999999,999999999999
53,writev,115,984,1804581363,0,1,2938556,984,176398216629,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,1807520719,0,1,1793363,824,176398217799,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,1809351502,0,1,1749793,864,176398277609,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,1811102075,0,1,1317402,512,176398278149,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,1812420347,0,1,8235795,1712,176398278579,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,1820656872,20000000,1,1488923,520,176398279409,10000000,1,999999999999,999999999999,999999999999
