id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,59680,0,0,4578208,984,65400,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4638958,0,1,1476462,512,69331,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6116070,0,1,4953750,1392,69760,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11070469,0,1,1938743,824,73200,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13014533,0,1,1803573,808,76791,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14818886,0,6,81267790,8232,77260,0,6,999999999999,999999999999,999999999999
20,calloc,109,984,96095286,0,2,3623186,984,100091,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99719412,20000000,2,9215126,1200,103920,260000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108935488,0,1,1804653,816,105400,0,1,999999999999,999999999999,999999999999
14,main,1135,3048,110742011,0,1,29145980,3048,106460,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,139889051,0,3,3252086,1080,107291,0,3,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,143141767,0,3,3666006,1000,108020,0,3,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,146808503,0,3,8996735,1352,109100,0,3,999999999999,999999999999,999999999999
36,sbrk,79,888,155806669,0,3,2851445,888,112391,0,3,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,158664503,30000000,6,22488870,2120,121480,600000000,6,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,202651830,0,1,10227367,1720,606363206,0,1,999999999999,999999999999,999999999999
18,free,12,808,241377817,0,4,3629666,808,876467903,0,4,999999999999,999999999999,999999999999
19,dlfree,1713,2216,245009603,0,4,39529998,2216,876470172,0,4,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,284541911,0,2,5335129,1016,876474403,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,289878740,0,2,3192285,824,876476563,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,839944709,0,1,3908817,1240,95124754293,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,843858606,0,1,2253024,896,95124766443,0,1,999999999999,999999999999,999999999999
49,printf,60,912,846112370,0,1,2319164,912,95124767733,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,848432604,0,1,6942451,1568,95124768793,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,855375885,0,2,207744969,18856,95124770443,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,1063123544,0,1,3495366,624,95124797483,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,1066620569,0,6,7073863,1344,95124801713,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,1073695642,0,6,15118117,1888,95124803723,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,1088815488,0,1,5837450,1808,95124810063,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,1094654448,0,1,3191096,1200,95124815573,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,1097847824,0,1,5319469,1168,95124847953,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,1103168533,0,1,2932355,1008,95124851793,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,1106101828,0,1,2971055,968,95124852583,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,1109074463,0,1,1785183,824,95124853453,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,1110865736,0,1,7026512,1368,95124860213,0,1,999999999999,999999999999,999999999999
53,writev,115,984,1117893358,0,1,2963085,984,95124861513,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,1120857323,0,1,1861783,824,95124862683,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,1122754546,0,1,1884594,864,95124921123,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,1124640020,0,1,1454713,512,95124921693,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,1126095683,0,1,8335035,1712,95124922203,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,1134431647,20000000,1,1608992,520,95124922973,20000000,1,999999999999,999999999999,999999999999
