id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,61140,0,0,4571290,984,59389,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4633470,0,1,1473193,512,63660,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6107363,0,1,4992669,1392,64269,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11100762,0,1,1951454,824,65309,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13055456,0,1,1807954,808,69480,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14864049,0,5,81148060,8232,70030,0,5,999999999999,999999999999,999999999999
20,calloc,109,984,96022689,0,2,3648128,984,93030,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99671797,20000000,3,9285828,1200,96560,270000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108958715,0,1,1825033,816,98140,0,1,999999999999,999999999999,999999999999
14,main,909,3016,110785598,0,1,18432317,3016,99320,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,129218865,0,2,3179735,1080,102200,0,2,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,132402881,0,2,3649637,1000,105030,0,2,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,136053368,0,2,8963628,1352,106420,0,2,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,145020296,0,4,22275744,2120,112640,0,4,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,167311380,0,1,6075212,1720,285300,0,1,999999999999,999999999999,999999999999
36,sbrk,79,888,173388452,0,1,3101637,888,289610,0,1,999999999999,999999999999,999999999999
18,free,12,808,195075094,0,3,2468575,808,279211509,0,3,999999999999,999999999999,999999999999
19,dlfree,1713,2216,197545239,0,3,24200478,2216,279214949,0,3,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,221747757,0,2,3370436,1016,279219429,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,225119263,0,2,1903214,824,279221029,0,2,999999999999,999999999999,999999999999
71,memcpy,1008,1888,227032197,0,2005,15322510,1888,279238889,690000000,2005,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,245233003,0,1,3182966,1240,974537847,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,248418549,0,1,2277074,896,974545477,0,1,999999999999,999999999999,999999999999
49,printf,60,912,250696513,0,1,2333794,912,974546617,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,253031388,0,1,6955524,1568,974547777,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,259987952,0,2,209874303,18856,974549577,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,469865005,0,1,3347677,624,974573387,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,473214231,0,6,7216455,1344,974577917,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,480432046,0,1,5848141,1808,974585577,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,486281617,0,1,3171206,1200,974590657,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,489455254,0,1,5299530,1168,974623607,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,494756174,0,1,2938116,1008,974627337,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,497695090,0,1,3008905,968,974628337,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,500705705,0,1,1764194,824,974631527,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,502475669,0,1,7114084,1368,974639027,0,1,999999999999,999999999999,999999999999
53,writev,115,984,509590863,0,1,2982136,984,974640347,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,512573679,0,1,1926984,824,974641317,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,514537433,0,1,1908664,864,974688817,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,516447036,0,1,1461594,512,974689327,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,517909719,0,1,8390467,1712,974689747,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,526301096,10000000,1,1602803,520,974690487,10000000,1,999999999999,999999999999,999999999999
