id,name,size.bytecode,size.static
8,__wasm_call_ctors,3,512
9,_start,84,984
10,polybench_timer_start,266,1720
11,polybench_timer_stop,108,1240
12,polybench_timer_print,72,896
13,polybench_alloc_data,121,1080
14,main,909,3016
15,malloc,12,808
16,dlmalloc,5377,8232
17,prepend_alloc,1091,1680
18,free,12,808
19,dlfree,1713,2216
20,calloc,109,984
21,dispose_chunk,1638,2120
22,posix_memalign,124,1000
23,internal_memalign,430,1352
24,gettimeofday,113,1016
25,_Exit,13,792
26,__main_void,214,1392
27,__wasi_args_get,18,816
28,__wasi_args_sizes_get,18,824
29,__wasi_clock_time_get,20,824
30,__wasi_fd_close,16,824
31,__wasi_fd_fdstat_get,18,824
32,__wasi_fd_seek,22,824
33,__wasi_fd_write,22,824
34,__wasi_proc_exit,12,792
35,abort,5,504
36,sbrk,79,888
37,__assert_fail,78,904
38,dummy,3,512
39,__wasm_call_dtors,15,864
40,exit,24,896
41,fprintf,57,904
42,__stdio_exit,388,1712
43,__towrite,94,624
44,__overflow,165,1192
45,fputc,70,904
46,__fwritex,238,1344
47,fwrite,289,1368
48,__ofl_lock,9,520
49,printf,60,912
50,__wasilibc_populate_preopens,3,512
51,close,40,936
52,__stdio_close,14,840
53,writev,115,984
54,__stdio_write,316,1368
55,__lseek,101,976
56,__stdio_seek,18,840
57,__isatty,103,968
58,__stdout_write,60,1008
59,dummy,5,512
60,__lctrans,13,808
61,strerror,87,904
62,wcrtomb,311,856
63,wctomb,26,848
64,frexp,144,1200
65,fputs,38,944
66,vfprintf,398,1568
67,printf_core,8995,18856
68,pop_arg,565,1808
69,pad,159,1168
70,long_double_not_supported,30,856
71,memcpy,1008,1888
72,memset,394,1200
73,strlen,206,656
74,memchr,371,800
75,strnlen,25,880
