id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,60900,0,0,4568970,984,59030,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4630810,0,1,1486403,512,63120,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6117993,0,1,4963160,1392,63640,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11081693,0,1,1934104,824,64720,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13019007,0,1,1803774,808,68850,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14823461,0,7,80638298,8232,69340,0,7,999999999999,999999999999,999999999999
20,calloc,109,984,95470819,0,2,3582107,984,90700,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99054096,20000000,2,9174489,1200,94270,270000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108229625,0,1,1793174,816,95680,0,1,999999999999,999999999999,999999999999
14,main,1826,4904,110024419,0,1,38895640,4904,96670,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,148921479,0,4,3281477,1080,97550,0,4,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,152203566,0,4,3667078,1000,98280,0,4,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,155871284,0,4,8904559,1352,99360,0,4,999999999999,999999999999,999999999999
36,sbrk,79,888,164777073,0,4,2798836,888,104790,0,4,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,167582669,20000000,8,22439346,2120,114110,450000000,8,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,205770638,0,1,6235513,1720,459689626,0,1,999999999999,999999999999,999999999999
18,free,12,808,230088328,0,5,2118475,808,735891550,0,5,999999999999,999999999999,999999999999
19,dlfree,1713,2216,232208563,0,5,23947230,2216,735893770,0,5,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,256157173,0,2,3218587,1016,735897250,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,259376450,0,2,1924984,824,735899410,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,2014225778,0,1,4022569,1240,454847138086,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,2018253177,0,1,2380375,896,454847150886,0,1,999999999999,999999999999,999999999999
49,printf,60,912,2020634822,0,1,2315114,912,454847152006,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,2022951197,0,1,7049814,1568,454847153286,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,2030001721,0,2,209470066,18856,454847155046,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,2239474176,0,1,3339917,624,454847181106,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,2242815754,0,6,7031145,1344,454847185236,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,2249847618,0,6,15109271,1888,454847187676,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,2264958159,0,1,5814112,1808,454847194016,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,2270773491,0,1,3199377,1200,454847199536,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,2273974968,0,1,5270391,1168,454847235496,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,2279246409,0,1,2947366,1008,454847239396,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,2282194635,0,1,2982706,968,454847240366,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,2285178761,0,1,1762564,824,454847241436,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,2286947115,0,1,7111555,1368,454847247966,0,1,999999999999,999999999999,999999999999
53,writev,115,984,2294059790,0,1,2908176,984,454847251896,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,2296968696,0,1,1777974,824,454847253286,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,2298784120,0,1,1730204,864,454847315136,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,2300515064,0,1,1337093,512,454847315666,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,2301853006,0,1,8169386,1712,454847316126,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,2310023063,10000000,1,1520724,520,454847316776,20000000,1,999999999999,999999999999,999999999999
