id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,64600,0,0,4628201,984,68520,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4693891,0,1,1486283,512,72090,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6180824,0,1,4944461,1392,72630,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11125986,0,1,1943534,824,76020,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13072991,0,1,1797515,808,81400,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14871525,0,4,80879017,8232,81870,0,4,999999999999,999999999999,999999999999
20,calloc,109,984,95768892,0,2,3596128,984,101610,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99366310,20000000,2,9504832,1200,105130,270000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108872461,0,1,1829685,816,106510,0,1,999999999999,999999999999,999999999999
14,main,722,2200,110703786,0,1,17150429,2200,107590,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,127855445,0,1,3179338,1080,108330,0,1,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,131035433,0,1,3668418,1000,109160,0,1,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,134704761,0,1,8964670,1352,110210,0,1,999999999999,999999999999,999999999999
36,sbrk,79,888,143670752,0,2,2835927,888,113540,0,2,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,146513519,40000000,2,22538922,2120,123620,4010000000,2,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,207839310,0,1,6642176,1720,4052994052,0,1,999999999999,999999999999,999999999999
18,free,12,808,232468107,0,2,2454456,808,4321608032,0,2,999999999999,999999999999,999999999999
19,dlfree,1713,2216,234924793,0,2,24289906,2216,4321610702,0,2,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,259216689,0,2,3260327,1016,4321614702,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,262478076,0,2,1902685,824,4321616962,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,18247439534,0,1,3998149,1240,4143594286455,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,18251442833,0,1,2358726,896,4143594300075,0,1,999999999999,999999999999,999999999999
49,printf,60,912,18253802619,0,1,2340585,912,4143594301415,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,18256144784,0,1,7028677,1568,4143594302646,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,18263174311,0,2,208853881,18856,4143594304575,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,18472030712,0,1,3336148,624,4143594331106,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,18475368360,0,6,7036516,1344,4143594335306,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,18482405836,0,6,15146746,1888,4143594337226,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,18497554712,0,1,5785253,1808,4143594343296,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,18503341355,0,1,3175547,1200,4143594349166,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,18506519352,0,1,5318782,1168,4143594382776,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,18511839654,0,1,2959327,1008,4143594386616,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,18514799641,0,1,2986047,968,4143594387396,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,18517787328,0,1,1767964,824,4143594388316,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,18519561182,0,1,7058136,1368,4143594395406,0,1,999999999999,999999999999,999999999999
53,writev,115,984,18526620278,0,1,2957957,984,4143594396696,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,18529579245,0,1,1791565,824,4143594397906,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,18531411840,0,1,1750654,864,4143594447376,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,18533163604,0,1,1316513,512,4143594447866,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,18534481057,0,1,8200818,1712,4143594448346,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,18542682805,20000000,1,1510694,520,4143594448976,20000000,1,999999999999,999999999999,999999999999
