id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,58010,0,0,4576878,984,63971,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4635728,0,1,1476433,512,67720,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6112891,0,1,4975368,1392,68260,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11088889,0,1,1927073,824,69271,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13021202,0,1,1805673,808,73191,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14827515,0,6,81005150,8232,73640,0,6,999999999999,999999999999,999999999999
20,calloc,109,984,95841515,0,2,3571176,984,93471,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99413971,20000000,2,9146036,1200,99620,260000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108560747,0,1,1794563,816,101060,0,1,999999999999,999999999999,999999999999
14,main,1248,3280,110357130,0,1,25788934,3280,102240,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,136146874,0,3,3185036,1080,103140,0,3,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,139332740,0,3,3648797,1000,103840,0,3,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,142982436,0,3,8877784,1352,105240,0,3,999999999999,999999999999,999999999999
36,sbrk,79,888,151861262,0,4,2809224,888,108840,0,4,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,154679166,20000000,6,22470229,2120,118111,670000000,6,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,192649262,0,1,6434871,1720,679218470,0,1,999999999999,999999999999,999999999999
18,free,12,808,217151844,0,4,2112954,808,947957363,0,4,999999999999,999999999999,999999999999
19,dlfree,1713,2216,219266078,0,4,24061861,2216,947959543,0,4,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,243330009,0,2,3194796,1016,947963253,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,246525625,0,2,1877633,824,947965173,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,961060255,0,1,3947047,1240,227743624772,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,965012562,0,1,2279244,896,227743636992,0,1,999999999999,999999999999,999999999999
49,printf,60,912,967292576,0,1,2324784,912,227743638472,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,969618240,0,1,7006402,1568,227743639943,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,976625522,0,2,209344310,18856,227743642183,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,1185972922,0,1,3309656,624,227743653923,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,1189283988,0,6,7024442,1344,227743670163,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,1196309240,0,6,15097256,1888,227743672003,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,1211407946,0,1,5801360,1808,227743677943,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,1217210826,0,1,3156816,1200,227743683403,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,1220370102,0,1,5297229,1168,227743716583,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,1225668551,0,1,2955755,1008,227743720433,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,1228625176,0,1,2982115,968,227743721243,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,1231608791,0,1,1758593,824,227743722143,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,1233373684,0,1,7039382,1368,227743729393,0,1,999999999999,999999999999,999999999999
53,writev,115,984,1240413956,0,1,2928355,984,227743730683,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,1243343131,0,1,1786503,824,227743731983,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,1245308105,0,1,1752342,864,227743790773,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,1247061247,0,1,1317963,512,227743791313,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,1248380020,0,1,8196444,1712,227743791693,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,1256577154,20000000,1,1505313,520,227743792353,20000000,1,999999999999,999999999999,999999999999
