id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,61120,0,0,4574328,984,63401,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4636538,0,1,1486563,512,67071,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6123691,0,1,4960259,1392,67621,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11084740,0,1,1934393,824,68841,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13022993,0,1,1815103,808,73101,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14838796,0,12,80654848,8232,73701,0,12,999999999999,999999999999,999999999999
20,calloc,109,984,95502394,0,2,3564526,984,93011,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99067950,10000000,3,9199666,1200,96231,260000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108268826,0,1,1805114,816,97851,0,1,999999999999,999999999999,999999999999
14,main,1418,4368,110075689,0,1,28259038,4368,98871,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,138335738,0,9,3212335,1080,99891,0,9,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,141548953,0,9,3638447,1000,100661,0,9,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,145188080,0,9,8933806,1352,101931,0,9,999999999999,999999999999,999999999999
36,sbrk,79,888,154123525,0,4,2839455,888,105841,0,4,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,156979380,20000000,18,22245538,2120,115201,750000000,18,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,196729248,0,1,6541622,1720,758106942,0,1,999999999999,999999999999,999999999999
18,free,12,808,221182950,0,10,2481985,808,1028443756,0,10,999999999999,999999999999,999999999999
19,dlfree,1713,2216,223666885,0,10,24015171,2216,1028446256,0,10,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,247683886,0,2,3252835,1016,1028450285,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,250937541,0,2,1896853,824,1028452316,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,265406456,0,1,3755367,1240,3531643102,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,269166883,0,1,2268174,896,3531653602,0,1,999999999999,999999999999,999999999999
49,printf,60,912,271435887,0,1,2301203,912,3531654902,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,273738381,0,1,6948232,1568,3531656202,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,280687582,0,2,207394297,18856,3531657992,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,488084598,0,1,3366836,624,3531681662,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,491453004,0,6,7059762,1344,3531685642,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,498513896,0,6,15280317,1888,3531687802,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,513796102,0,1,5879670,1808,3531694412,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,519677472,0,1,3187906,1200,3531699962,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,522867838,0,1,5357059,1168,3531731352,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,528226477,0,1,2958935,1008,3531735442,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,531186292,0,1,2989676,968,3531736852,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,534177508,0,1,1814383,824,3531737862,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,535997941,0,1,7062881,1368,3531745492,0,1,999999999999,999999999999,999999999999
53,writev,115,984,543061683,0,1,2958125,984,3531747012,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,546020888,0,1,1796103,824,3531748242,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,547854031,0,1,1767603,864,3531817332,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,549622474,0,1,1329702,512,3531817912,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,550953116,0,1,8183534,1712,3531818362,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,559137850,20000000,1,1489763,520,3531819202,20000000,1,999999999999,999999999999,999999999999
