id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,69000,0,0,4595648,984,66771,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4665788,0,1,1483623,512,70791,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6150081,0,1,4941278,1392,71251,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11092119,0,1,1950254,824,72500,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13046513,0,1,1811013,808,78331,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14858196,0,8,80657918,8232,79060,0,8,999999999999,999999999999,999999999999
20,calloc,109,984,95530434,0,2,3571686,984,96531,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99103090,20000000,3,9218066,1200,100031,260000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108322346,0,1,1789993,816,101601,0,1,999999999999,999999999999,999999999999
14,main,768,2824,110114309,0,1,14625915,2824,102641,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,124741244,0,5,3137296,1080,106211,0,5,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,127879140,0,5,3637666,1000,106991,0,5,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,131517696,0,5,8844665,1352,108041,0,5,999999999999,999999999999,999999999999
36,sbrk,79,888,140363711,0,4,2824965,888,111851,0,4,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,143196136,10000000,10,22165798,2120,121341,620000000,10,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,180277390,0,1,6314320,1720,628036278,0,1,999999999999,999999999999,999999999999
18,free,12,808,204726302,0,6,2168913,808,897690261,0,6,999999999999,999999999999,999999999999
19,dlfree,1713,2216,206896915,0,6,24019562,2216,897692081,0,6,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,230918267,0,2,3192896,1016,897696412,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,234111992,0,2,1918573,824,897698241,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,241353394,0,1,3170416,1240,1372549406,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,244526470,0,1,2256984,896,1372559286,0,1,999999999999,999999999999,999999999999
49,printf,60,912,246784134,0,1,2301844,912,1372560626,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,249086818,0,1,6941182,1568,1372562066,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,256029139,0,2,207952307,18856,1372564126,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,463984427,0,1,3347555,624,1372588456,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,467333452,0,6,7027812,1344,1372592306,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,474362124,0,6,15095416,1888,1372594226,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,489459170,0,1,5847450,1808,1372600266,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,495308360,0,1,3163046,1200,1372608186,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,498474106,0,1,5274558,1168,1372641366,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,503750115,0,1,2931026,1008,1372645256,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,506682060,0,1,2970185,968,1372646406,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,509653815,0,1,1774253,824,1372647456,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,511433988,0,1,7039422,1368,1372655776,0,1,999999999999,999999999999,999999999999
53,writev,115,984,518474330,0,1,2926205,984,1372657106,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,521401555,0,1,1794493,824,1372658446,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,523235468,0,1,1768223,864,1372718167,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,525004631,0,1,1312862,512,1372718767,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,526318443,0,1,8201945,1712,1372719267,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,534521238,10000000,1,1537442,520,1372719936,20000000,1,999999999999,999999999999,999999999999
