id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,69780,0,0,4577869,984,64360,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4648589,0,1,1461743,512,68110,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6111012,0,1,4971269,1392,68720,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11082861,0,1,1958794,824,69860,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13045145,0,1,1804874,808,74010,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14850729,0,6,81693561,8232,74500,0,6,999999999999,999999999999,999999999999
20,calloc,109,984,96552220,0,2,3566167,984,98530,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,100119557,10000000,3,9473028,1200,102120,270000000,3,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,109593806,0,1,1825484,816,103570,0,1,999999999999,999999999999,999999999999
14,main,1344,3616,111421039,0,1,30363060,3616,104610,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,141785169,0,3,3220026,1080,105520,0,3,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,145006005,0,3,3730587,1000,106290,0,3,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,148737502,0,3,8999628,1352,107350,0,3,999999999999,999999999999,999999999999
36,sbrk,79,888,157738380,0,4,2868566,888,110930,0,4,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,160614256,10000000,6,22462234,2120,120160,360000000,6,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,197202018,0,1,6385442,1720,373347784,0,1,999999999999,999999999999,999999999999
18,free,12,808,221730716,0,4,2175864,808,642658944,0,4,999999999999,999999999999,999999999999
19,dlfree,1713,2216,223908110,0,4,24227728,2216,642661794,0,4,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,248137538,0,2,3264936,1016,642666734,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,251403334,0,2,1932424,824,642668714,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,1966618769,0,1,3962588,1240,260032331860,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,1970586487,0,1,2269794,896,260032345030,0,1,999999999999,999999999999,999999999999
49,printf,60,912,1972857211,0,1,2396615,912,260032346230,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,1975255176,0,1,7081104,1568,260032347640,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,1982337580,0,2,210069864,18856,260032349630,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,2192410324,0,1,3337896,624,260032382651,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,2195749760,0,6,7140264,1344,260032386851,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,2202891134,0,6,15128340,1888,260032389431,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,2218021024,0,1,5890301,1808,260032395780,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,2223912515,0,1,3172807,1200,260032401171,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,2227087662,0,1,5348880,1168,260032437591,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,2232437842,0,1,2933566,1008,260032441740,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,2235372538,0,1,2967276,968,260032442600,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,2238341254,0,1,1774293,824,260032443551,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,2240121287,0,1,7045514,1368,260032450751,0,1,999999999999,999999999999,999999999999
53,writev,115,984,2247167801,0,1,2926436,984,260032452261,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,2250094957,0,1,1824603,824,260032453721,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,2251957210,0,1,1733924,864,260032511031,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,2253691854,0,1,1427263,512,260032511471,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,2255120087,0,1,8365226,1712,260032511941,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,2263486283,10000000,1,1594523,520,260032512721,10000000,1,999999999999,999999999999,999999999999
