id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,60480,0,0,4587480,984,58760,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4648930,0,1,1481933,512,62590,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6131473,0,1,4964850,1392,63120,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11096923,0,1,1933794,824,64260,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13034657,0,1,1805244,808,68240,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14840581,0,5,80446987,8232,68710,0,5,999999999999,999999999999,999999999999
20,calloc,109,984,95296238,0,2,3586797,984,89200,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,98883896,10000000,2,9190589,1200,92950,270000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108075695,0,1,1779253,816,94460,0,1,999999999999,999999999999,999999999999
14,main,1227,3064,109856858,0,1,32426768,3064,95610,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,142284775,0,2,3199726,1080,98730,0,2,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,145485062,0,2,3626008,1000,99470,0,2,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,149111640,0,2,8957788,1352,100530,0,2,999999999999,999999999999,999999999999
36,sbrk,79,888,158071018,0,3,2843206,888,104110,0,3,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,160920484,10000000,4,22158206,2120,113200,330000000,4,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,195867397,0,1,6424853,1720,340219936,0,1,999999999999,999999999999,999999999999
18,free,12,808,220339567,0,2,2472305,808,609687095,0,2,999999999999,999999999999,999999999999
19,dlfree,1713,2216,222813762,0,2,23923120,2216,609688986,0,2,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,246738712,0,2,3190196,1016,609693346,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,249929918,0,2,1881014,824,609695226,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,3816895163,0,1,4021148,1240,970093960859,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,3820921482,0,1,2361815,896,970093973529,0,1,999999999999,999999999999,999999999999
49,printf,60,912,3823284057,0,1,2344505,912,970093974859,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,3825629862,0,1,7031484,1568,970093976219,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,3832662316,0,2,208600124,18856,970093978249,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,4041265310,0,1,3318247,624,970094005039,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,4044584937,0,6,7046204,1344,970094009259,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,4051632251,0,6,15075402,1888,970094011319,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,4066709282,0,1,5873573,1808,970094017449,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,4072584165,0,1,3172966,1200,970094022989,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,4075759531,0,1,5337321,1168,970094059079,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,4081098422,0,1,2944887,1008,970094062999,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,4084044138,0,1,2973727,968,970094063929,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,4087019235,0,1,1796283,824,970094064909,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,4088821788,0,1,7075435,1368,970094071449,0,1,999999999999,999999999999,999999999999
53,writev,115,984,4095898133,0,1,2943246,984,970094072749,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,4098842509,0,1,1795284,824,970094074089,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,4100673433,0,1,1745684,864,970094128759,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,4102419927,0,1,1333052,512,970094129329,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,4103753819,0,1,8261287,1712,970094129739,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,4112016136,20000000,1,1481243,520,970094130369,20000000,1,999999999999,999999999999,999999999999
