id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,59120,0,0,4543930,984,60760,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4603920,0,1,1474343,512,64480,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6078873,0,1,4960020,1392,65030,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11039473,0,1,1925624,824,66110,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,12968817,0,1,1791474,808,71850,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14760951,0,5,80451706,8232,74810,0,5,999999999999,999999999999,999999999999
20,calloc,109,984,95222877,0,2,3564398,984,91920,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,98788665,20000000,2,9216409,1200,95240,270000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108006324,0,1,1772554,816,96720,0,1,999999999999,999999999999,999999999999
14,main,881,2840,109780748,0,1,19203109,2840,97850,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,128984878,0,2,3183567,1080,98800,0,2,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,132169284,0,2,3616967,1000,99530,0,2,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,135787161,0,2,8885689,1352,100590,0,2,999999999999,999999999999,999999999999
36,sbrk,79,888,144674410,0,3,2808236,888,104150,0,3,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,147489176,20000000,4,22468396,2120,121411,530000000,4,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,184479402,0,1,6355953,1720,539912429,0,1,999999999999,999999999999,999999999999
18,free,12,808,208798923,0,3,2409085,808,812162212,0,3,999999999999,999999999999,999999999999
19,dlfree,1713,2216,211209978,0,3,24160530,2216,812164322,0,3,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,235372398,0,2,3262816,1016,812168612,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,238635945,0,2,1795733,824,812183172,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,2932842892,0,1,3967358,1240,592539871382,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,2936815890,0,1,2357695,896,592539884752,0,1,999999999999,999999999999,999999999999
49,printf,60,912,2939174735,0,1,2326895,912,592539885722,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,2941502700,0,1,6970294,1568,592539887512,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,2948473994,0,2,207318960,18856,592539889462,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,3155795864,0,1,3304026,624,592539918782,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,3159101671,0,6,7025985,1344,592539923192,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,3166128655,0,6,15146541,1888,592539925742,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,3181276596,0,1,5792342,1808,592539931892,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,3187070198,0,1,3208446,1200,592539937502,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,3190281045,0,1,5315151,1168,592539971582,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,3195597406,0,1,2913266,1008,592539975532,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,3198511332,0,1,2988666,968,592539976482,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,3201501998,0,1,1756534,824,592539977412,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,3203264082,0,1,7055305,1368,592539985552,0,1,999999999999,999999999999,999999999999
53,writev,115,984,3210320717,0,1,2906486,984,592539986942,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,3213228033,0,1,1790453,824,592539988322,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,3215060756,0,1,1747754,864,592540047202,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,3216809220,0,1,1307823,512,592540047753,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,3218117933,0,1,8148017,1712,592540048253,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,3226266830,20000000,1,1475583,520,592540049022,20000000,1,999999999999,999999999999,999999999999
