id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,64410,0,0,4595059,984,60840,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4660479,0,1,1489403,512,64860,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6150492,0,1,5028119,1392,65410,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11179242,0,1,1952324,824,66460,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13134835,0,1,1796104,808,72880,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14931619,0,5,80592728,8232,73430,0,5,999999999999,999999999999,999999999999
20,calloc,109,984,95533316,0,2,3608867,984,89180,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99143403,6240000000,2002,9178129,1200,92880,1447400000000,2002,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108322412,0,1,1803094,816,94270,0,1,999999999999,999999999999,999999999999
14,main,1582,3712,110127145,0,1,40240838,3712,95400,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,150369173,0,2,3242637,1080,96430,0,2,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,153612570,0,2,3636657,1000,97130,0,2,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,157250097,0,2,8877117,1352,98160,0,2,999999999999,999999999999,999999999999
36,sbrk,79,888,166128624,0,3,2815675,888,101520,0,3,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,168952199,0,4,22506235,2120,112340,0,4,999999999999,999999999999,999999999999
18,free,12,808,6480566395,0,3,2685575,808,1460724121003,0,3,999999999999,999999999999,999999999999
19,dlfree,1713,2216,6483254620,0,3,24306818,2216,1460724123223,0,3,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,6507563648,0,1,6085522,1720,1460724131433,0,1,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,6518064908,0,2,3359377,1016,1460979065426,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,6521425325,0,2,1932564,824,1460979067976,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,8778462669,0,1,3988067,1240,1876162267863,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,8782455786,0,1,2288595,896,1876162280563,0,1,999999999999,999999999999,999999999999
49,printf,60,912,8784745291,0,1,2328194,912,1876162281903,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,8787074475,0,1,7041844,1568,1876162283484,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,8794117069,0,2,209525549,18856,1876162285353,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,9003645318,0,1,3370976,624,1876162314493,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,9007017844,0,6,7253505,1344,1876162318793,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,9014272379,0,6,15237480,1888,1876162320784,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,9029511608,0,1,5915822,1808,1876162326793,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,9035428600,0,1,3344026,1200,1876162332933,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,9038774616,0,1,5455321,1168,1876162366804,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,9044231047,0,1,3099556,1008,1876162370984,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,9047331263,0,1,3131747,968,1876162372014,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,9050464740,0,1,1913253,824,1876162372794,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,9052383963,0,1,7222234,1368,1876162381294,0,1,999999999999,999999999999,999999999999
53,writev,115,984,9059607157,0,1,3059556,984,1876162382584,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,9062667433,0,1,1943434,824,1876162383864,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,9064652117,0,1,1903653,864,1876162436204,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,9066556480,0,1,1455322,512,1876162436754,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,9068012703,0,1,8374717,1712,1876162437154,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,9076388300,10000000,1,1626273,520,1876162437914,20000000,1,999999999999,999999999999,999999999999
