id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,71000,0,0,4582979,984,73250,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4654949,0,1,1485633,512,76870,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6141252,0,1,4979779,1392,77310,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11121871,0,1,1942634,824,78460,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13067765,0,1,1819464,808,82440,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14887899,0,8,80636057,8232,85080,0,8,999999999999,999999999999,999999999999
20,calloc,109,984,95532586,0,2,3607327,984,101800,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99141042,6080000000,2002,9253838,1200,105210,1390560000000,2002,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108396101,0,1,1792543,816,106900,0,1,999999999999,999999999999,999999999999
14,main,2162,4760,110190374,0,1,53158384,4760,107930,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,163350558,0,5,3258486,1080,108950,0,5,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,166609724,0,5,3637297,1000,109680,0,5,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,170247641,0,5,8948478,1352,110750,0,5,999999999999,999999999999,999999999999
36,sbrk,79,888,179198219,0,4,2859145,888,114180,0,4,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,182064494,0,10,22261994,2120,123430,0,10,999999999999,999999999999,999999999999
18,free,12,808,6333207716,0,6,2642116,808,1403290884396,0,6,999999999999,999999999999,999999999999
19,dlfree,1713,2216,6335851831,0,6,24244977,2216,1403290886286,0,6,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,6360099388,0,1,6146462,1720,1403290892126,0,1,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,6370654978,0,2,3385757,1016,1403544824484,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,6374041615,0,2,1960174,824,1403544827144,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,8592163355,0,1,3991628,1240,1779651303291,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,8596159763,0,1,2295264,896,1779651317051,0,1,999999999999,999999999999,999999999999
49,printf,60,912,8598455727,0,1,2317215,912,1779651318601,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,8600773862,0,1,7047613,1568,1779651320091,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,8607822375,0,2,208276376,18856,1779651322111,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,8816101321,0,1,3327506,624,1779651356221,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,8819430507,0,6,7015144,1344,1779651360792,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,8826446441,0,6,15141369,1888,1779651362861,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,8841589490,0,1,5837221,1808,1779651368641,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,8847428322,0,1,3160226,1200,1779651373901,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,8850590678,0,1,5336440,1168,1779651407382,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,8855928408,0,1,2935337,1008,1779651411062,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,8858864384,0,1,2968486,968,1779651411932,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,8861834400,0,1,1779433,824,1779651412902,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,8863619723,0,1,7014274,1368,1779651419812,0,1,999999999999,999999999999,999999999999
53,writev,115,984,8870634777,0,1,2905306,984,1779651421312,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,8873540873,0,1,1819433,824,1779651422492,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,8875401656,0,1,1742744,864,1779651482452,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,8877145380,0,1,1314133,512,1779651483022,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,8878460383,0,1,8276685,1712,1779651483412,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,8886737958,10000000,1,1489704,520,1779651484042,20000000,1,999999999999,999999999999,999999999999
