id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,69740,0,0,4607668,984,68381,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4678458,0,1,1480052,512,72251,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6159110,0,1,4975539,1392,72761,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11135329,0,1,1935933,824,73891,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13074972,0,1,1797303,808,77811,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14872895,0,8,80604969,8232,78291,0,8,999999999999,999999999999,999999999999
20,calloc,109,984,95486794,0,2,3594196,984,98861,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99081870,20000000,3,9196166,1200,102701,260000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108279246,0,1,1781283,816,104151,0,1,999999999999,999999999999,999999999999
14,main,1090,3392,110062259,0,1,21421507,3392,105201,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,131484816,0,5,3193425,1080,106081,0,5,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,134678761,0,5,3620307,1000,108941,0,5,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,138299678,0,5,8925255,1352,110051,0,5,999999999999,999999999999,999999999999
36,sbrk,79,888,147226063,0,3,2818585,888,113761,0,3,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,150050888,10000000,10,22238318,2120,122991,740000000,10,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,189821957,0,1,6499361,1720,747148697,0,1,999999999999,999999999999,999999999999
18,free,12,808,214349739,0,6,2331894,808,1018971746,0,6,999999999999,999999999999,999999999999
19,dlfree,1713,2216,216683223,0,6,23853781,2216,1018973606,0,6,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,240538274,0,2,3221956,1016,1018978006,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,243760940,0,2,1918213,824,1018980156,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,254331668,0,1,3366077,1240,2281023799,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,257700783,0,1,2268785,896,2281034949,0,1,999999999999,999999999999,999999999999
49,printf,60,912,259970168,0,1,2284034,912,2281036149,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,262255022,0,1,6941521,1568,2281037659,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,269197383,0,2,207377357,18856,2281039199,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,476577490,0,1,3330616,624,2281064429,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,479909316,0,6,7065442,1344,2281068449,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,486975578,0,6,15150086,1888,2281070879,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,502127024,0,1,5878711,1808,2281077019,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,508007205,0,1,3161165,1200,2281083139,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,511170970,0,1,5307229,1168,2281115749,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,516479699,0,1,2915235,1008,2281119729,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,519395594,0,1,2973595,968,2281123399,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,522370699,0,1,1778084,824,2281124539,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,524155183,0,1,7063642,1368,2281132129,0,1,999999999999,999999999999,999999999999
53,writev,115,984,531219685,0,1,2916176,984,2281133409,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,534136639,0,1,1822063,824,2281134539,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,535993843,0,1,1745562,864,2281193519,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,537740176,0,1,1387283,512,2281194189,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,539128448,0,1,8314445,1712,2281194669,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,547443963,10000000,1,1611962,520,2281195379,10000000,1,999999999999,999999999999,999999999999
