id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,65960,0,0,4564329,984,59860,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4633340,0,1,1478033,512,63500,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6112163,0,1,4955791,1392,64030,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11068524,0,1,1923814,824,65090,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,12995888,0,1,1809824,808,68830,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14806362,0,5,80423886,8232,69250,0,5,999999999999,999999999999,999999999999
20,calloc,109,984,95238137,0,2,3577739,984,90120,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,98817176,30000000,3,9166900,1200,93710,270000000,3,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,107984945,0,1,1795284,816,95240,0,1,999999999999,999999999999,999999999999
14,main,975,4656,109781759,0,1,27869741,4656,96440,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,137652780,0,2,3241627,1080,99470,0,2,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,140895236,0,2,3639968,1000,100310,0,2,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,144535835,0,2,8860040,1352,101380,0,2,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,153401664,0,4,22207568,2120,107380,0,4,999999999999,999999999999,999999999999
36,sbrk,79,888,175613972,0,2,2968737,888,119600,0,2,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,189748703,0,1,6393944,1720,11508685,0,1,999999999999,999999999999,999999999999
18,free,12,808,214308226,0,3,2420475,808,279730588,0,3,999999999999,999999999999,999999999999
19,dlfree,1713,2216,216730671,0,3,23841272,2216,279732328,0,3,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,240573384,0,2,3278298,1016,279736258,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,243852300,0,2,1873224,824,279737998,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,3013780141,0,1,3949889,1240,534251782247,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,3017735000,0,1,2312225,896,534251795637,0,1,999999999999,999999999999,999999999999
49,printf,60,912,3020048035,0,1,2305445,912,534251796937,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,3022354330,0,1,6948765,1568,534251798427,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,3029303775,0,2,207251070,18856,534251800377,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,3236557815,0,1,3328538,624,534251825218,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,3239887912,0,6,7038865,1344,534251829438,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,3246927508,0,6,15142392,1888,534251831487,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,3262071760,0,1,5807213,1808,534251837887,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,3267880423,0,1,3197897,1200,534251843498,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,3271080430,0,1,5291592,1168,534251877807,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,3276373322,0,1,2918976,1008,534251881518,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,3279292948,0,1,2992957,968,534251885158,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,3282287455,0,1,1760073,824,534251886278,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,3284053328,0,1,7028516,1368,534251893978,0,1,999999999999,999999999999,999999999999
53,writev,115,984,3291082834,0,1,2919466,984,534251895368,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,3294003220,0,1,1785914,824,534251896558,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,3295824554,0,1,1735194,864,534251953048,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,3297560468,0,1,1433033,512,534251953588,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,3298994401,0,1,8302288,1712,534251953988,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,3307297639,20000000,1,1589124,520,534251954648,20000000,1,999999999999,999999999999,999999999999
