id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,63970,0,0,4616669,984,59690,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4681610,0,1,1471133,512,63430,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6153363,0,1,4959879,1392,63870,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11113962,0,1,1939294,824,64900,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13056896,0,1,1806174,808,70520,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14863760,0,4,80403262,8232,73070,0,4,999999999999,999999999999,999999999999
20,calloc,109,984,95284792,0,2,3579237,984,92630,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,98864959,20000000,2,9151998,1200,96460,290000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108018317,0,1,1817154,816,97970,0,1,999999999999,999999999999,999999999999
14,main,773,2720,109837191,0,1,14409579,2720,99150,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,124248000,0,1,3217097,1080,100140,0,1,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,127465757,0,1,3658407,1000,100900,0,1,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,131124934,0,1,8969248,1352,102280,0,1,999999999999,999999999999,999999999999
36,sbrk,79,888,140095392,0,2,2833826,888,105650,0,2,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,142936398,20000000,2,22503735,2120,114960,620000000,2,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,182565598,0,1,6477353,1720,635863312,0,1,999999999999,999999999999,999999999999
18,free,12,808,207079407,0,2,2442605,808,919199104,0,2,999999999999,999999999999,999999999999
19,dlfree,1713,2216,209523972,0,2,24229419,2216,919201474,0,2,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,233755611,0,2,3263967,1016,919217944,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,237020428,0,2,1903583,824,919219784,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,17007605449,0,1,4020949,1240,832726646022,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,17011631308,0,1,2321765,896,832726659062,0,1,999999999999,999999999999,999999999999
49,printf,60,912,17013953912,0,1,2325185,912,832726660302,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,17016280287,0,1,7028814,1568,832726661482,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,17023310221,0,2,208033480,18856,832726663292,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,17231346561,0,1,3342156,624,832726690782,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,17234690557,0,6,7041965,1344,832726694692,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,17241733532,0,6,15194820,1888,832726696742,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,17256930073,0,1,5860502,1808,832726702622,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,17262792084,0,1,3165666,1200,832726708032,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,17265959991,0,1,5302920,1168,832726743252,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,17271264241,0,1,2958936,1008,832726746872,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,17274223927,0,1,2984906,968,832726748072,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,17277210353,0,1,1771814,824,832726748982,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,17278988107,0,1,7070854,1368,832726756012,0,1,999999999999,999999999999,999999999999
53,writev,115,984,17286060101,0,1,2918096,984,832726757212,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,17288979387,0,1,1813194,824,832726758692,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,17290834670,0,1,1750423,864,832726806292,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,17292585834,0,1,1318063,512,832726806832,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,17293904807,0,1,8161266,1712,832726807252,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,17302067233,10000000,1,1498473,520,832726807922,20000000,1,999999999999,999999999999,999999999999
