id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,57940,0,0,4596619,984,58340,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4655729,0,1,1466312,512,62211,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6122771,0,1,4972449,1392,62740,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11095910,0,1,1926363,824,63760,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13025803,0,1,1793123,808,69620,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14819606,0,6,81194580,8232,70040,0,6,999999999999,999999999999,999999999999
20,calloc,109,984,96030536,0,2,3643846,984,90251,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99675472,20000000,2,9210555,1200,93781,270000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108887167,0,1,1806063,816,95151,0,1,999999999999,999999999999,999999999999
14,main,1557,3432,110695030,0,1,33004157,3432,96141,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,143700277,0,3,3224286,1080,97171,0,3,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,146925173,0,3,3664586,1000,98121,0,3,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,150590429,0,3,8941625,1352,99241,0,3,999999999999,999999999999,999999999999
36,sbrk,79,888,159533734,0,4,2856615,888,102861,0,4,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,162397229,10000000,6,22459759,2120,112221,530000000,6,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,199244173,0,1,6477930,1720,539685516,0,1,999999999999,999999999999,999999999999
18,free,12,808,223902115,0,4,2153834,808,808371838,0,4,999999999999,999999999999,999999999999
19,dlfree,1713,2216,226057548,0,4,24082742,2216,808373948,0,4,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,250142260,0,2,3254395,1016,808377658,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,253397365,0,2,1931234,824,808379538,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,1044420843,0,1,4177007,1240,171175083127,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,1048602660,0,1,2315634,896,171175096717,0,1,999999999999,999999999999,999999999999
49,printf,60,912,1050919044,0,1,2321774,912,171175098327,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,1053241598,0,1,7014512,1568,171175099727,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,1060256930,0,2,208028437,18856,171175101877,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,1268287897,0,1,3336666,624,171175130067,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,1271626073,0,6,7064092,1344,171175134297,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,1278691195,0,6,15116036,1888,171175136477,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,1293809071,0,1,5821360,1808,171175143247,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,1299631671,0,1,3186396,1200,171175148437,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,1302820287,0,1,5282229,1168,171175180457,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,1308103615,0,1,2921585,1008,171175184527,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,1311026060,0,1,2972346,968,171175185597,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,1313999846,0,1,1764933,824,171175186597,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,1315770909,0,1,7091692,1368,171175193697,0,1,999999999999,999999999999,999999999999
53,writev,115,984,1322863371,0,1,2921525,984,171175194947,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,1325785766,0,1,1787083,824,171175196147,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,1327607929,0,1,1742093,864,171175257637,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,1329350732,0,1,1354012,512,171175258237,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,1330705554,0,1,8328265,1712,171175258677,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,1339034489,20000000,1,1622633,520,171175259277,10000000,1,999999999999,999999999999,999999999999
