id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,60230,0,0,4579098,984,63440,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4640308,0,1,1473493,512,67180,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6114411,0,1,4956488,1392,67780,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11071599,0,1,1917913,824,70960,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,12992863,0,1,1820414,808,82920,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14813966,0,6,80794528,8232,83440,0,6,999999999999,999999999999,999999999999
20,calloc,109,984,95616994,0,2,3574036,984,99840,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99191940,20000000,2,9223156,1200,103510,270000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108416106,0,1,1807214,816,105070,0,1,999999999999,999999999999,999999999999
14,main,1165,3072,110224979,0,1,24746522,3072,106090,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,134972411,0,3,3177275,1080,106970,0,3,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,138150386,0,3,3648777,1000,107700,0,3,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,141799833,0,3,8890345,1352,108820,0,3,999999999999,999999999999,999999999999
36,sbrk,79,888,150691498,0,4,2819725,888,114810,0,4,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,153517563,20000000,6,22364558,2120,124140,700000000,6,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,192525539,0,1,6516892,1720,715237634,0,1,999999999999,999999999999,999999999999
18,free,12,808,216984331,0,4,2131914,808,987099290,0,4,999999999999,999999999999,999999999999
19,dlfree,1713,2216,219117685,0,4,23820761,2216,987101880,0,4,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,242940316,0,2,3167875,1016,987105980,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,246109081,0,2,1918974,824,987108140,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,1243568159,0,1,3975267,1240,263571447640,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,1247548396,0,1,2296684,896,263571461630,0,1,999999999999,999999999999,999999999999
49,printf,60,912,1249845770,0,1,2332244,912,263571462650,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,1252179244,0,1,6996242,1568,263571463860,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,1259176356,0,2,207947246,18856,263571465960,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,1467125992,0,1,3340166,624,263571491650,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,1470467828,0,6,7020471,1344,263571495680,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,1477489270,0,6,15123736,1888,263571498080,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,1492614596,0,1,5789680,1808,263571503930,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,1498405306,0,1,3169465,1200,263571509500,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,1501576821,0,1,5311679,1168,263571544460,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,1506889580,0,1,2918895,1008,263571548600,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,1509809135,0,1,2964075,968,263571549770,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,1512774870,0,1,1793734,824,263571550720,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,1514574763,0,1,7032022,1368,263571558120,0,1,999999999999,999999999999,999999999999
53,writev,115,984,1521607875,0,1,2932925,984,263571562060,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,1524541750,0,1,1787203,824,263571563220,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,1526365763,0,1,1750053,864,263571622030,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,1528116626,0,1,1436443,512,263571622680,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,1529553989,0,1,8353584,1712,263571623060,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,1537908293,20000000,1,1556683,520,263571623710,20000000,1,999999999999,999999999999,999999999999
