id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,65230,0,0,4687429,984,61880,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4753929,0,1,1528963,512,67600,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6283552,0,1,5020288,1392,68340,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11304410,0,1,1960263,824,69590,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13268513,0,1,1798893,808,73820,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,15068066,0,5,80575268,8232,74570,0,5,999999999999,999999999999,999999999999
20,calloc,109,984,95651584,0,2,3582946,984,91820,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,99235660,20000000,2,9173876,1200,95370,270000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108410946,0,1,1801283,816,97110,0,1,999999999999,999999999999,999999999999
14,main,1241,3168,110213749,0,1,25458033,3168,98170,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,135672752,0,2,3173755,1080,99380,0,2,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,138847227,0,2,3664767,1000,100100,0,2,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,142512734,0,2,8830365,1352,101450,0,2,999999999999,999999999999,999999999999
36,sbrk,79,888,151344389,0,3,2840645,888,107500,0,3,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,154191634,10000000,4,22434977,2120,116960,500000000,4,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,187867111,0,1,6246321,1720,510996772,0,1,999999999999,999999999999,999999999999
18,free,12,808,212323023,0,3,2137424,808,782000675,0,3,999999999999,999999999999,999999999999
19,dlfree,1713,2216,214462047,0,3,23790370,2216,782002455,0,3,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,238254377,0,2,3277465,1016,782006255,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,241532712,0,2,1853103,824,782008515,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,699211904,0,1,3946036,1240,140565584195,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,703162421,0,1,2267504,896,140565595685,0,1,999999999999,999999999999,999999999999
49,printf,60,912,705430654,0,1,2326984,912,140565596845,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,707758988,0,1,6941392,1568,140565598185,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,714701150,0,2,207474234,18856,140565600275,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,922178254,0,1,3331476,624,140565626755,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,925511070,0,6,7086842,1344,140565630855,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,932598752,0,6,15068096,1888,140565632645,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,947668468,0,1,5837030,1808,140565638835,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,953506688,0,1,3160806,1200,140565643925,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,956669743,0,1,5305929,1168,140565676155,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,961976802,0,1,2928295,1008,140565680075,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,964905927,0,1,2963055,968,140565681325,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,967870472,0,1,1809063,824,140565682225,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,969685305,0,1,7045852,1368,140565689775,0,1,999999999999,999999999999,999999999999
53,writev,115,984,976731927,0,1,2951725,984,140565691175,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,979684442,0,1,1793463,824,140565692375,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,981511836,0,1,1745812,864,140565748375,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,983258528,0,1,1375223,512,140565748985,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,984634741,0,1,8338944,1712,140565749385,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,992974605,10000000,1,1605913,520,140565750045,20000000,1,999999999999,999999999999,999999999999
