id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,66610,0,0,4587630,984,75610,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4655330,0,1,1477024,512,79580,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6132944,0,1,4986832,1392,80110,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11120545,0,1,1934685,824,81170,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,13058690,0,1,1813534,808,85190,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14872864,0,6,80458746,8232,85640,0,6,999999999999,999999999999,999999999999
20,calloc,109,984,95339760,0,2,3571358,984,106700,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,98912078,50000000,3,9226032,1200,110420,270000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,108139110,0,1,1792004,816,111780,0,1,999999999999,999999999999,999999999999
14,main,865,2656,109932844,0,1,16988729,2656,112870,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,126922403,0,3,3144767,1080,113740,0,3,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,130067690,0,3,3614329,1000,114750,0,3,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,133682608,0,3,8867790,1352,115830,0,3,999999999999,999999999999,999999999999
36,sbrk,79,888,142551520,0,2,2818196,888,121320,0,2,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,145378066,20000000,6,22331841,2120,130730,320000000,6,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,185650319,0,1,15175765,1720,324286459,0,1,999999999999,999999999999,999999999999
18,free,12,808,243155482,0,4,5140692,808,595740687,0,4,999999999999,999999999999,999999999999
19,dlfree,1713,2216,248299244,0,4,59842008,2216,595742417,0,4,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,308144982,0,2,7998399,1016,595746907,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,316145380,0,2,4798421,824,595748697,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,325177881,0,1,7838148,1240,915307525,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,333020939,0,1,5675593,896,915316715,0,1,999999999999,999999999999,999999999999
49,printf,60,912,338698572,0,1,5819284,912,915318045,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,344520166,0,1,17479100,1568,915319515,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,362001587,0,2,345060967,18856,915321385,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,707065484,0,1,3321987,624,915344365,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,710388881,0,6,6998497,1344,915348365,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,717388168,0,6,15049535,1888,915350205,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,732439313,0,1,5800803,1808,915355915,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,738241486,0,1,3172857,1200,915361385,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,741417313,0,1,5268443,1168,915394315,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,746686936,0,1,2965046,1008,915398035,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,749652762,0,1,2958877,968,915398975,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,752612889,0,1,1769194,824,915399885,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,754387713,0,1,7052066,1368,915406375,0,1,999999999999,999999999999,999999999999
53,writev,115,984,761441059,0,1,2929608,984,915410165,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,764371357,0,1,1785215,824,915411385,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,766194631,0,1,1763174,864,915460645,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,767958585,0,1,1310813,512,915461185,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,769270228,0,1,8163568,1712,915461615,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,777434576,10000000,1,1466333,520,915462265,20000000,1,999999999999,999999999999,999999999999
