id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,65800,0,0,4535748,984,70581,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4602718,0,1,1470942,512,74421,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1392,6074390,0,1,4947828,1392,75041,0,1,999999999999,999999999999,999999999999
28,__wasi_args_sizes_get,18,824,11022938,0,1,1932004,824,76071,0,1,999999999999,999999999999,999999999999
15,malloc,12,808,12960292,0,1,1798703,808,82101,0,1,999999999999,999999999999,999999999999
16,dlmalloc,5377,8232,14759655,0,5,80351657,8232,82541,0,5,999999999999,999999999999,999999999999
20,calloc,109,984,95119692,0,2,3549776,984,104681,0,2,999999999999,999999999999,999999999999
72,memset,394,1200,98670398,20000000,2,9205696,1200,108371,270000000,2,999999999999,999999999999,999999999999
27,__wasi_args_get,18,816,107877084,0,1,1785153,816,109871,0,1,999999999999,999999999999,999999999999
14,main,1321,3408,109663877,0,1,30038161,3408,110951,0,1,999999999999,999999999999,999999999999
13,polybench_alloc_data,121,1080,139703078,0,2,3196856,1080,112001,0,2,999999999999,999999999999,999999999999
22,posix_memalign,124,1000,142900543,0,2,3634515,1000,112781,0,2,999999999999,999999999999,999999999999
23,internal_memalign,430,1352,146535629,0,2,8874846,1352,113851,0,2,999999999999,999999999999,999999999999
36,sbrk,79,888,155412015,0,3,2781495,888,119691,0,3,999999999999,999999999999,999999999999
21,dispose_chunk,1638,2120,158202549,10000000,4,22436239,2120,136681,300000000,4,999999999999,999999999999,999999999999
10,polybench_timer_start,266,1720,189081602,0,1,6300451,1720,308742437,0,1,999999999999,999999999999,999999999999
18,free,12,808,213720144,0,3,2157344,808,579157347,0,3,999999999999,999999999999,999999999999
19,dlfree,1713,2216,215878908,0,3,23954130,2216,579159307,0,3,999999999999,999999999999,999999999999
24,gettimeofday,113,1016,239834588,0,2,3281186,1016,579163167,0,2,999999999999,999999999999,999999999999
29,__wasi_clock_time_get,20,824,243116594,0,2,1883983,824,579164787,0,2,999999999999,999999999999,999999999999
11,polybench_timer_stop,108,1240,891644768,0,1,3949077,1240,110442073460,0,1,999999999999,999999999999,999999999999
12,polybench_timer_print,72,896,895599185,0,1,2266684,896,110442086260,0,1,999999999999,999999999999,999999999999
49,printf,60,912,897866649,0,1,2333784,912,110442087460,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,900201563,0,1,6957592,1568,110442088790,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,907159935,0,2,206888942,18856,110442090710,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,1114051687,0,1,3321586,624,110442118760,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,1117374723,0,6,7044212,1344,110442123090,0,6,999999999999,999999999999,999999999999
71,memcpy,1008,1888,1124419835,0,6,15150805,1888,110442125000,0,6,999999999999,999999999999,999999999999
68,pop_arg,565,1808,1139572460,0,1,5869341,1808,110442131260,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,1145443321,0,1,3178115,1200,110442136490,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,1148623956,0,1,5292379,1168,110442170560,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,1153917485,0,1,2932865,1008,110442174140,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,1156851080,0,1,2969215,968,110442175210,0,1,999999999999,999999999999,999999999999
31,__wasi_fd_fdstat_get,18,824,1159821805,0,1,1812263,824,110442176460,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,1161639788,0,1,7066122,1368,110442184070,0,1,999999999999,999999999999,999999999999
53,writev,115,984,1168706660,0,1,2940705,984,110442185440,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_write,22,824,1171648255,0,1,1786593,824,110442186690,0,1,999999999999,999999999999,999999999999
39,__wasm_call_dtors,15,864,1173469808,0,1,1758763,864,110442243970,0,1,999999999999,999999999999,999999999999
38,dummy,3,512,1175229291,0,1,1312002,512,110442244580,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,1176542203,0,1,8223525,1712,110442245000,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,1184766717,10000000,1,1491942,520,110442245730,20000000,1,999999999999,999999999999,999999999999
