id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
14,_start,84,992,59949,0,0,4587147,992,62810,0,0,999999999999,999999999999,999999999999
12,__wasm_call_ctors,3,512,4647977,0,1,1479313,512,66700,0,1,999999999999,999999999999,999999999999
112,__main_void,214,1400,6127920,0,1,4939988,1400,67280,0,1,999999999999,999999999999,999999999999
114,__wasi_args_sizes_get,18,824,11068658,0,1,1925473,824,68290,0,1,999999999999,999999999999,999999999999
103,malloc,12,808,12999141,0,7,1801003,808,75670,0,7,999999999999,999999999999,999999999999
104,dlmalloc,5377,8240,14800884,0,9,81419974,8240,76170,0,9,999999999999,999999999999,999999999999
108,calloc,109,984,96229948,0,2,3646937,984,93070,0,2,999999999999,999999999999,999999999999
203,memset,393,1200,99878365,450000000,710415,9298964,1200,96480,3400000000,710415,999999999999,999999999999,999999999999
113,__wasi_args_get,18,816,109178340,0,1,1824743,816,98980,0,1,999999999999,999999999999,999999999999
32,main,396,1624,111005183,0,1,4657078,1624,100030,0,1,999999999999,999999999999,999999999999
161,setbuf,23,840,115663120,0,2,2015734,840,100590,0,2,999999999999,999999999999,999999999999
162,setvbuf,125,648,117679494,0,2,3308975,648,101210,0,2,999999999999,999999999999,999999999999
93,start_up(),17,824,120989659,0,1,1769393,824,102970,0,1,999999999999,999999999999,999999999999
81,"myprintf(char const*, ...)",115,1112,122759842,0,1823,3193086,1112,103370,0,1823,999999999999,999999999999,999999999999
181,vprintf,20,840,125953568,0,1823,1997323,840,103920,0,1823,999999999999,999999999999,999999999999
176,vfprintf,398,1568,127951651,0,12922,6982851,1568,104350,10000000,12922,999999999999,999999999999,999999999999
177,printf_core,8995,18856,134935382,0,25844,208923966,18856,105550,120000000,25844,999999999999,999999999999,999999999999
166,__towrite,94,624,343861958,0,12922,3322885,624,121840,0,12922,999999999999,999999999999,999999999999
167,__fwritex,238,1344,347186013,0,111599,7057401,1344,135710,50000000,111599,999999999999,999999999999,999999999999
202,memcpy,1008,1888,354244734,0,122662,15072555,1888,136780,210000000,122662,999999999999,999999999999,999999999999
165,__stdout_write,60,1008,369319049,0,1,2964325,1008,138530,0,1,999999999999,999999999999,999999999999
151,__stdio_write,316,1368,372284314,0,1903,7052762,1368,139180,0,1903,999999999999,999999999999,999999999999
150,writev,115,984,379338196,0,1903,2918045,984,140130,0,1903,999999999999,999999999999,999999999999
122,__wasi_fd_write,22,824,382257161,0,1903,1797283,824,140920,0,1903,999999999999,999999999999,999999999999
33,init_parameters(gamestate_t*),170,920,384094364,0,1,2404924,920,169290,0,1,999999999999,999999999999,999999999999
51,alloc_hash(),127,1120,386504968,0,1,3126975,1120,174970,0,1,999999999999,999999999999,999999999999
126,sbrk,79,888,389633563,0,1,2901394,888,178380,0,1,999999999999,999999999999,999999999999
178,pop_arg,565,1808,392544548,0,34930,5975000,1808,210730,60000000,34930,999999999999,999999999999,999999999999
47,initialize_zobrist(state_t*),769,2760,398536717,0,1,14227484,2760,279670,0,1,999999999999,999999999999,999999999999
96,mysrand(unsigned int),76,568,412765341,0,2,2185794,568,280220,0,2,999999999999,999999999999,999999999999
95,myrandom(),138,624,414952145,0,1792,2594084,624,281150,0,1792,999999999999,999999999999,999999999999
24,SetupPrecalculatedData(),10824,12192,417578089,0,1,158812112,12192,1570342,10000000,1,999999999999,999999999999,999999999999
17,preprocess_prepare(),399,1704,576473701,0,1,6712631,1704,16130426,0,1,999999999999,999999999999,999999999999
82,"init_game(gamestate_t*, state_t*)",154,1184,583191123,0,11,2964395,1184,16309786,0,11,999999999999,999999999999,999999999999
25,SetupCastleMasks(state_t*),247,768,586160197,0,21,3714336,768,16313346,0,21,999999999999,999999999999,999999999999
83,reset_piece_square(state_t*),416,1312,589875303,0,21,7951604,1312,16315176,0,21,999999999999,999999999999,999999999999
16,init_psq_score(state_t*),130,1064,597828777,0,21,4004006,1064,16355926,0,21,999999999999,999999999999,999999999999
42,FindFirstRemove(unsigned long long*),58,560,601833683,30070000000,1373456234,2020163,560,16356866,856450000000,1373456234,999999999999,999999999999,999999999999
48,initialize_hash(state_t*),175,656,603856277,0,11,4100666,656,16376197,0,11,999999999999,999999999999,999999999999
45,clear_tt(),33,856,607958983,0,11,2046624,856,16402217,0,11,999999999999,999999999999,999999999999
61,clear_pawn_tt(),24,832,898568373,0,1,2692924,832,306599557,0,1,999999999999,999999999999,999999999999
22,"run_epd_testsuite(gamestate_t*, state_t*, char const*)",346,2080,905918405,0,1,7064232,2080,311251865,0,1,999999999999,999999999999,999999999999
157,fopen,102,1112,912983897,0,1,3484856,1112,311253834,0,1,999999999999,999999999999,999999999999
200,memchr,371,800,916469863,0,1079,7995163,800,311254934,0,1079,999999999999,999999999999,999999999999
138,__fmodeflags,103,1032,924466756,0,1,3134895,1032,311258105,0,1,999999999999,999999999999,999999999999
