id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
15,_start,69,984,60201,0,0,4354966,984,56551,0,0,999999999999,999999999999,999999999999
13,__wasm_call_ctors,5,808,4416117,0,1,1814192,808,59731,0,1,999999999999,999999999999,999999999999
62,__wasilibc_populate_preopens,182,1296,6230849,0,1,5532658,1296,60091,0,1,999999999999,999999999999,999999999999
45,__wasi_fd_prestat_get,18,824,11764467,0,3,1940193,824,61691,0,3,999999999999,999999999999,999999999999
31,malloc,12,808,13709360,0,9,1793622,808,66091,0,9,999999999999,999999999999,999999999999
32,dlmalloc,6541,9304,15503662,0,11,100003478,9304,66961,0,11,999999999999,999999999999,999999999999
46,__wasi_fd_prestat_dir_name,20,824,115512239,0,2,1987643,824,80381,0,2,999999999999,999999999999,999999999999
59,internal_register_preopened_fd,280,1320,117503152,0,2,5823878,1320,81621,0,2,999999999999,999999999999,999999999999
35,calloc,109,984,123327750,0,2,3360644,984,84811,0,2,999999999999,999999999999,999999999999
128,memset,393,1200,126689765,0,28,9187224,1200,88091,0,28,999999999999,999999999999,999999999999
127,memcpy,1000,1824,135878378,0,190,14634240,1824,91051,0,190,999999999999,999999999999,999999999999
33,free,12,808,150513747,0,9,1732802,808,92811,0,9,999999999999,999999999999,999999999999
34,dlfree,1698,2224,152247389,0,9,23343211,2224,93191,0,9,999999999999,999999999999,999999999999
131,strdup,48,960,175591901,0,2,2534974,960,94281,0,2,999999999999,999999999999,999999999999
132,strlen,178,648,178127665,0,11,4647416,648,94621,0,11,999999999999,999999999999,999999999999
39,__main_void,214,1400,182781521,0,1,4642757,1400,112581,0,1,999999999999,999999999999,999999999999
41,__wasi_args_sizes_get,18,824,187425088,0,1,1815552,824,113171,0,1,999999999999,999999999999,999999999999
40,__wasi_args_get,18,816,189243020,0,1,1907202,816,120611,0,1,999999999999,999999999999,999999999999
28,main,627,2320,191151483,0,1,10088554,2320,121731,0,1,999999999999,999999999999,999999999999
29,MAIN_parseCommandLine,375,1688,201240967,0,1,6895840,1688,122491,0,1,999999999999,999999999999,999999999999
124,atoi,178,648,208137687,0,3,4723706,648,123081,0,3,999999999999,999999999999,999999999999
57,stat,164,1032,212862663,0,1,3067884,1032,127481,0,1,999999999999,999999999999,999999999999
60,__wasilibc_find_relpath,95,904,215931107,0,3,2426373,904,128301,0,3,999999999999,999999999999,999999999999
61,__wasilibc_find_abspath,313,1408,218358090,0,3,8918803,1408,128951,0,3,999999999999,999999999999,999999999999
126,memcmp,75,584,227278223,0,3,3563165,584,134671,0,3,999999999999,999999999999,999999999999
54,__wasilibc_nocwd_fstatat,425,1488,230842617,0,1,7152849,1488,144731,0,1,999999999999,999999999999,999999999999
50,__wasi_path_filestat_get,30,952,237996267,0,1,2347274,952,145511,0,1,999999999999,999999999999,999999999999
96,printf,60,912,240381581,0,5,2333863,912,169931,0,5,999999999999,999999999999,999999999999
107,vfprintf,398,1568,242716264,0,5,6983349,1568,170421,0,5,999999999999,999999999999,999999999999
108,printf_core,9070,18952,249700353,0,10,212931512,18952,171471,0,10,999999999999,999999999999,999999999999
90,__towrite,94,624,462634945,0,1,3348755,624,183081,0,1,999999999999,999999999999,999999999999
91,__fwritex,234,1368,465985740,0,185,7108830,1368,191281,0,185,999999999999,999999999999,999999999999
100,__stdout_write,60,1008,473095360,0,1,2977514,1008,195491,0,1,999999999999,999999999999,999999999999
76,__isatty,103,968,476075084,0,1,2976134,968,195961,0,1,999999999999,999999999999,999999999999
43,__wasi_fd_fdstat_get,18,824,479051958,0,3,1776742,824,196551,0,3,999999999999,999999999999,999999999999
80,__stdio_write,316,1368,480834970,0,2,7049170,1368,199721,0,2,999999999999,999999999999,999999999999
79,writev,115,984,487885150,0,2,2917944,984,200571,0,2,999999999999,999999999999,999999999999
49,__wasi_fd_write,22,824,490803944,0,2,1817422,824,201321,0,2,999999999999,999999999999,999999999999
109,pop_arg,565,1808,492654267,0,34,5786708,1808,230751,0,34,999999999999,999999999999,999999999999
106,frexp,145,1200,498443965,0,16,3209184,1200,270751,0,16,999999999999,999999999999,999999999999
110,pad,159,1168,501655639,0,16,5300097,1168,296031,0,16,999999999999,999999999999,999999999999
133,strnlen,27,880,506958606,0,4,2084323,880,322691,0,4,999999999999,999999999999,999999999999
125,memchr,371,800,509043719,0,8,7750371,800,323141,0,8,999999999999,999999999999,999999999999
30,MAIN_initialize,199,1296,516799900,0,1,3885045,1296,382231,0,1,999999999999,999999999999,999999999999
16,LBM_allocateGrid,112,1064,520685935,0,2,2807044,1064,382761,0,2,999999999999,999999999999,999999999999
63,sbrk,79,888,523494699,0,2,2792464,888,386101,0,2,999999999999,999999999999,999999999999
18,LBM_initializeGrid,408,912,526299453,160000000,2,6745849,912,411371,2290000000,2,999999999999,999999999999,999999999999
20,LBM_loadObstacleFile,169,1224,694785494,0,2,6509409,1224,2318114673,0,2,999999999999,999999999999,999999999999
86,fopen,102,1112,701297603,0,2,3415614,1112,2318118133,0,2,999999999999,999999999999,999999999999
74,__fmodeflags,103,1032,704715058,0,2,3106253,1032,2318123413,0,2,999999999999,999999999999,999999999999
129,strchr,31,864,707822702,0,8,2131174,864,2318125033,0,8,999999999999,999999999999,999999999999
130,__strchrnul,354,1144,709954855,0,8,7204690,1144,2318125863,0,8,999999999999,999999999999,999999999999
56,__wasilibc_open_nomode,163,1024,717161444,0,2,3042593,1024,2318131593,0,2,999999999999,999999999999,999999999999
53,__wasilibc_nocwd_openat_nomode,283,1240,720206708,0,2,5179307,1240,2318151733,0,2,999999999999,999999999999,999999999999
51,__wasi_path_open,38,992,725393096,0,2,2597323,992,2318161713,0,2,999999999999,999999999999,999999999999
85,__fdopen,390,1712,728029449,0,2,6989440,1712,2318209773,0,2,999999999999,999999999999,999999999999
95,__ofl_add,56,952,735021839,0,2,2711544,952,2318222063,0,2,999999999999,999999999999,999999999999
93,__ofl_lock,9,520,737734683,0,5,1563582,520,2318222683,0,5,999999999999,999999999999,999999999999
94,__ofl_unlock,3,512,739299105,0,4,1436372,512,2318223363,0,4,999999999999,999999999999,999999999999
73,fgetc,47,864,740736907,30000000,2626260,2575543,864,2318224613,1040000000,2626260,999999999999,999999999999,999999999999
72,__uflow,85,1032,743313371,0,2566,3280125,1032,2318225683,0,2566,999999999999,999999999999,999999999999
71,__toread,134,1056,746594335,0,2566,4007595,1056,2318226553,0,2566,999999999999,999999999999,999999999999
83,__stdio_read,253,1224,750603190,0,2566,5223998,1224,2318228703,10000000,2566,999999999999,999999999999,999999999999
82,read,114,984,755828128,0,2566,3105954,984,2318230373,0,2566,999999999999,999999999999,999999999999
47,__wasi_fd_read,22,824,758935032,0,2566,1905392,824,2318231463,0,2566,999999999999,999999999999,999999999999
68,fclose,154,1288,780110931,0,2,4858447,1288,2845269616,0,2,999999999999,999999999999,999999999999
69,fflush,362,1648,784970798,0,2,8345901,1648,2845270846,0,2,999999999999,999999999999,999999999999
84,__stdio_close,15,840,793318169,0,2,2047723,840,2845273816,0,2,999999999999,999999999999,999999999999
55,close,35,864,795366822,0,2,2254843,864,2845274956,0,2,999999999999,999999999999,999999999999
42,__wasi_fd_close,16,824,797622985,0,2,1876822,824,2845276086,0,2,999999999999,999999999999,999999999999
67,dummy,4,512,799515297,0,2,1451333,512,2845292146,0,2,999999999999,999999999999,999999999999
22,LBM_initializeSpecialCellsForChannel,273,728,820241096,0,2,7642171,728,3378688429,230000000,2,999999999999,999999999999,999999999999
25,LBM_showGridStatistics,688,1984,828924468,40000000,3,10349814,1984,3604073688,8050000000,3,999999999999,999999999999,999999999999
24,LBM_handleInOutFlow,3000,4960,850995738,30000000,64,33278076,4960,6365734890,7030000000,64,999999999999,999999999999,999999999999
23,LBM_performStreamCollideTRT,2376,4248,884779924,3280000000,64,21894751,4248,6477252293,543960000000,64,999999999999,999999999999,999999999999
19,LBM_swapGrids,30,536,958128935,0,64,2546034,536,15022067785,0,64,999999999999,999999999999,999999999999
17,LBM_freeGrid,28,864,4279602923,0,2,2923413,864,567922292286,0,2,999999999999,999999999999,999999999999
65,__wasm_call_dtors,15,864,4282532256,0,1,1985103,864,567922303976,0,1,999999999999,999999999999,999999999999
64,dummy,3,512,4284519389,0,1,1479572,512,567922304846,0,1,999999999999,999999999999,999999999999
70,__stdio_exit,389,1712,4285999901,0,1,8536362,1712,567922305166,0,1,999999999999,999999999999,999999999999
