id,name,size.bytecode,size.static
13,__wasm_call_ctors,5,808
14,undefined_weak:__wasilibc_find_relpath_alloc,4,504
15,_start,69,984
16,LBM_allocateGrid,112,1064
17,LBM_freeGrid,28,864
18,LBM_initializeGrid,408,912
19,LBM_swapGrids,30,536
20,LBM_loadObstacleFile,169,1224
21,LBM_initializeSpecialCellsForLDC,559,1072
22,LBM_initializeSpecialCellsForChannel,273,728
23,LBM_performStreamCollideTRT,2376,4248
24,LBM_handleInOutFlow,3000,4960
25,LBM_showGridStatistics,688,1984
26,LBM_storeVelocityField,608,2168
27,LBM_compareVelocityField,689,2944
28,main,627,2320
29,MAIN_parseCommandLine,375,1688
30,MAIN_initialize,199,1296
31,malloc,12,808
32,dlmalloc,6541,9304
33,free,12,808
34,dlfree,1698,2224
35,calloc,109,984
36,realloc,1131,2192
37,dispose_chunk,1618,2120
38,_Exit,13,792
39,__main_void,214,1400
40,__wasi_args_get,18,816
41,__wasi_args_sizes_get,18,824
42,__wasi_fd_close,16,824
43,__wasi_fd_fdstat_get,18,824
44,__wasi_fd_fdstat_set_flags,18,824
45,__wasi_fd_prestat_get,18,824
46,__wasi_fd_prestat_dir_name,20,824
47,__wasi_fd_read,22,824
48,__wasi_fd_seek,22,824
49,__wasi_fd_write,22,824
50,__wasi_path_filestat_get,30,952
51,__wasi_path_open,38,992
52,__wasi_proc_exit,13,792
53,__wasilibc_nocwd_openat_nomode,283,1240
54,__wasilibc_nocwd_fstatat,425,1488
55,close,35,864
56,__wasilibc_open_nomode,163,1024
57,stat,164,1032
58,abort,6,504
59,internal_register_preopened_fd,280,1320
60,__wasilibc_find_relpath,95,904
61,__wasilibc_find_abspath,313,1408
62,__wasilibc_populate_preopens,182,1296
63,sbrk,79,888
64,dummy,3,512
65,__wasm_call_dtors,15,864
66,exit,24,896
67,dummy,4,512
68,fclose,154,1288
69,fflush,362,1648
70,__stdio_exit,389,1712
71,__toread,134,1056
72,__uflow,85,1032
73,fgetc,47,864
74,__fmodeflags,103,1032
75,fcntl,275,1504
76,__isatty,103,968
77,__lseek,101,976
78,__stdio_seek,18,840
79,writev,115,984
80,__stdio_write,316,1368
81,readv,114,984
82,read,114,984
83,__stdio_read,253,1224
84,__stdio_close,15,840
85,__fdopen,390,1712
86,fopen,102,1112
87,fprintf,57,904
88,fread,197,1288
89,fscanf,56,904
90,__towrite,94,624
91,__fwritex,234,1368
92,fwrite,278,1384
93,__ofl_lock,9,520
94,__ofl_unlock,3,512
95,__ofl_add,56,952
96,printf,60,912
97,fputs,38,944
98,__overflow,165,1192
99,puts,109,984
100,__stdout_write,60,1008
101,dummy,5,512
102,__lctrans,13,808
103,strerror,87,904
104,wcrtomb,311,856
105,wctomb,26,848
106,frexp,145,1200
107,vfprintf,398,1568
108,printf_core,9070,18952
109,pop_arg,565,1808
110,pad,159,1168
111,long_double_not_supported,29,856
112,__shlim,73,608
113,__shgetc,228,1136
114,__intscan,1636,3464
115,scalbn,176,984
116,fmod,540,912
117,__floatscan,4829,8760
118,hexfloat,1401,3600
119,scanexp,602,1712
120,mbrtowc,368,752
121,mbsinit,20,544
122,vfscanf,3085,9968
123,long_double_not_supported,30,856
124,atoi,178,648
125,memchr,371,800
126,memcmp,75,584
127,memcpy,1000,1824
128,memset,393,1200
129,strchr,31,864
130,__strchrnul,354,1144
131,strdup,48,960
132,strlen,178,648
133,strnlen,27,880
134,__multi3,116,640
