id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
14,_start,70,984,64930,0,0,4340066,984,56690,0,0,999999999999,999999999999,999999999999
12,__wasm_call_ctors,5,808,4406046,0,1,1820923,808,59550,0,1,999999999999,999999999999,999999999999
80,__wasilibc_populate_preopens,183,1296,6227498,0,1,5510938,1296,60050,0,1,999999999999,999999999999,999999999999
57,__wasi_fd_prestat_get,18,824,11739037,0,3,1928493,824,61650,0,3,999999999999,999999999999,999999999999
43,malloc,12,808,13672140,0,47,1793432,808,66160,0,47,999999999999,999999999999,999999999999
44,dlmalloc,6541,9304,15466272,0,59957,99583706,9304,66610,60000000,59957,999999999999,999999999999,999999999999
58,__wasi_fd_prestat_dir_name,20,824,115055137,0,2,1997573,824,79120,0,2,999999999999,999999999999,999999999999
77,internal_register_preopened_fd,280,1320,117055680,0,2,5787948,1320,80270,0,2,999999999999,999999999999,999999999999
47,calloc,109,984,122844828,0,59906,3356565,984,81310,20000000,59906,999999999999,999999999999,999999999999
143,memset,393,1200,126202373,640000000,150355,9192234,1200,84660,58930000000,150355,999999999999,999999999999,999999999999
142,memcpy,1000,1824,135395787,120000000,182113,14640691,1824,89540,370000000,182113,999999999999,999999999999,999999999999
45,free,12,808,150037328,0,59951,1724973,808,91030,0,59951,999999999999,999999999999,999999999999
46,dlfree,1698,2224,151762971,0,59955,23285024,2224,91360,100000000,59955,999999999999,999999999999,999999999999
148,strdup,48,960,175049355,0,2,2506713,960,92480,0,2,999999999999,999999999999,999999999999
149,strlen,178,648,177556948,0,14,4688997,648,92850,0,14,999999999999,999999999999,999999999999
51,__main_void,214,1400,182253015,0,1,4620927,1400,111380,0,1,999999999999,999999999999,999999999999
53,__wasi_args_sizes_get,18,824,186874742,0,1,1811323,824,111980,0,1,999999999999,999999999999,999999999999
52,__wasi_args_get,18,816,188688384,0,1,1904822,816,118120,0,1,999999999999,999999999999,999999999999
18,main,394,1816,190594367,0,1,6018419,1816,118940,0,1,999999999999,999999999999,999999999999
107,puts,109,984,196613606,0,6,2974815,984,119820,0,6,999999999999,999999999999,999999999999
106,fputs,37,944,199589211,0,6,2300973,944,120420,0,6,999999999999,999999999999,999999999999
99,fwrite,278,1384,201891194,0,6,7691471,1384,122990,0,6,999999999999,999999999999,999999999999
97,__towrite,94,624,209583945,0,2,3078544,624,123800,0,2,999999999999,999999999999,999999999999
110,__stdout_write,60,1008,212663270,0,1,3085725,1008,128920,0,1,999999999999,999999999999,999999999999
85,__isatty,103,968,215749684,0,2,3107894,968,129400,0,2,999999999999,999999999999,999999999999
55,__wasi_fd_fdstat_get,18,824,218858238,0,4,1921693,824,130080,0,4,999999999999,999999999999,999999999999
89,__stdio_write,316,1368,220785601,0,4,7166231,1368,133430,0,4,999999999999,999999999999,999999999999
88,writev,115,984,227952722,0,4,3061174,984,134420,0,4,999999999999,999999999999,999999999999
61,__wasi_fd_write,22,824,231014576,0,4,1937793,824,135170,0,4,999999999999,999999999999,999999999999
105,putchar,89,888,232988059,0,1,2697304,888,177810,0,1,999999999999,999999999999,999999999999
147,strcpy,16,840,235686373,0,1,1879423,840,179180,0,1,999999999999,999999999999,999999999999
146,__stpcpy,374,776,237566595,0,1,6670600,776,179510,0,1,999999999999,999999999999,999999999999
28,read_min,1771,4688,244238585,0,1,30291725,4688,185920,0,1,999999999999,999999999999,999999999999
