id,name,size.bytecode,size.static
12,__wasm_call_ctors,5,808
13,undefined_weak:__wasilibc_find_relpath_alloc,4,504
14,_start,70,984
15,primal_iminus,244,832
16,write_objective_value,111,1104
17,global_opt,417,1728
18,main,394,1816
19,primal_start_artificial,579,1168
20,update_tree,625,1312
21,refresh_neighbour_lists,177,1160
22,flow_cost,644,1304
23,getArcPosition,77,616
24,getOriginalArcPosition,6,520
25,primal_feasible,316,1464
26,dual_feasible,194,1120
27,getfree,141,1152
28,read_min,1771,4688
29,primal_update_flow,79,608
30,set_static_vars,32,552
31,cost_compare,79,592
32,primal_bea_mpp,804,1816
33,markBaskets,455,1480
34,master,961,2568
35,primal_net_simplex,196,1416
36,refreshPositions,466,1792
37,arc_compare,73,584
38,resize_prob,309,1408
39,switch_arcs,616,1480
40,price_out_impl,3270,7392
41,suspend_impl,956,2608
42,spec_qsort,2898,7760
43,malloc,12,808
44,dlmalloc,6541,9304
45,free,12,808
46,dlfree,1698,2224
47,calloc,109,984
48,realloc,1131,2192
49,dispose_chunk,1618,2120
50,_Exit,13,792
51,__main_void,214,1400
52,__wasi_args_get,18,816
53,__wasi_args_sizes_get,18,824
54,__wasi_fd_close,16,824
55,__wasi_fd_fdstat_get,18,824
56,__wasi_fd_fdstat_set_flags,18,824
57,__wasi_fd_prestat_get,18,824
58,__wasi_fd_prestat_dir_name,20,824
59,__wasi_fd_read,22,824
60,__wasi_fd_seek,22,824
61,__wasi_fd_write,22,824
62,__wasi_path_open,38,992
63,__wasi_proc_exit,12,792
64,abort,5,504
65,sbrk,79,888
66,dummy,3,512
67,__wasm_call_dtors,15,864
68,exit,24,896
69,dummy,4,512
70,fclose,154,1288
71,fflush,362,1648
72,__stdio_exit,389,1712
73,__toread,134,1056
74,__uflow,86,1032
75,fgets,303,1384
76,__fmodeflags,103,1032
77,internal_register_preopened_fd,280,1320
78,__wasilibc_find_relpath,95,904
79,__wasilibc_find_abspath,313,1408
80,__wasilibc_populate_preopens,183,1296
81,__wasilibc_nocwd_openat_nomode,282,1240
82,close,35,864
83,__wasilibc_open_nomode,163,1024
84,fcntl,275,1504
85,__isatty,103,968
86,__lseek,101,976
87,__stdio_seek,18,840
88,writev,115,984
89,__stdio_write,316,1368
90,readv,114,984
91,read,114,984
92,__stdio_read,253,1224
93,__stdio_close,15,840
94,__fdopen,390,1712
95,fopen,102,1112
96,fprintf,56,904
97,__towrite,94,624
98,__fwritex,234,1368
99,fwrite,278,1384
100,__ofl_lock,9,520
101,__ofl_unlock,3,512
102,__ofl_add,56,952
103,printf,61,912
104,__overflow,165,1192
105,putchar,89,888
106,fputs,37,944
107,puts,109,984
108,sprintf,56,904
109,sscanf,56,904
110,__stdout_write,60,1008
111,dummy,5,512
112,__lctrans,13,808
113,strerror,87,904
114,wcrtomb,311,856
115,wctomb,26,848
116,frexp,145,1200
117,vfprintf,398,1568
118,printf_core,9070,18936
119,pop_arg,565,1808
120,pad,159,1168
121,long_double_not_supported,30,856
122,vsnprintf,180,1152
123,sn_write,184,1176
124,vsprintf,21,840
125,__shlim,73,608
126,__shgetc,228,1136
127,__intscan,1636,3464
128,scalbn,176,984
129,fmod,540,912
130,__floatscan,4829,8760
131,hexfloat,1401,3600
132,scanexp,602,1712
133,mbrtowc,368,752
134,mbsinit,20,544
135,vfscanf,3085,9968
136,long_double_not_supported,29,856
137,vsscanf,89,1024
138,string_read,95,1064
139,atoi,178,648
140,memchr,371,800
141,memcmp,75,584
142,memcpy,1000,1824
143,memset,393,1200
144,strchr,31,864
145,__strchrnul,355,1144
146,__stpcpy,374,776
147,strcpy,16,840
148,strdup,48,960
149,strlen,178,648
150,strnlen,27,880
151,__multi3,116,640
