id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
14,_start,70,984,65180,0,0,4350866,984,57441,0,0,999999999999,999999999999,999999999999
12,__wasm_call_ctors,5,808,4417046,0,1,1821633,808,60791,0,1,999999999999,999999999999,999999999999
115,__wasilibc_populate_preopens,182,1296,6239219,0,1,5564799,1296,61371,0,1,999999999999,999999999999,999999999999
101,__wasi_fd_prestat_get,18,824,11804788,0,3,1962353,824,63311,0,3,999999999999,999999999999,999999999999
87,malloc,12,808,13773501,0,17150,1805563,808,67631,10000000,17150,999999999999,999999999999,999999999999
88,dlmalloc,6541,9304,15579733,370000000,17155,99969634,9304,68111,93500000000,17155,999999999999,999999999999,999999999999
102,__wasi_fd_prestat_dir_name,20,824,115557287,0,2,1990254,824,89021,0,2,999999999999,999999999999,999999999999
112,internal_register_preopened_fd,280,1320,117550631,0,2,5821339,1320,90201,0,2,999999999999,999999999999,999999999999
91,calloc,109,984,123372850,0,5,3337985,984,91221,0,5,999999999999,999999999999,999999999999
214,memset,393,1200,126712055,0,6309,9166945,1200,94591,60000000,6309,999999999999,999999999999,999999999999
212,memcpy,1000,1824,135880589,0,824,14556913,1824,97231,0,824,999999999999,999999999999,999999999999
89,free,12,808,150438592,0,15440,1730993,808,99001,0,15440,999999999999,999999999999,999999999999
90,dlfree,1698,2224,152170384,10000000,15440,23288125,2224,99351,970000000,15440,999999999999,999999999999,999999999999
221,strdup,48,960,175459750,0,2,2475874,960,100501,0,2,999999999999,999999999999,999999999999
222,strlen,179,648,177936473,0,1408,4625388,648,100841,0,1408,999999999999,999999999999,999999999999
95,__main_void,214,1392,182568331,0,1,4616547,1392,119091,0,1,999999999999,999999999999,999999999999
97,__wasi_args_sizes_get,18,824,187185708,0,1,1814953,824,119641,0,1,999999999999,999999999999,999999999999
96,__wasi_args_get,18,816,189002920,0,1,1909483,816,126321,0,1,999999999999,999999999999,999999999999
15,main,1401,3952,190913813,0,1,15508154,3952,127261,0,1,999999999999,999999999999,999999999999
44,mpiinit,20,544,206423117,0,1,1880713,544,128091,0,1,999999999999,999999999999,999999999999
41,mpierror,24,816,208304660,0,1,2031834,816,128991,0,1,999999999999,999999999999,999999999999
208,atoi,177,648,210337154,0,2,4756677,648,129521,0,2,999999999999,999999999999,999999999999
21,setseed,51,872,215095001,0,1,2283253,872,132811,0,1,999999999999,999999999999,999999999999
29,spec_srand,213,664,217379074,0,1,4860337,664,133851,0,1,999999999999,999999999999,999999999999
177,printf,60,912,222245071,0,6,2332775,912,234341,0,6,999999999999,999999999999,999999999999
186,vfprintf,398,1568,224578606,0,15,6895771,1568,234961,0,15,999999999999,999999999999,999999999999
187,printf_core,9070,18952,231475346,0,30,213149139,18952,236301,0,30,999999999999,999999999999,999999999999
161,__towrite,94,624,444627394,0,12,3316345,624,244441,0,12,999999999999,999999999999,999999999999
167,__fwritex,234,1368,447944990,0,135,7097811,1368,248961,0,135,999999999999,999999999999,999999999999
188,pop_arg,565,1808,455044780,0,22,5820200,1808,256841,0,22,999999999999,999999999999,999999999999
226,strnlen,28,880,460865999,0,4,2093664,880,258691,0,4,999999999999,999999999999,999999999999
210,memchr,371,800,462960383,0,687,7745711,800,259141,0,687,999999999999,999999999999,999999999999
182,__stdout_write,61,1008,470709184,0,1,2941965,1008,286141,0,1,999999999999,999999999999,999999999999
149,__isatty,103,968,473652769,0,1,2985035,968,286681,0,1,999999999999,999999999999,999999999999
