id,name,size.bytecode,size.static
12,__wasm_call_ctors,5,808
13,undefined_weak:__wasilibc_find_relpath_alloc,4,504
14,_start,70,984
15,main,1401,3952
16,vector,160,1176
17,ivector,109,1064
18,free_vector,17,824
19,free_ivector,17,824
20,writebinposhdr,24,856
21,setseed,51,872
22,gauss,131,1560
23,nblist,1401,4128
24,heapsort_index,549,1128
25,buildkdtree,1545,2792
26,searchkdtree,467,1680
27,heapsort_pairs,406,888
28,rt_errormsg_s,80,1000
29,spec_srand,213,664
30,spec_rand,21,1048
31,spec_genrand_int32,632,1048
32,getpdb,2808,8256
33,initres,206,1152
34,makebonds,697,1528
35,select_atoms,7506,10640
36,match_atom_pat,351,1392
37,copyresidue,2249,5056
38,regfree,148,1208
39,get_blocksize,12,528
40,get_mytaskid,5,520
41,mpierror,24,816
42,reducerror,24,816
43,mpifinalize,5,520
44,mpiinit,20,544
45,putxyzw,445,1816
46,checkpoint,423,1928
47,mme_init,2864,5792
48,mme34,7690,18264
49,ebond,518,1368
50,eangl,1032,3056
51,ephi,3203,9616
52,nbond,1575,3632
53,mme,27,848
54,md,2329,5216
55,ggets,37,944
56,readparm,19559,50600
57,preadln,270,1464
58,pfind,151,1320
59,newmolecule,211,1320
60,addstrand,405,1728
61,addresidue,504,1880
62,copyextbonds,191,1184
63,setxyz_from_mol,247,1200
64,NAB_initres,94,600
65,NAB_initatom,321,808
66,NAB_mnext,255,816
67,set_belly_mask,2296,4544
68,set_cons_mask,212,1072
69,regexec,3921,9456
70,sstep,769,1992
71,sslow,629,2184
72,sdissect,753,3320
73,sbackref,1418,4280
74,lstep,1036,2120
75,lslow,741,2632
76,ldissect,775,3240
77,lbackref,1418,4280
78,regcomp,2017,4104
79,p_ere,4799,10000
80,ordinary,413,1576
81,p_bre,3633,6024
82,p_bracket,5411,8440
83,doinsert,749,1680
84,repeat,2300,5384
85,p_b_symbol,456,1408
86,bothcases,92,952
87,malloc,12,808
88,dlmalloc,6541,9304
89,free,12,808
90,dlfree,1698,2224
91,calloc,109,984
92,realloc,1131,2192
93,dispose_chunk,1618,2120
94,_Exit,13,792
95,__main_void,214,1392
96,__wasi_args_get,18,816
97,__wasi_args_sizes_get,18,824
98,__wasi_fd_close,16,824
99,__wasi_fd_fdstat_get,18,824
100,__wasi_fd_fdstat_set_flags,18,824
101,__wasi_fd_prestat_get,18,824
102,__wasi_fd_prestat_dir_name,20,824
103,__wasi_fd_read,22,824
104,__wasi_fd_seek,22,824
105,__wasi_fd_write,22,824
106,__wasi_path_open,38,992
107,__wasi_proc_exit,13,792
108,__wasilibc_nocwd_openat_nomode,282,1240
109,close,35,864
110,__wasilibc_open_nomode,162,1024
111,abort,6,504
112,internal_register_preopened_fd,280,1320
113,__wasilibc_find_relpath,95,904
114,__wasilibc_find_abspath,313,1408
115,__wasilibc_populate_preopens,182,1296
116,sbrk,79,888
117,isalnum,24,544
118,tolower,20,528
119,toupper,21,528
120,dummy,3,512
121,__wasm_call_dtors,15,864
122,exit,25,896
123,acos,720,2952
124,__cos,148,1312
125,__rem_pio2_large,4405,7152
126,__rem_pio2,1284,4152
127,__sin,155,1328
128,__math_xflow,14,760
129,__math_uflow,20,832
130,__math_oflow,21,832
131,exp,361,1440
132,specialcase,160,1088
133,__math_divzero,24,752
134,__math_invalid,14,528
135,log,620,1768
136,scalbn,176,984
137,sin,239,1592
138,expm1,763,3112
139,tanh,238,1648
140,dummy,4,512
141,fclose,154,1288
142,fflush,362,1648
143,__stdio_exit,389,1712
144,__toread,134,1056
145,__uflow,86,1032
146,fgets,303,1384
147,__fmodeflags,103,1032
148,fcntl,275,1504
149,__isatty,103,968
150,__lseek,101,976
151,__stdio_seek,18,840
152,writev,115,984
153,__stdio_write,316,1368
154,readv,114,984
155,read,114,984
156,__stdio_read,253,1224
157,__stdio_close,15,840
158,__fdopen,390,1712
159,fopen,102,1112
160,fprintf,56,904
161,__towrite,94,624
162,__overflow,165,1192
163,fputc,69,904
164,fputs,37,944
165,fscanf,57,904
166,__fseeko_unlocked,174,1176
167,__fwritex,234,1368
168,fwrite,278,1384
169,getc,47,864
170,__ofl_lock,9,520
171,__ofl_unlock,3,512
172,__ofl_add,56,952
173,dummy,5,512
174,__lctrans,13,808
175,strerror,87,904
176,perror,177,1320
177,printf,60,912
178,puts,109,984
179,rewind,29,864
180,sprintf,56,904
181,sscanf,56,904
182,__stdout_write,61,1008
183,wcrtomb,311,856
184,wctomb,26,848
185,frexp,145,1200
186,vfprintf,398,1568
187,printf_core,9070,18952
188,pop_arg,565,1808
189,pad,159,1168
190,long_double_not_supported,29,856
191,__shlim,73,608
192,__shgetc,228,1136
193,__intscan,1636,3464
194,fmod,540,912
195,__floatscan,4829,8760
196,hexfloat,1401,3600
197,scanexp,602,1712
198,mbrtowc,368,752
199,mbsinit,20,544
200,vfscanf,3085,9968
201,long_double_not_supported,30,856
202,vsnprintf,180,1152
203,sn_write,184,1176
204,vsprintf,21,840
205,vsscanf,89,1024
206,string_read,94,1064
207,atof,14,824
208,atoi,177,648
209,strtod,118,1096
210,memchr,371,800
211,memcmp,75,584
212,memcpy,1000,1824
213,memmove,1218,2168
214,memset,393,1200
215,strcat,25,920
216,strchr,31,864
217,__strchrnul,354,1144
218,strcmp,105,600
219,__stpcpy,374,776
220,strcpy,16,840
221,strdup,48,960
222,strlen,179,648
223,strncmp,145,624
224,__stpncpy,496,1280
225,strncpy,18,840
226,strnlen,28,880
227,strstr,359,1320
228,fourbyte_strstr,180,648
229,twoway_strstr,999,2080
230,strspn,249,768
231,strcspn,242,1104
232,strtok,131,1032
233,__multi3,116,640
