id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
14,_start,70,984,61600,0,0,4350267,984,63570,0,0,999999999999,999999999999,999999999999
12,__wasm_call_ctors,8,864,4412797,0,1,1935413,864,67400,0,1,999999999999,999999999999,999999999999
222,__wasilibc_populate_preopens,183,1296,6348740,0,1,5518279,1296,68030,0,1,999999999999,999999999999,999999999999
176,__wasi_fd_prestat_get,18,824,11867929,0,3,1934563,824,69830,0,3,999999999999,999999999999,999999999999
162,malloc,12,808,13814442,0,19962,1810953,808,74481,0,19962,999999999999,999999999999,999999999999
163,dlmalloc,6541,9304,15626085,10000000,19964,99261150,9304,74950,250000000,19964,999999999999,999999999999,999999999999
177,__wasi_fd_prestat_dir_name,20,824,114894676,0,2,2018223,824,86321,0,2,999999999999,999999999999,999999999999
219,internal_register_preopened_fd,280,1320,116915429,0,2,5817340,1320,87401,0,2,999999999999,999999999999,999999999999
166,calloc,109,984,122734199,0,2,3359435,984,88430,0,2,999999999999,999999999999,999999999999
283,memset,393,1200,126094714,10000000,2381,9197385,1200,94310,1450000000,2381,999999999999,999999999999,999999999999
281,memcpy,1000,1824,135293599,20000000,109356,14587133,1824,97210,190000000,109356,999999999999,999999999999,999999999999
164,free,12,808,149882142,0,19816,1710123,808,98861,10000000,19816,999999999999,999999999999,999999999999
165,dlfree,1698,2224,151593225,30000000,19816,23263308,2224,99221,3610000000,19816,999999999999,999999999999,999999999999
287,strdup,48,960,174858043,0,2,2519584,960,100381,0,2,999999999999,999999999999,999999999999
288,strlen,178,648,177378177,0,6,4634468,648,100730,0,6,999999999999,999999999999,999999999999
27,_GLOBAL__sub_I_Compute.C,37,896,182019765,0,1,1912693,896,120250,0,1,999999999999,999999999999,999999999999
15,ComputeNonbondedWorkArrays::ComputeNonbondedWorkArrays(),1335,3392,183933178,0,1,11815379,3392,120870,0,1,999999999999,999999999999,999999999999
158,operator new(unsigned long),243,1192,195749717,0,19956,4727617,1192,121641,20000000,19956,999999999999,999999999999,999999999999
16,ResizeArrayRaw<Vector>::resize(int),604,1792,200482414,0,2306,11704409,1792,164901,10000000,2306,999999999999,999999999999,999999999999
186,__cxa_atexit,158,1000,212189023,0,1,3478056,1000,168901,0,1,999999999999,999999999999,999999999999
170,__main_void,214,1400,215668259,0,1,4731638,1400,170030,0,1,999999999999,999999999999,999999999999
172,__wasi_args_sizes_get,18,824,220400757,0,1,1922423,824,170741,0,1,999999999999,999999999999,999999999999
171,__wasi_args_get,18,816,222326120,0,1,1907543,816,176641,0,1,999999999999,999999999999,999999999999
133,main,13654,19064,224234973,0,1,156977114,19064,177701,0,1,999999999999,999999999999,999999999999
286,strcmp,104,600,381213847,0,825,4044267,600,179201,0,825,999999999999,999999999999,999999999999
250,sscanf,56,904,385260104,0,5,2228303,904,186611,0,5,999999999999,999999999999,999999999999
274,vsscanf,89,1024,387489267,0,5,2605694,1024,187171,0,5,999999999999,999999999999,999999999999
272,vfscanf,3085,9968,390096051,10000000,898389,67347720,9968,190601,750000000,898389,999999999999,999999999999,999999999999
215,__toread,134,1056,457445151,0,7923,4147196,1056,191621,0,7923,999999999999,999999999999,999999999999
263,__shlim,73,608,461593397,100000000,5694598,2719834,608,195491,6970000000,5694598,999999999999,999999999999,999999999999
264,__shgetc,228,1136,464314311,0,7916,4726068,1136,196511,0,7916,999999999999,999999999999,999999999999
216,__uflow,86,1032,469041379,0,7918,3133716,1032,197451,0,7918,999999999999,999999999999,999999999999
