id,name,size.bytecode,size.static
12,__wasm_call_ctors,8,864
13,undefined_weak:__wasilibc_find_relpath_alloc,4,504
14,_start,70,984
15,ComputeNonbondedWorkArrays::ComputeNonbondedWorkArrays(),1335,3392
16,ResizeArrayRaw<Vector>::resize(int),604,1792
17,__cxx_global_array_dtor,17,824
18,ComputeNonbondedWorkArrays::~ComputeNonbondedWorkArrays(),1349,3456
19,SelfCompute::doWork(PatchList*),472,1480
20,PairCompute::doWork(PatchList*),748,2008
21,ResizeArray<Vector>::~ResizeArray(),74,960
22,ResizeArray<unsigned short>::~ResizeArray(),74,960
23,ResizeArray<double>::~ResizeArray(),74,960
24,ResizeArray<unsigned short>::~ResizeArray(),80,992
25,ResizeArray<double>::~ResizeArray(),80,992
26,ResizeArray<Vector>::~ResizeArray(),80,992
27,_GLOBAL__sub_I_Compute.C,37,896
28,ComputeList::ComputeList(),23,544
29,ComputeList::~ComputeList(),196,1216
30,"ComputeList::readfile(_IO_FILE*, PatchList*)",976,2784
31,ComputeList::runComputes(PatchList*),130,1136
32,ComputeNonbondedUtil::calc_pair_energy_fep(nonbonded*),16035,56376
33,"pairlist_from_pairlist(double, double, double, double, CompAtom const*, unsigned short const*, int, unsigned short*, double, double*)",973,1824
34,"fep_vdw_forceandenergies(double, double, double, double, double, double, double, double, double, int, int, double, double, double, double*, double*, double*)",987,2960
35,ComputeNonbondedUtil::calc_pair_energy_fullelect_fep(nonbonded*),20604,65896
36,ComputeNonbondedUtil::calc_pair_energy_merge_fullelect_fep(nonbonded*),17669,60616
37,ComputeNonbondedUtil::calc_pair_energy_slow_fullelect_fep(nonbonded*),16371,54568
38,ComputeNonbondedUtil::calc_self_energy_fep(nonbonded*),16066,54288
39,ComputeNonbondedUtil::calc_self_energy_fullelect_fep(nonbonded*),20099,62856
40,ComputeNonbondedUtil::calc_self_energy_merge_fullelect_fep(nonbonded*),17496,58896
41,ComputeNonbondedUtil::calc_self_energy_slow_fullelect_fep(nonbonded*),16264,53904
42,ComputeNonbondedUtil::calc_pair_les(nonbonded*),8599,22328
43,ComputeNonbondedUtil::calc_pair_energy_les(nonbonded*),8995,23536
44,ComputeNonbondedUtil::calc_pair_fullelect_les(nonbonded*),9867,25168
45,ComputeNonbondedUtil::calc_pair_energy_fullelect_les(nonbonded*),10532,27184
46,ComputeNonbondedUtil::calc_pair_merge_fullelect_les(nonbonded*),9033,22992
47,ComputeNonbondedUtil::calc_pair_energy_merge_fullelect_les(nonbonded*),9525,24792
48,ComputeNonbondedUtil::calc_pair_slow_fullelect_les(nonbonded*),8904,23096
49,ComputeNonbondedUtil::calc_pair_energy_slow_fullelect_les(nonbonded*),9183,23672
50,ComputeNonbondedUtil::calc_self_les(nonbonded*),8906,23352
