id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
17,_start,69,984,68250,0,0,4319607,984,72270.0,0.0,0.0,999999999999,999999999999,999999999999
15,__wasm_call_ctors,6,808,4388797,0,1,1806683,808,75590.0,0.0,1.0,999999999999,999999999999,999999999999
555,__wasilibc_populate_preopens,182,1296,6196360,0,1,5552220,1296,76160.0,0.0,1.0,999999999999,999999999999,999999999999
538,__wasi_fd_prestat_get,18,824,11749320,0,3,1927923,824,79930.0,0.0,3.0,999999999999,999999999999,999999999999
522,malloc,12,808,13681483,0,322,1811662,808,84420.0,0.0,322.0,999999999999,999999999999,999999999999
523,dlmalloc,6541,9304,15493835,0,324,98870654,9304,84950.0,0.0,324.0,999999999999,999999999999,999999999999
539,__wasi_fd_prestat_dir_name,20,824,114375129,0,2,2034043,824,109090.0,0.0,2.0,999999999999,999999999999,999999999999
552,internal_register_preopened_fd,280,1320,116412302,0,2,5793700,1320,110330.0,0.0,2.0,999999999999,999999999999,999999999999
526,calloc,109,984,122206812,0,2,3347815,984,111410.0,0.0,2.0,999999999999,999999999999,999999999999
665,memset,393,1200,125555977,0,13198,9190215,1200,115120.0,10000000.0,13194.0,999999999999,999999999999,999999999999
663,memcpy,1000,1824,134747412,10000000,144625,14596064,1824,118260.0,320000000.0,113044.0,999999999999,999999999999,999999999999
524,free,12,808,149344916,0,325,1700073,808,120260.0,0.0,325.0,999999999999,999999999999,999999999999
525,dlfree,1698,2224,151045619,0,325,23324389,2224,120650.0,0.0,325.0,999999999999,999999999999,999999999999
673,strdup,48,960,174371248,0,2,2501155,960,121920.0,0.0,2.0,999999999999,999999999999,999999999999
674,strlen,179,648,176873072,0,31,4617017,648,122240.0,0.0,31.0,999999999999,999999999999,999999999999
530,__main_void,214,1400,181500220,0,1,4661677,1400,143981.0,0.0,1.0,999999999999,999999999999,999999999999
532,__wasi_args_sizes_get,18,824,186162777,0,1,1862533,824,144590.0,0.0,1.0,999999999999,999999999999,999999999999
531,__wasi_args_get,18,816,188027630,0,1,1904463,816,150581.0,0.0,1.0,999999999999,999999999999,999999999999
446,main,7518,19832,189933323,0,1,110048682,19832,151861.0,0.0,1.0,999999999999,999999999999,999999999999
113,x264_param_default,826,2232,299983775,0,2,11656489,2232,155050.0,0.0,2.0,999999999999,999999999999,999999999999
18,x264_cpu_detect,5,520,311642824,0,2,1498982,520,156070.0,0.0,2.0,999999999999,999999999999,999999999999
427,getopt_long,22,824,313143126,0,8,1732663,824,161050.0,0.0,8.0,999999999999,999999999999,999999999999
426,_getopt_internal,4563,8008,314876529,0,8,73860322,8008,162110.0,0.0,8.0,999999999999,999999999999,999999999999
559,getenv,154,1120,388741282,0,2,5044448,1120,165781.0,0.0,2.0,999999999999,999999999999,999999999999
557,__wasilibc_ensure_environ,27,824,393786869,0,2,1937233,824,166321.0,0.0,2.0,999999999999,999999999999,999999999999
558,__wasilibc_initialize_environ,194,1360,395724952,0,1,4468108,1360,166921.0,0.0,1.0,999999999999,999999999999,999999999999
534,__wasi_environ_sizes_get,18,824,400193960,0,1,1775073,824,167590.0,0.0,1.0,999999999999,999999999999,999999999999
668,__strchrnul,354,1144,401971063,0,22,7064522,1144,169281.0,0.0,22.0,999999999999,999999999999,999999999999
669,strcmp,105,600,409037515,0,82,3465145,600,175330.0,0.0,82.0,999999999999,999999999999,999999999999
675,strncmp,144,624,412503740,0,96,4529787,624,179541.0,0.0,96.0,999999999999,999999999999,999999999999
115,x264_param_default_preset,1855,4792,417039177,0,1,23796649,4792,234890.0,0.0,1.0,999999999999,999999999999,999999999999
657,atoi,177,648,440840607,0,2,4695848,648,261891.0,0.0,2.0,999999999999,999999999999,999999999999
117,x264_param_apply_fastfirstpass,100,648,445540075,0,1,2739404,648,307931.0,0.0,1.0,999999999999,999999999999,999999999999
118,x264_param_apply_profile,335,1720,448281259,0,1,5989430,1720,308771.0,0.0,1.0,999999999999,999999999999,999999999999
358,open_file,71,992,454273270,0,1,2903135,992,317801.0,0.0,1.0,999999999999,999999999999,999999999999
608,fopen,102,1112,457177314,0,5,3431935,1112,318731.0,0.0,5.0,999999999999,999999999999,999999999999
661,memchr,371,800,460609899,0,44,7894234,800,319331.0,0.0,44.0,999999999999,999999999999,999999999999
596,__fmodeflags,103,1032,468505403,0,5,3101955,1032,321091.0,0.0,5.0,999999999999,999999999999,999999999999
667,strchr,31,864,471608138,0,20,2147074,864,321831.0,0.0,20.0,999999999999,999999999999,999999999999
549,__wasilibc_open_nomode,163,1024,473756491,0,5,3061246,1024,325441.0,0.0,5.0,999999999999,999999999999,999999999999
553,__wasilibc_find_relpath,95,904,476818877,0,5,2429514,904,326371.0,0.0,5.0,999999999999,999999999999,999999999999
554,__wasilibc_find_abspath,313,1408,479249281,0,5,8946254,1408,327011.0,0.0,5.0,999999999999,999999999999,999999999999
662,memcmp,75,584,488197125,0,11,3525396,584,330841.0,0.0,11.0,999999999999,999999999999,999999999999
546,__wasilibc_nocwd_openat_nomode,282,1240,491723911,0,5,5226229,1240,340291.0,0.0,5.0,999999999999,999999999999,999999999999
536,__wasi_fd_fdstat_get,18,824,496951160,0,8,1946303,824,341711.0,0.0,8.0,999999999999,999999999999,999999999999
543,__wasi_path_open,38,992,498903673,0,5,2547744,992,345471.0,0.0,5.0,999999999999,999999999999,999999999999
607,__fdopen,390,1712,501840738,0,5,7079551,1712,747921.0,0.0,5.0,999999999999,999999999999,999999999999
598,__isatty,103,968,508923489,0,3,3122215,968,756681.0,0.0,3.0,999999999999,999999999999,999999999999
621,__ofl_add,56,952,512049274,0,5,2645665,952,759271.0,0.0,5.0,999999999999,999999999999,999999999999
619,__ofl_lock,9,520,514695899,20000000,11,1585292,520,759891.0,10000000.0,11.0,999999999999,999999999999,999999999999
620,__ofl_unlock,3,512,516282072,0,10,1451612,512,760441.0,0.0,10.0,999999999999,999999999999,999999999999
589,fclose,154,1288,517764554,0,5,4559128,1288,809121.0,0.0,5.0,999999999999,999999999999,999999999999
590,fflush,362,1648,522324542,0,5,8480593,1648,809691.0,0.0,5.0,999999999999,999999999999,999999999999
606,__stdio_close,15,840,530806285,0,5,2067554,840,810611.0,0.0,5.0,999999999999,999999999999,999999999999
547,close,34,864,532874559,0,5,2271633,864,810931.0,0.0,5.0,999999999999,999999999999,999999999999
535,__wasi_fd_close,16,824,535147423,0,5,1898224,824,811282.0,0.0,5.0,999999999999,999999999999,999999999999
588,dummy,4,512,537060576,0,5,1467492,512,818131.0,0.0,5.0,999999999999,999999999999,999999999999
671,strcpy,17,840,538530768,0,1,1872673,840,824882.0,0.0,1.0,999999999999,999999999999,999999999999
670,__stpcpy,374,776,540404191,0,1,6685092,776,825202.0,0.0,1.0,999999999999,999999999999,999999999999
342,open_file,362,1640,547090933,0,1,7340361,1640,826971.0,0.0,1.0,999999999999,999999999999,999999999999
628,sscanf,56,904,554434124,0,1,2374354,904,830482.0,0.0,1.0,999999999999,999999999999,999999999999
