id,name,size.bytecode,size.static
15,__wasm_call_ctors,6,808
16,undefined_weak:__wasilibc_find_relpath_alloc,4,504
17,_start,69,984
18,x264_cpu_detect,5,520
19,x264_cpu_num_processors,6,520
20,x264_cabac_context_init,134,672
21,x264_cabac_encode_init_core,26,552
22,x264_cabac_encode_init,48,584
23,x264_cabac_encode_decision_c,508,928
24,x264_cabac_encode_bypass_c,382,816
25,x264_cabac_encode_ue_bypass,526,976
26,x264_cabac_encode_terminal_c,401,832
27,x264_cabac_encode_flush,1146,1472
28,x264_mdate,6,520
29,x264_frame_new,1853,4800
30,x264_frame_delete,1907,7192
31,x264_frame_copy_picture,531,1792
32,x264_frame_expand_border,1744,5040
33,x264_frame_expand_border_filtered,4945,14768
34,x264_frame_expand_border_lowres,1864,6136
35,x264_frame_expand_border_mod16,429,1808
36,x264_frame_cond_broadcast,11,536
37,x264_frame_cond_wait,22,544
38,x264_frame_push,32,536
39,x264_frame_pop,56,552
40,x264_frame_unshift,71,912
41,x264_frame_shift,48,568
42,x264_frame_push_unused,76,584
43,x264_frame_pop_unused,183,1168
44,x264_frame_push_blank_unused,66,568
45,x264_frame_pop_blank_unused,119,968
46,x264_weight_scale_plane,135,1176
47,x264_frame_delete_list,70,1024
48,x264_synch_frame_list_init,80,1008
49,x264_synch_frame_list_delete,75,1024
50,x264_synch_frame_list_push,54,584
51,x264_predict_16x16_init,81,584
52,predict_16x16_dc_128,590,928
53,predict_16x16_dc_top,657,1464
54,predict_16x16_dc_left,623,1496
55,predict_16x16_p,1278,2216
56,predict_16x16_dc,767,1696
57,predict_16x16_h,692,1544
58,predict_16x16_v,533,1392
59,x264_predict_8x8c_init,81,584
60,predict_8x8c_h,220,824
61,predict_8x8c_v,142,712
62,predict_8x8c_dc_128,136,616
63,predict_8x8c_dc_top,220,808
64,predict_8x8c_dc_left,202,816
65,predict_8x8c_p,641,1320
66,predict_8x8c_dc,306,944
67,x264_predict_8x8_init,147,832
68,predict_8x8_dc_128,136,616
69,predict_8x8_dc_top,183,800
70,predict_8x8_dc_left,183,800
71,predict_8x8_hu,484,1096
72,predict_8x8_vl,870,1624
73,predict_8x8_hd,696,1464
74,predict_8x8_vr,908,1696
75,predict_8x8_ddr,847,1632
76,predict_8x8_ddl,841,1640
77,predict_8x8_dc,231,904
78,predict_8x8_h,241,856
79,predict_8x8_v,71,624
80,predict_8x8_filter,1019,1816
81,x264_predict_4x4_init,135,832
82,predict_4x4_dc_128,47,568
83,predict_4x4_dc_top,80,608
84,predict_4x4_dc_left,72,608
85,predict_4x4_hu,219,776
86,predict_4x4_vl,305,848
87,predict_4x4_hd,311,864
88,predict_4x4_vr,311,872
89,predict_4x4_ddr,296,856
90,predict_4x4_ddl,292,848
91,predict_4x4_dc,107,656
92,predict_4x4_h,70,616
93,predict_4x4_v,42,560
94,x264_mb_mc_8x8,336,2056
95,x264_mb_mc_0xywh,562,1968
96,x264_mb_mc_01xywh,918,2976
97,x264_mb_mc_1xywh,414,1648
98,x264_mb_mc,500,2152
99,x264_macroblock_cache_allocate,943,2544
100,x264_macroblock_cache_free,1440,5320
101,x264_macroblock_thread_allocate,613,2024
102,x264_macroblock_thread_free,151,1216
103,x264_macroblock_slice_init,1258,3120
104,x264_macroblock_thread_init,282,824
105,x264_prefetch_fenc,94,976
106,x264_macroblock_cache_load,4897,7760
107,x264_macroblock_load_pic_pointers,1493,2752
108,x264_macroblock_cache_load_neighbours_deblock,292,808
109,x264_macroblock_cache_load_deblock,1653,2776
110,x264_macroblock_cache_save,2799,4736
111,x264_macroblock_bipred_init,525,1152
112,spec_strdup,62,984
113,x264_param_default,826,2232
114,x264_log_default,115,1016
115,x264_param_default_preset,1855,4792
116,x264_log,177,1136
117,x264_param_apply_fastfirstpass,100,648
118,x264_param_apply_profile,335,1720
119,x264_param_parse,9498,23144
120,x264_atobool,127,1184
121,parse_enum,85,1000
122,parse_cqm,239,1352
123,x264_picture_alloc,252,1264
124,x264_malloc,116,1032
125,x264_picture_clean,49,952
126,x264_free,26,848
127,x264_nal_encode,298,752
128,x264_reduce_fraction,93,600
129,x264_slurp_file,297,1512
130,x264_param2string,2763,6272
131,x264_init_vlc_tables,458,960
132,x264_cqm_init,4643,8600
133,x264_cqm_delete,589,2440
134,x264_cqm_parse_file,375,1744
135,x264_cqm_parse_jmlist,398,1904
136,x264_dct_init,169,864
137,idct4x4dc,566,1400
138,dct4x4dc,573,1392
139,add16x16_idct8,66,1032
140,sub16x16_dct8,86,1096
141,add8x8_idct8,914,1680
142,sub8x8_dct8,1729,3664
143,add16x16_idct_dc,269,1920
144,add16x16_idct,280,1672
145,sub16x16_dct,368,1984
146,add8x8_idct_dc,66,1112
147,add8x8_idct,66,1024
148,sub8x8_dct_dc,903,2536
149,sub8x8_dct,85,1072
150,add4x4_idct,1046,2016
151,sub4x4_dct,630,1680
152,add4x4_idct_dc,526,1144
153,x264_dct_init_weights,594,912
154,x264_zigzag_init,145,616
155,zigzag_sub_4x4ac_field,391,1232
156,zigzag_sub_4x4_field,389,1240
157,zigzag_sub_8x8_field,1472,3496
158,zigzag_scan_4x4_field,84,672
159,zigzag_scan_8x8_field,644,1824
160,zigzag_sub_4x4ac_frame,391,1232
161,zigzag_sub_4x4_frame,389,1240
162,zigzag_sub_8x8_frame,1473,3496
163,zigzag_scan_4x4_frame,164,840
164,zigzag_scan_8x8_frame,644,1824
165,zigzag_interleave_8x8_cavlc,1014,2264
166,x264_quant_init,278,752
167,dequant_4x4_dc,587,1392
168,dequant_4x4,728,1672
169,quant_2x2_dc,249,736
170,quant_4x4_dc,956,1416
171,quant_4x4,122,632
172,quant_8x8,124,640
173,x264_decimate_score64,914,1568
174,x264_decimate_score16,362,872
175,x264_decimate_score15,297,856
176,x264_denoise_dct,137,632
177,dequant_8x8,248,792
178,x264_coeff_level_run16,329,832
179,x264_coeff_last16,129,616
180,x264_coeff_last4,71,600
181,x264_coeff_level_run4,302,784
182,x264_coeff_last64,341,872
183,x264_coeff_last15,117,616
184,x264_coeff_level_run15,316,816
185,x264_mb_predict_mv,683,1112
186,x264_mb_predict_mv_16x16,390,936
187,x264_mb_predict_mv_pskip,354,896
188,x264_mb_predict_mv_direct16x16,5103,6584
189,x264_mb_predict_mv_ref16x16,954,1600
190,x264_frame_deblock_row,5346,10256
191,x264_deblock_init,111,800
192,deblock_h_luma_c,21,856
193,deblock_v_luma_c,21,848
194,deblock_h_chroma_c,21,856
195,deblock_h_luma_intra_c,20,848
196,deblock_strength_c,2158,3936
197,deblock_h_chroma_intra_c,19,848
198,deblock_v_chroma_c,21,848
199,deblock_v_luma_intra_c,19,840
200,deblock_v_chroma_intra_c,20,840
201,deblock_luma_c,533,1168
202,deblock_chroma_c,496,1152
203,deblock_luma_intra_c,553,1104
204,deblock_chroma_intra_c,1238,1736
205,x264_plane_copy_c,187,1272
206,x264_frame_init_lowres,833,3360
207,x264_mc_init,406,1080
208,x264_weight_cache,19,544
209,pixel_avg_16x16,432,1576
210,mc_chroma,220,1608
211,get_ref,1221,4048
212,mc_luma,1283,4392
213,mc_copy_w16,257,864
214,frame_init_lowres_core,344,1064
215,memzero_aligned,16,832
