id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
28,_start,83,992,59483,0,0,4425223,992,59559,0,0,999999999999,999999999999,999999999999
27,__wasm_call_ctors,5,808,4485699,0,1,1796051,808,64079,0,1,999999999999,999999999999,999999999999
39,init,20,840,6282334,0,1,1989842,840,64609,0,1,999999999999,999999999999,999999999999
2759,__wasi_clock_time_get,20,824,8272819,0,2,1953795,824,65994,0,2,999999999999,999999999999,999999999999
2752,__main_void,214,1400,10232681,0,1,4920566,1400,72314,0,1,999999999999,999999999999,999999999999
2756,__wasi_args_sizes_get,18,824,15154021,0,1,1910308,824,73354,0,1,999999999999,999999999999,999999999999
2729,malloc,12,808,17067812,0,227,1791821,808,77659,0,255,999999999999,999999999999,999999999999
2730,dlmalloc,5377,8240,18860267,0,242,79986502,8240,78084,0,269,999999999999,999999999999,999999999999
2734,calloc,109,984,98855306,0,2,3611443,984,102385,0,2,999999999999,999999999999,999999999999
2900,memset,393,1200,102468095,0,20183,9167563,1200,106239,15000000,20181,999999999999,999999999999,999999999999
2755,__wasi_args_get,18,816,111636726,0,1,1788481,816,108680,0,1,999999999999,999999999999,999999999999
172,main,15217,17584,113427004,0,1,113553320,17584,110205,0,1,999999999999,999999999999,999999999999
2868,setvbuf,125,648,226985404,0,1,3665366,648,127375,0,1,999999999999,999999999999,999999999999
173,consoleClassifySetup,620,1304,230651821,0,1,6415094,1304,128805,0,1,999999999999,999999999999,999999999999
201,streamOfConsole,162,1024,237067738,0,3,2752669,1024,132695,0,3,999999999999,999999999999,999999999999
2844,fileno,35,552,239821111,0,3,1964174,552,134545,0,3,999999999999,999999999999,999999999999
2798,__isatty,104,968,241786092,0,4,2983712,968,135425,0,4,999999999999,999999999999,999999999999
2761,__wasi_fd_fdstat_get,18,824,244770941,0,10,1779817,824,136165,0,10,999999999999,999999999999,999999999999
2838,fflush,362,1648,246556592,0,12,8190599,1648,142410,0,12,999999999999,999999999999,999999999999
202,consoleRenewSetup,5,512,254752252,0,1,1358241,512,153590,0,1,999999999999,999999999999,999999999999
2829,atexit,162,984,256111476,0,2,3232679,984,155425,0,2,999999999999,999999999999,999999999999
2825,getenv,154,1120,259345245,0,5,4792443,1120,157335,0,5,999999999999,999999999999,999999999999
2823,__wasilibc_ensure_environ,27,824,264138659,0,5,1926271,824,157805,0,5,999999999999,999999999999,999999999999
2824,__wasilibc_initialize_environ,194,1360,266065853,0,1,4460127,1360,158355,0,1,999999999999,999999999999,999999999999
2758,__wasi_environ_sizes_get,18,824,270526687,0,1,1795408,824,159120,0,1,999999999999,999999999999,999999999999
2902,__strchrnul,358,1144,272323644,0,7,7158765,1144,160470,0,8,999999999999,999999999999,999999999999
