id,name,size.bytecode,size.static
27,__wasm_call_ctors,5,808
28,_start,83,992
29,getpid,6,520
30,strsignal,233,968
31,__SIG_IGN,3,512
32,__SIG_ERR,5,504
33,raise,91,904
34,signal,105,576
35,terminate_handler,66,952
36,core_handler,66,952
37,continue_handler,3,512
38,stop_handler,66,952
39,init,20,840
40,__clock,82,936
41,getrusage,145,1032
42,sqlite3MemTraceActivate,256,1112
43,sqlite3PcacheTraceActivate,256,1112
44,sqlite3_shathree_init,410,1712
45,sha3Func,766,1648
46,sha3QueryFunc,2892,4784
47,SHA3Init,396,1032
48,SHA3Update,466,1184
49,SHA3Final,558,1280
50,sha3_step_vformat,163,1088
51,sqlite3_uint_init,125,1144
52,uintCollFunc,2799,1648
53,sqlite3_decimal_init,667,1664
54,decimalSumStep,552,1416
55,decimalSumFinalize,179,1056
56,decimalSumValue,164,1000
57,decimalSumInverse,433,1272
58,decimalCollFunc,359,1360
59,decimalFunc,288,1168
60,decimal_new,876,2496
61,decimal_result_sci,1771,1872
62,decimal_result,1644,1680
63,decimal_free,135,968
64,decimalCmpFunc,567,1408
65,decimal_cmp,730,1200
66,decimalAddFunc,244,1288
67,decimal_add,2371,1848
68,decimalSubFunc,374,1336
69,decimalMulFunc,552,1424
70,decimalMul,2134,2104
71,decimalPow2Func,216,1184
72,decimalPow2,826,1464
73,decimal_clear,82,888
74,decimalNewFromText,4453,2664
75,sqlite3_base64_init,138,1160
76,base64,1544,2648
77,toBase64,1620,1128
78,fromBase64,1473,1608
79,sqlite3_base85_init,138,1160
80,base85,1590,2664
81,toBase85,1942,1832
82,fromBase85,1464,1992
83,sqlite3_ieee_init,454,1144
84,ieee754func,3106,2928
85,ieee754func_to_blob,482,1264
86,ieee754func_from_blob,458,1440
87,ieee754inc,230,1168
88,sqlite3_series_init,303,1168
89,sqlite3_regexp_init,253,1320
90,re_sql_func,673,1696
91,sqlite3re_compile,2339,2096
92,sqlite3re_free,164,1032
93,sqlite3re_match,4865,4176
94,sqlite3_fileio_init,358,1608
95,readfileFunc,179,1016
96,writefileFunc,1051,1808
97,lsModeFunc,742,1296
98,fsdirRegister,119,944
99,readFileContents,783,1792
100,writeFile,1779,2416
101,makeDirectory,774,1616
102,ctxErrorMsg,163,1096
103,sqlite3CompletionVtabInit,129,960
104,sqlite3_completion_init,118,952
105,sqlite3_appendvfs_init,337,1128
106,dummyCompare,113,1112
107,useDummyCS,132,952
108,dummyUDF,98,1096
109,dummyUDFvalue,85,1064
110,registerUDFs,1113,2792
111,sqlite3_expert_new,1089,2456
112,idxMalloc,355,1424
113,idxPrintfPrepareStmt,257,1184
114,idxFinalize,133,960
115,idxCreateVtabSchema,1556,2656
116,idxAuthCallback,892,1512
117,sqlite3_expert_destroy,315,1376
118,idxPrepareStmt,200,1128
119,idxRegisterVtab,115,920
120,idxGetTableInfo,2722,3920
121,idxAppendText,659,1696
122,idxScanFree,250,1192
123,idxStatementFree,228,1136
124,idxTableFree,174,1008
125,idxWriteFree,174,1008
126,idxHashClear,355,1248
127,sqlite3_expert_config,282,656
128,sqlite3_expert_sql,1136,2320
129,idxDatabaseError,125,1024
130,idxConstraintFree,174,1008
131,sqlite3_expert_analyze,715,1696
132,idxProcessTriggers,397,1200
133,idxCreateCandidates,384,1168
134,idxPopulateStat1,2518,4152
135,idxFindIndexes,2142,2848
136,idxProcessOneTrigger,2200,3368
137,idxCreateFromWhere,712,1944
138,idxLargestIndex,344,1240
139,idxRemFunc,1368,2976
140,idxSampleFunc,554,1736
141,idxBuildSampleTable,339,1496
142,idxPopulateOneStat1,3399,4272
143,idxHashInit,89,896
144,idxHashSearch,207,992
145,idxHashAdd,1161,2088
146,sqlite3_expert_count,144,576
147,sqlite3_expert_report,559,1168
148,sqlite3_intck_open,673,1688
149,intckParseCreateIndexFunc,381,1544
150,sqlite3_intck_close,306,1344
151,intckParseCreateIndex,3141,2488
152,sqlite3_intck_step,1138,2248
153,intckFindObject,726,2000
154,intckCheckObjectSql,925,2064
155,intckPrepare,310,1384
156,intckMprintf,242,1096
157,intckFinalize,139,1008
