id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
28,_start,83,992,57390.0,0.0,0.0,4408958.0,992.0,58440.0,0.0,0.0,999999999999,999999999999,999999999999
27,__wasm_call_ctors,5,808,4467248.0,0.0,1.0,1796839.0,808.0,62480.0,0.0,1.0,999999999999,999999999999,999999999999
39,init,20,840,6264647.0,0.0,1.0,1974659.0,840.0,62980.0,0.0,1.0,999999999999,999999999999,999999999999
2759,__wasi_clock_time_get,20,824,8239876.0,0.0,2.0,1941089.0,824.0,64240.0,0.0,2.0,999999999999,999999999999,999999999999
2752,__main_void,214,1400,10186565.0,0.0,1.0,4921887.0,1400.0,70050.0,0.0,1.0,999999999999,999999999999,999999999999
2756,__wasi_args_sizes_get,18,824,15109232.0,0.0,1.0,1936329.0,824.0,71000.0,0.0,1.0,999999999999,999999999999,999999999999
2729,malloc,12,808,17048931.0,0.0,382.0,1777119.0,808.0,75530.0,0.0,324.0,999999999999,999999999999,999999999999
2730,dlmalloc,5377,8240,18826781.0,0.0,407.0,79655992.0,8240.0,75950.0,0.0,345.0,999999999999,999999999999,999999999999
2734,calloc,109,984,98493073.0,0.0,2.0,3633968.0,984.0,94690.0,0.0,2.0,999999999999,999999999999,999999999999
2900,memset,393,1200,102128331.0,0.0,22328.0,9225716.0,1200.0,98120.0,40000000.0,22264.0,999999999999,999999999999,999999999999
2755,__wasi_args_get,18,816,111354967.0,0.0,1.0,1791099.0,816.0,100380.0,0.0,1.0,999999999999,999999999999,999999999999
172,main,15217,17584,113147996.0,0.0,1.0,112881246.0,17584.0,101870.0,0.0,1.0,999999999999,999999999999,999999999999
2868,setvbuf,125,648,226033672.0,0.0,1.0,3591338.0,648.0,117330.0,0.0,1.0,999999999999,999999999999,999999999999
173,consoleClassifySetup,620,1304,229626330.0,0.0,1.0,6354728.0,1304.0,118620.0,0.0,1.0,999999999999,999999999999,999999999999
201,streamOfConsole,162,1024,235981827.0,0.0,3.0,2740368.0,1024.0,122330.0,0.0,3.0,999999999999,999999999999,999999999999
2844,fileno,35,552,238723206.0,0.0,3.0,1970579.0,552.0,124010.0,0.0,3.0,999999999999,999999999999,999999999999
2798,__isatty,104,968,240694605.0,0.0,4.0,2967879.0,968.0,124810.0,0.0,4.0,999999999999,999999999999,999999999999
2761,__wasi_fd_fdstat_get,18,824,243663524.0,0.0,19.0,1792499.0,824.0,125660.0,0.0,13.0,999999999999,999999999999,999999999999
2838,fflush,362,1648,245461693.0,0.0,33.0,8171496.0,1648.0,131570.0,0.0,34.0,999999999999,999999999999,999999999999
202,consoleRenewSetup,5,512,253637879.0,0.0,1.0,1374649.0,512.0,142970.0,0.0,1.0,999999999999,999999999999,999999999999
2829,atexit,162,984,255013558.0,0.0,2.0,3238379.0,984.0,144860.0,0.0,2.0,999999999999,999999999999,999999999999
2825,getenv,154,1120,258252917.0,0.0,5.0,4799248.0,1120.0,146550.0,0.0,5.0,999999999999,999999999999,999999999999
2823,__wasilibc_ensure_environ,27,824,263052945.0,0.0,5.0,1939429.0,824.0,147100.0,0.0,5.0,999999999999,999999999999,999999999999
2824,__wasilibc_initialize_environ,194,1360,264993264.0,0.0,1.0,4454378.0,1360.0,147730.0,0.0,1.0,999999999999,999999999999,999999999999
2758,__wasi_environ_sizes_get,18,824,269448412.0,0.0,1.0,1799559.0,824.0,148440.0,0.0,1.0,999999999999,999999999999,999999999999
2902,__strchrnul,358,1144,271249641.0,0.0,7.0,7169416.0,1144.0,149910.0,0.0,9.0,999999999999,999999999999,999999999999
34,signal,105,576,278420347.0,0.0,1.0,2478819.0,576.0,154220.0,0.0,1.0,999999999999,999999999999,999999999999
1048,sqlite3_sourceid,16,520,280900106.0,0.0,1.0,1578999.0,520.0,155970.0,0.0,1.0,999999999999,999999999999,999999999999
177,cli_strncmp,231,976,282480015.0,0.0,1.0,3358589.0,976.0,157100.0,0.0,1.0,999999999999,999999999999,999999999999
2909,strncmp,136,632,285839294.0,0.0,1.0,4424958.0,632.0,159740.0,0.0,1.0,999999999999,999999999999,999999999999
178,main_init,496,1696,290265452.0,0.0,1.0,4773827.0,1696.0,173920.0,0.0,1.0,999999999999,999999999999,999999999999
935,sqlite3_config,3089,3328,295040819.0,0.0,8.0,15158352.0,3328.0,177740.0,0.0,8.0,999999999999,999999999999,999999999999
179,verify_uninitialized,98,968,310200672.0,0.0,3.0,2539569.0,968.0,185260.0,0.0,3.0,999999999999,999999999999,999999999999
566,sqlite3_snprintf,290,1136,312742471.0,0.0,9.0,4034928.0,1136.0,197240.0,0.0,6.0,999999999999,999999999999,999999999999
562,sqlite3StrAccumInit,199,680,316778349.0,0.0,35.0,3133509.0,680.0,199500.0,0.0,20.0,999999999999,999999999999,999999999999
532,sqlite3_str_vappendf,24753,15472,319912938.0,0.0,35.0,194742157.0,15472.0,202400.0,0.0,20.0,999999999999,999999999999,999999999999
533,sqlite3_str_append,314,1024,514657705.0,0.0,126.0,4344618.0,1024.0,246300.0,0.0,39.0,999999999999,999999999999,999999999999
2898,memcpy,1008,1888,519003732.0,0.0,89600.0,15178274.0,1888.0,249850.0,520000000.0,107929.0,999999999999,999999999999,999999999999
505,sqlite3_initialize,962,1616,534187366.0,0.0,26.0,7470206.0,1616.0,295630.0,0.0,23.0,999999999999,999999999999,999999999999
506,sqlite3MallocInit,453,1072,541658792.0,0.0,1.0,4048218.0,1072.0,298290.0,0.0,1.0,999999999999,999999999999,999999999999
928,sqlite3MemSetDefault,82,880,545707760.0,0.0,1.0,2057259.0,880.0,300090.0,0.0,1.0,999999999999,999999999999,999999999999
2687,sqlite3MemInit,38,536,547766389.0,0.0,1.0,1715799.0,536.0,306479.0,0.0,1.0,999999999999,999999999999,999999999999
507,sqlite3RegisterBuiltinFunctions,53,984,549483678.0,0.0,1.0,2037299.0,984.0,310959.0,0.0,1.0,999999999999,999999999999,999999999999
929,sqlite3AlterFunctions,28,832,551521857.0,0.0,1.0,1733329.0,832.0,311519.0,0.0,1.0,999999999999,999999999999,999999999999
933,sqlite3InsertBuiltinFuncs,665,1424,553256076.0,0.0,5.0,7569137.0,1424.0,312199.0,0.0,5.0,999999999999,999999999999,999999999999
538,sqlite3Strlen30,169,936,560826023.0,0.0,371.0,2826159.0,936.0,314690.0,0.0,313.0,999999999999,999999999999,999999999999
2908,strlen,206,656,563653172.0,0.0,898.0,4991977.0,656.0,316919.0,0.0,696.0,999999999999,999999999999,999999999999
970,sqlite3FunctionSearch,264,1064,568646339.0,0.0,181.0,4438508.0,1064.0,321130.0,0.0,181.0,999999999999,999999999999,999999999999
573,sqlite3StrICmp,361,672,573087557.0,0.0,1012.0,4483518.0,672.0,338719.0,0.0,933.0,999999999999,999999999999,999999999999
930,sqlite3WindowFunctions,28,832,577573635.0,0.0,1.0,1879239.0,832.0,353310.0,0.0,1.0,999999999999,999999999999,999999999999
931,sqlite3RegisterDateTimeFunctions,28,832,579456784.0,0.0,1.0,1867429.0,832.0,440799.0,0.0,1.0,999999999999,999999999999,999999999999
932,sqlite3RegisterJsonFunctions,29,832,581327993.0,0.0,1.0,1859979.0,832.0,507850.0,0.0,1.0,999999999999,999999999999,999999999999
508,sqlite3PcacheInitialize,111,936,583209432.0,0.0,1.0,2678159.0,936.0,1644559.0,0.0,1.0,999999999999,999999999999,999999999999
934,sqlite3PCacheSetDefault,83,880,585888521.0,0.0,1.0,2197219.0,880.0,1645849.0,0.0,1.0,999999999999,999999999999,999999999999
2689,pcache1Init,340,984,588087370.0,0.0,1.0,3235638.0,984.0,1652079.0,0.0,1.0,999999999999,999999999999,999999999999
509,sqlite3OsInit,174,1024,591324789.0,0.0,1.0,3174679.0,1024.0,1654999.0,0.0,1.0,999999999999,999999999999,999999999999
520,sqlite3_malloc,204,1000,594500487.0,0.0,1.0,3378498.0,1000.0,1655949.0,0.0,1.0,999999999999,999999999999,999999999999
512,hasHighPrecisionDouble,488,1720,597880255.0,0.0,8.0,4616748.0,1720.0,1660739.0,0.0,8.0,999999999999,999999999999,999999999999
2924,__extenddftf2,269,1128,602498063.0,0.0,21.0,4886928.0,1128.0,1663459.0,0.0,21.0,999999999999,999999999999,999999999999
2921,__addtf3,1437,3104,607386291.0,0.0,8.0,21421309.0,3104.0,1667459.0,0.0,8.0,999999999999,999999999999,999999999999
2930,__ashlti3,84,592,628808850.0,0.0,8.0,2921339.0,592.0,1670449.0,0.0,8.0,999999999999,999999999999,999999999999
2933,__lshrti3,85,592,631731269.0,0.0,13.0,2773419.0,592.0,1671389.0,0.0,13.0,999999999999,999999999999,999999999999
2931,__fe_getround,5,520,634505618.0,0.0,8.0,1588179.0,520.0,1674059.0,0.0,8.0,999999999999,999999999999,999999999999
2922,__letf2,226,712,636094867.0,0.0,33.0,4111918.0,712.0,1675909.0,0.0,33.0,999999999999,999999999999,999999999999
521,sqlite3Malloc,306,1032,640207965.0,0.0,377.0,3725019.0,1032.0,1679249.0,0.0,318.0,999999999999,999999999999,999999999999
522,mallocWithAlarm,747,1608,643934964.0,0.0,377.0,6526686.0,1608.0,1682089.0,0.0,318.0,999999999999,999999999999,999999999999
2686,sqlite3MemRoundup,63,544,650462920.0,0.0,411.0,1959569.0,544.0,1684249.0,0.0,340.0,999999999999,999999999999,999999999999
528,sqlite3StatusHighwater,204,576,652423619.0,0.0,453.0,2643159.0,576.0,1685409.0,0.0,430.0,999999999999,999999999999,999999999999
2682,sqlite3MemMalloc,250,1056,655067758.0,0.0,377.0,3541568.0,1056.0,1688709.0,0.0,318.0,999999999999,999999999999,999999999999
496,sqlite3MallocSize,97,920,658611776.0,0.0,912.0,2385079.0,920.0,1693519.0,0.0,866.0,999999999999,999999999999,999999999999
2685,sqlite3MemSize,96,552,660998005.0,0.0,936.0,2054109.0,552.0,1694899.0,0.0,888.0,999999999999,999999999999,999999999999
530,sqlite3StatusUp,317,592,663053104.0,0.0,830.0,2940219.0,592.0,1696359.0,0.0,748.0,999999999999,999999999999,999999999999
524,sqlite3_free,249,1128,665995313.0,0.0,504.0,3665758.0,1128.0,1702849.0,0.0,414.0,999999999999,999999999999,999999999999
