id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
28,_start,83,992,60499.0,0.0,0.0,4428139.0,992.0,57440.0,0.0,0.0,999999999999,999999999999,999999999999
27,__wasm_call_ctors,5,808,4489648.0,0.0,1.0,1798489.0,808.0,61800.0,0.0,1.0,999999999999,999999999999,999999999999
39,init,20,840,6288667.0,0.0,1.0,1981219.0,840.0,62490.0,0.0,1.0,999999999999,999999999999,999999999999
2759,__wasi_clock_time_get,20,824,8270486.0,0.0,2.0,1942199.0,824.0,63660.0,0.0,2.0,999999999999,999999999999,999999999999
2752,__main_void,214,1400,10218265.0,0.0,1.0,4938358.0,1400.0,69420.0,0.0,1.0,999999999999,999999999999,999999999999
2756,__wasi_args_sizes_get,18,824,15157423.0,0.0,1.0,1919449.0,824.0,70910.0,0.0,1.0,999999999999,999999999999,999999999999
2729,malloc,12,808,17080312.0,0.0,22585.0,1781109.0,808.0,74920.0,0.0,22898.0,999999999999,999999999999,999999999999
2730,dlmalloc,5377,8240,18862061.0,10000000.0,22605.0,80071512.0,8240.0,75500.0,60000000.0,22913.0,999999999999,999999999999,999999999999
2734,calloc,109,984,98942183.0,0.0,2.0,3589818.0,984.0,94000.0,0.0,2.0,999999999999,999999999999,999999999999
2900,memset,393,1200,102533091.0,10000000.0,64082.0,9289486.0,1200.0,97670.0,1170000000.0,64352.0,999999999999,999999999999,999999999999
2755,__wasi_args_get,18,816,111823657.0,0.0,1.0,1809340.0,816.0,100020.0,0.0,1.0,999999999999,999999999999,999999999999
172,main,15217,17584,113634916.0,0.0,1.0,113396536.0,17584.0,101510.0,0.0,1.0,999999999999,999999999999,999999999999
2868,setvbuf,125,648,227036152.0,0.0,1.0,3680288.0,648.0,117100.0,0.0,1.0,999999999999,999999999999,999999999999
173,consoleClassifySetup,620,1304,230717330.0,0.0,1.0,6448187.0,1304.0,118420.0,0.0,1.0,999999999999,999999999999,999999999999
201,streamOfConsole,162,1024,237166377.0,0.0,3.0,2728438.0,1024.0,122130.0,0.0,3.0,999999999999,999999999999,999999999999
2844,fileno,35,552,239895925.0,0.0,3.0,1954768.0,552.0,123810.0,0.0,3.0,999999999999,999999999999,999999999999
2798,__isatty,104,968,241851504.0,0.0,4.0,2984318.0,968.0,124570.0,0.0,4.0,999999999999,999999999999,999999999999
2761,__wasi_fd_fdstat_get,18,824,244837023.0,0.0,13.0,1768629.0,824.0,125320.0,0.0,9.0,999999999999,999999999999,999999999999
2838,fflush,362,1648,246611412.0,0.0,27.0,8199057.0,1648.0,131380.0,0.0,28.0,999999999999,999999999999,999999999999
202,consoleRenewSetup,5,512,254815629.0,0.0,1.0,1349839.0,512.0,142460.0,0.0,1.0,999999999999,999999999999,999999999999
2829,atexit,162,984,256166338.0,0.0,2.0,3224929.0,984.0,144300.0,0.0,2.0,999999999999,999999999999,999999999999
2825,getenv,154,1120,259392147.0,0.0,5.0,4795808.0,1120.0,146150.0,0.0,5.0,999999999999,999999999999,999999999999
2823,__wasilibc_ensure_environ,27,824,264188945.0,0.0,5.0,1923008.0,824.0,146590.0,0.0,5.0,999999999999,999999999999,999999999999
2824,__wasilibc_initialize_environ,194,1360,266112783.0,0.0,1.0,4451878.0,1360.0,147170.0,0.0,1.0,999999999999,999999999999,999999999999
2758,__wasi_environ_sizes_get,18,824,270565411.0,0.0,1.0,1824459.0,824.0,147860.0,0.0,1.0,999999999999,999999999999,999999999999
2902,__strchrnul,358,1144,272391390.0,0.0,7.0,7183717.0,1144.0,149210.0,0.0,9.0,999999999999,999999999999,999999999999
34,signal,105,576,279576457.0,0.0,1.0,2508189.0,576.0,153110.0,0.0,1.0,999999999999,999999999999,999999999999
1048,sqlite3_sourceid,16,520,282085516.0,0.0,1.0,1596089.0,520.0,154540.0,0.0,1.0,999999999999,999999999999,999999999999
177,cli_strncmp,231,976,283682455.0,0.0,1.0,3344719.0,976.0,155470.0,0.0,1.0,999999999999,999999999999,999999999999
2909,strncmp,136,632,287027943.0,0.0,1.0,4456647.0,632.0,157870.0,0.0,1.0,999999999999,999999999999,999999999999
178,main_init,496,1696,291485912.0,0.0,1.0,4786427.0,1696.0,172450.0,0.0,1.0,999999999999,999999999999,999999999999
935,sqlite3_config,3089,3328,296273779.0,0.0,8.0,15280223.0,3328.0,175930.0,0.0,8.0,999999999999,999999999999,999999999999
179,verify_uninitialized,98,968,311555522.0,0.0,3.0,2551509.0,968.0,183310.0,0.0,3.0,999999999999,999999999999,999999999999
566,sqlite3_snprintf,290,1136,314109131.0,0.0,6.0,4017837.0,1136.0,195570.0,0.0,4.0,999999999999,999999999999,999999999999
562,sqlite3StrAccumInit,199,680,318127868.0,0.0,20819.0,3132938.0,680.0,197670.0,30000000.0,21609.0,999999999999,999999999999,999999999999
532,sqlite3_str_vappendf,24753,15472,321261667.0,10000000.0,20819.0,195026917.0,15472.0,200270.0,710000000.0,21609.0,999999999999,999999999999,999999999999
533,sqlite3_str_append,314,1024,516291294.0,0.0,20875.0,4284308.0,1024.0,244310.0,30000000.0,21620.0,999999999999,999999999999,999999999999
2898,memcpy,1008,1888,520577372.0,10000000.0,347633.0,15395773.0,1888.0,247890.0,1110000000.0,356584.0,999999999999,999999999999,999999999999
505,sqlite3_initialize,962,1616,535977655.0,0.0,40024.0,7549786.0,1616.0,293280.0,50000000.0,40022.0,999999999999,999999999999,999999999999
506,sqlite3MallocInit,453,1072,543528391.0,0.0,1.0,4071398.0,1072.0,296130.0,0.0,1.0,999999999999,999999999999,999999999999
928,sqlite3MemSetDefault,82,880,547600519.0,0.0,1.0,2073439.0,880.0,297650.0,0.0,1.0,999999999999,999999999999,999999999999
2687,sqlite3MemInit,38,536,549675588.0,0.0,1.0,1720850.0,536.0,303910.0,0.0,1.0,999999999999,999999999999,999999999999
507,sqlite3RegisterBuiltinFunctions,53,984,551397728.0,0.0,1.0,2074459.0,984.0,308040.0,0.0,1.0,999999999999,999999999999,999999999999
929,sqlite3AlterFunctions,28,832,553473457.0,0.0,1.0,1751799.0,832.0,308680.0,0.0,1.0,999999999999,999999999999,999999999999
933,sqlite3InsertBuiltinFuncs,665,1424,555225986.0,0.0,5.0,7611256.0,1424.0,309370.0,0.0,5.0,999999999999,999999999999,999999999999
538,sqlite3Strlen30,169,936,562838072.0,0.0,20339.0,2860999.0,936.0,311870.0,20000000.0,20302.0,999999999999,999999999999,999999999999
2908,strlen,206,656,565699851.0,0.0,30269.0,4970777.0,656.0,313710.0,60000000.0,39738.0,999999999999,999999999999,999999999999
