id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
28,_start,83,992,64110.0,0.0,0.0,4421218.0,992.0,59260.0,0.0,0.0,999999999999,999999999999,999999999999
27,__wasm_call_ctors,5,808,4486318.0,0.0,1.0,1792809.0,808.0,63910.0,0.0,1.0,999999999999,999999999999,999999999999
39,init,20,840,6279667.0,0.0,1.0,1981359.0,840.0,64480.0,0.0,1.0,999999999999,999999999999,999999999999
2759,__wasi_clock_time_get,20,824,8261606.0,0.0,2.0,1937189.0,824.0,65680.0,0.0,2.0,999999999999,999999999999,999999999999
2752,__main_void,214,1400,10204525.0,0.0,1.0,4892338.0,1400.0,72270.0,0.0,1.0,999999999999,999999999999,999999999999
2756,__wasi_args_sizes_get,18,824,15097533.0,0.0,1.0,1907279.0,824.0,73190.0,0.0,1.0,999999999999,999999999999,999999999999
2729,malloc,12,808,17007932.0,0.0,10793.0,1780680.0,808.0,77090.0,10000000.0,10775.0,999999999999,999999999999,999999999999
2730,dlmalloc,5377,8240,18789242.0,0.0,10814.0,79914841.0,8240.0,77510.0,20000000.0,10791.0,999999999999,999999999999,999999999999
2734,calloc,109,984,98711963.0,0.0,2.0,3550448.0,984.0,99200.0,0.0,2.0,999999999999,999999999999,999999999999
2900,memset,393,1200,102263481.0,0.0,21509.0,9199466.0,1200.0,102900.0,10000000.0,21467.0,999999999999,999999999999,999999999999
2755,__wasi_args_get,18,816,111463827.0,0.0,1.0,1791529.0,816.0,105200.0,0.0,1.0,999999999999,999999999999,999999999999
172,main,15217,17584,113257096.0,0.0,1.0,113157096.0,17584.0,106780.0,0.0,1.0,999999999999,999999999999,999999999999
2868,setvbuf,125,648,226418772.0,0.0,1.0,3664988.0,648.0,122720.0,0.0,1.0,999999999999,999999999999,999999999999
173,consoleClassifySetup,620,1304,230085200.0,0.0,1.0,6368997.0,1304.0,124130.0,0.0,1.0,999999999999,999999999999,999999999999
201,streamOfConsole,162,1024,236455037.0,0.0,3.0,2739189.0,1024.0,127660.0,0.0,3.0,999999999999,999999999999,999999999999
2844,fileno,35,552,239194886.0,0.0,3.0,1994919.0,552.0,129230.0,0.0,3.0,999999999999,999999999999,999999999999
2798,__isatty,104,968,241190695.0,0.0,4.0,2973008.0,968.0,130090.0,0.0,4.0,999999999999,999999999999,999999999999
2761,__wasi_fd_fdstat_get,18,824,244164714.0,0.0,15.0,1766219.0,824.0,130780.0,0.0,11.0,999999999999,999999999999,999999999999
2838,fflush,362,1648,245936602.0,0.0,25.0,8140096.0,1648.0,136830.0,0.0,26.0,999999999999,999999999999,999999999999
202,consoleRenewSetup,5,512,254081938.0,0.0,1.0,1337029.0,512.0,148130.0,0.0,1.0,999999999999,999999999999,999999999999
2829,atexit,162,984,255420048.0,0.0,2.0,3228189.0,984.0,149920.0,0.0,2.0,999999999999,999999999999,999999999999
