id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
28,_start,83,992,64386.0,0.0,0.0,4462984.0,992.0,58560.0,0.0,0.0,999999999999,999999999999,999999999999
27,__wasm_call_ctors,5,808,4528351.0,0.0,1.0,1798123.0,808.0,62850.0,0.0,1.0,999999999999,999999999999,999999999999
39,init,20,840,6327048.0,0.0,1.0,1976623.0,840.0,63250.0,0.0,1.0,999999999999,999999999999,999999999999
2759,__wasi_clock_time_get,20,824,8304275.0,0.0,2.0,1946297.0,824.0,64500.0,0.0,2.0,999999999999,999999999999,999999999999
2752,__main_void,214,1400,10256389.0,0.0,1.0,4945771.0,1400.0,70270.0,0.0,1.0,999999999999,999999999999,999999999999
2756,__wasi_args_sizes_get,18,824,15202913.0,0.0,1.0,1913401.0,824.0,71220.0,0.0,1.0,999999999999,999999999999,999999999999
2729,malloc,12,808,17119671.0,0.0,389.0,1783683.0,808.0,75230.0,0.0,1221.0,999999999999,999999999999,999999999999
2730,dlmalloc,5377,8240,18904031.0,0.0,410.0,80278542.0,8240.0,75660.0,10000000.0,1243.0,999999999999,999999999999,999999999999
2734,calloc,109,984,99191041.0,0.0,2.0,3602951.0,984.0,94690.0,0.0,2.0,999999999999,999999999999,999999999999
2900,memset,393,1200,102795279.0,0.0,1604.0,9204452.0,1200.0,98370.0,330000000.0,16884.0,999999999999,999999999999,999999999999
2755,__wasi_args_get,18,816,112000784.0,0.0,1.0,1786423.0,816.0,100500.0,0.0,1.0,999999999999,999999999999,999999999999
172,main,15217,17584,113789151.0,0.0,1.0,113910158.0,17584.0,102000.0,0.0,1.0,999999999999,999999999999,999999999999
2868,setvbuf,125,648,227704273.0,0.0,1.0,3664180.0,648.0,118080.0,0.0,1.0,999999999999,999999999999,999999999999
173,consoleClassifySetup,620,1304,231369630.0,0.0,1.0,6415508.0,1304.0,119320.0,0.0,1.0,999999999999,999999999999,999999999999
201,streamOfConsole,162,1024,237785988.0,0.0,3.0,2768480.0,1024.0,122900.0,0.0,3.0,999999999999,999999999999,999999999999
2844,fileno,35,552,240555119.0,0.0,3.0,1961320.0,552.0,124440.0,0.0,3.0,999999999999,999999999999,999999999999
