id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
20,_start,70,984,63261,0,0,4244511,984,58710,0,0,999999999999,999999999999,999999999999
18,__wasm_call_ctors,6,808,4308652,0,1,1812725,808,62110,0,1,999999999999,999999999999,999999999999
159,__wasilibc_populate_preopens,182,1296,6121896,0,1,5514814,1296,62490,0,1,999999999999,999999999999,999999999999
132,__wasi_fd_prestat_get,18,824,11637591,0,3,1933345,824,64140,0,3,999999999999,999999999999,999999999999
117,malloc,12,808,13575496,0,22,1788444,808,68620,0,22,999999999999,999999999999,999999999999
118,dlmalloc,6541,9304,15364620,0,24,99646036,9304,69110,0,24,999999999999,999999999999,999999999999
133,__wasi_fd_prestat_dir_name,20,824,115018936,0,2,1988865,824,90320,0,2,999999999999,999999999999,999999999999
156,internal_register_preopened_fd,280,1320,117010752,0,2,5783645,1320,91470,0,2,999999999999,999999999999,999999999999
121,calloc,108,984,122795246,0,2,3371899,984,92720,0,2,999999999999,999999999999,999999999999
218,memset,393,1200,126168125,0,11,9203263,1200,96020,0,11,999999999999,999999999999,999999999999
217,memcpy,1000,1824,135372648,0,68,14643548,1824,98890,0,68,999999999999,999999999999,999999999999
119,free,12,808,150017426,0,24,1716674,808,100440,0,24,999999999999,999999999999,999999999999
120,dlfree,1698,2224,151735141,0,24,23337789,2224,100800,0,24,999999999999,999999999999,999999999999
225,strdup,48,960,175074341,0,2,2481367,960,101870,0,2,999999999999,999999999999,999999999999
226,strlen,179,648,177556287,0,46,4638972,648,102200,0,46,999999999999,999999999999,999999999999
124,__main_void,214,1400,182201829,0,1,4613611,1400,120790,0,1,999999999999,999999999999,999999999999
126,__wasi_args_sizes_get,18,824,186816391,0,1,1846065,824,121390,0,1,999999999999,999999999999,999999999999
125,__wasi_args_get,18,816,188664855,0,1,1914155,816,127920,0,1,999999999999,999999999999,999999999999
30,main,8309,8920,190580200,0,1,53200577,8920,128820,0,1,999999999999,999999999999,999999999999
31,copyFileName,272,1216,243782107,0,5,3834900,1216,138290,0,5,999999999999,999999999999,999999999999
229,strncpy,18,840,247618237,0,5,1745134,840,140960,0,5,999999999999,999999999999,999999999999
228,__stpncpy,496,1280,249364451,0,5,8973213,1280,141360,0,5,999999999999,999999999999,999999999999
32,addFlagsFromEnvVar,870,1560,258340884,0,2,9438745,1560,185790,0,2,999999999999,999999999999,999999999999
163,getenv,154,1120,267780688,0,2,4750772,1120,187350,0,2,999999999999,999999999999,999999999999
161,__wasilibc_ensure_environ,27,824,272532581,0,2,2005875,824,187850,0,2,999999999999,999999999999,999999999999
162,__wasilibc_initialize_environ,194,1360,274539326,0,1,4586522,1360,188400,0,1,999999999999,999999999999,999999999999
128,__wasi_environ_sizes_get,18,824,279126758,0,1,1915205,824,189020,0,1,999999999999,999999999999,999999999999
221,__strchrnul,354,1144,281043723,0,22,7200538,1144,190380,0,22,999999999999,999999999999,999999999999
33,snocString,391,1272,288246781,0,7,5227864,1272,198020,0,7,999999999999,999999999999,999999999999
42,mkCell,119,936,293475795,0,4,2492876,936,199150,0,4,999999999999,999999999999,999999999999
43,myMalloc,145,976,295969711,0,8,2852987,976,199750,0,8,999999999999,999999999999,999999999999
224,strcpy,16,840,298824738,0,5,1882025,840,207060,0,5,999999999999,999999999999,999999999999
223,__stpcpy,374,776,300707363,0,5,6559457,776,207440,0,5,999999999999,999999999999,999999999999
222,strcmp,105,600,307271980,0,88,3548059,600,249060,0,88,999999999999,999999999999,999999999999
231,strstr,359,1320,310821599,0,6,8477672,1320,261410,0,6,999999999999,999999999999,999999999999
220,strchr,31,864,319300491,0,20,2180876,864,261960,0,20,999999999999,999999999999,999999999999
233,twoway_strstr,999,2080,321482807,0,1,17709955,2080,269580,0,1,999999999999,999999999999,999999999999
216,memcmp,75,584,339198412,0,9,3565319,584,278720,0,9,999999999999,999999999999,999999999999
215,memchr,371,800,342765101,0,9,7776620,800,280550,0,9,999999999999,999999999999,999999999999
232,fourbyte_strstr,180,648,350544261,0,1,4765133,648,289800,0,1,999999999999,999999999999,999999999999
227,strncmp,145,624,355312593,0,4,4508692,624,317440,0,4,999999999999,999999999999,999999999999
37,compress,5100,5128,359824685,0,1,29379635,5128,358540,0,1,999999999999,999999999999,999999999999
219,strcat,25,920,389207960,0,1,2102576,920,382851,0,1,999999999999,999999999999,999999999999
45,containsDubiousChars,51,536,391312456,0,1,1745674,536,387781,0,1,999999999999,999999999999,999999999999
46,fileExists,220,1016,393059041,0,2,3152628,1016,389101,0,2,999999999999,999999999999,999999999999
190,fopen,102,1112,396212688,0,3,3412609,1112,390221,0,3,999999999999,999999999999,999999999999
189,__fmodeflags,102,1032,399626417,0,3,3090858,1032,391781,0,3,999999999999,999999999999,999999999999
150,__wasilibc_open_nomode,163,1024,402718975,0,3,3066848,1024,394981,0,3,999999999999,999999999999,999999999999
157,__wasilibc_find_relpath,95,904,405786873,0,8,2420486,904,395801,0,8,999999999999,999999999999,999999999999
158,__wasilibc_find_abspath,313,1408,408208129,0,8,8955533,1408,396471,0,8,999999999999,999999999999,999999999999
144,__wasilibc_nocwd_openat_nomode,283,1240,417165622,0,4,5226884,1240,410161,0,4,999999999999,999999999999,999999999999
